时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
2026/7/9 13:06,0,0,0,0,0
