导出时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R,时间
2026/7/11 16:07,0.11709,477,209,29.622931,0.145616,0.2
2026/7/11 16:07,0.12658,478,207,29.591284,0.145616,0.4
2026/7/11 16:07,0.13911,475,206,29.622931,0.147931,0.6
2026/7/11 16:07,0.152927,473,203,29.622931,0.148076,0.8
2026/7/11 16:07,0.162902,466,199,29.622931,0.148076,1
2026/7/11 16:07,0.170265,457,193,29.622931,0.148076,1.2
2026/7/11 16:07,0.181237,446,186,29.622931,0.14945,1.4
2026/7/11 16:07,0.193147,432,182,29.622931,0.150535,1.6
2026/7/11 16:07,0.201571,424,174,29.772133,0.150608,1.8
2026/7/11 16:07,0.212,406,164,29.740482,0.152416,2
2026/7/11 16:07,0.216262,383,152,29.627451,0.153067,2.2
2026/7/11 16:07,0.225356,361,147,29.772133,0.153067,2.4
2026/7/11 16:07,0.231489,338,135,29.740482,0.155237,2.6
2026/7/11 16:07,0.238724,325,123,29.776653,0.154369,2.8
2026/7/11 16:07,0.241535,301,109,29.794737,0.155527,3
2026/7/11 16:07,0.24539,264,96,29.776653,0.155527,3.2
2026/7/11 16:07,0.250844,223,83,29.781174,0.155527,3.4
2026/7/11 16:07,0.254759,176,76,29.794737,0.157986,3.6
2026/7/11 16:07,0.256136,156,64,29.776653,0.157986,3.8
2026/7/11 16:07,0.258028,116,49,29.776653,0.157986,4
2026/7/11 16:07,0.259873,77,38,29.80378,0.158565,4.2
2026/7/11 16:07,0.2609,36,33,29.776653,0.160156,4.4
2026/7/11 16:07,0.261173,26,23,29.812822,0.160446,4.6
2026/7/11 16:07,0.261768,23,17,29.930374,0.160446,4.8
2026/7/11 16:07,0.261869,16,13,29.898724,0.161748,5
2026/7/11 16:07,0.262203,13,11,29.812822,0.162905,5.2
2026/7/11 16:07,0.262321,10,10,29.930374,0.162905,5.4
2026/7/11 16:07,0.262634,9,9,29.916811,0.162905,5.6
2026/7/11 16:07,0.262923,9,9,29.853514,0.162905,5.8
2026/7/11 16:07,0.263129,8,8,29.930374,0.165148,6
2026/7/11 16:07,0.26326,7,7,29.903244,0.165292,6.2
2026/7/11 16:07,0.26358,7,7,29.853514,0.165365,6.4
2026/7/11 16:07,0.263839,6,7,29.921331,0.165365,6.6
2026/7/11 16:07,0.264017,6,6,29.930374,0.16645,6.8
2026/7/11 16:07,0.264293,5,5,29.930374,0.16739,7
2026/7/11 16:07,0.264408,5,5,30.007235,0.167824,7.2
2026/7/11 16:07,0.264765,5,5,29.939417,0.167824,7.4
2026/7/11 16:07,0.264933,5,5,30.002712,0.169054,7.6
2026/7/11 16:07,0.265226,4,4,30.06601,0.169054,7.8
2026/7/11 16:07,0.265324,4,3,29.934895,0.170284,8
2026/7/11 16:07,0.265522,4,4,29.948458,0.170284,8.2
2026/7/11 16:07,0.265795,4,3,30.06601,0.170284,8.4
2026/7/11 16:07,0.266017,4,3,29.930374,0.170356,8.6
2026/7/11 16:07,0.266185,4,3,30.079573,0.172815,8.8
2026/7/11 16:07,0.266589,4,4,30.007235,0.172815,9
2026/7/11 16:07,0.266892,4,4,29.939417,0.172815,9.2
2026/7/11 16:07,0.266983,4,2,30.079573,0.173249,9.4
2026/7/11 16:07,0.267142,4,2,30.084095,0.174986,9.6
