时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/11 15:00:00,0,9.048,8.1432,24.51,0
2026/7/11 15:00:10,0.1428,7.3632,6.6269,24.52,0.1285
2026/7/11 15:00:20,0.2344,8.2337,7.4103,24.57,0.2109
2026/7/11 15:00:30,0.2931,7.0543,6.3489,24.44,0.2638
2026/7/11 15:00:40,0.3307,6.0861,5.4775,24.59,0.2977
2026/7/11 15:00:50,0.3549,8.151,7.3359,24.52,0.3194
2026/7/11 15:01:00,0.3703,8.1713,7.3542,24.49,0.3333
2026/7/11 15:01:10,0.3803,6.0081,5.4073,24.62,0.3422
2026/7/11 15:01:20,0.3866,6.3003,5.6703,24.55,0.348
2026/7/11 15:01:30,0.4179,4.68,4.212,24.47,0.3761
2026/7/11 15:01:40,0.4157,6.0781,5.4703,24.45,0.3741
2026/7/11 15:01:50,0.4135,5.9205,5.3285,24.6,0.3721
2026/7/11 15:02:00,0.4113,4.3827,3.9444,24.47,0.3701
2026/7/11 15:02:10,0.4091,3.1757,2.8581,24.49,0.3682
2026/7/11 15:02:20,0.4068,3.6424,3.2782,24.6,0.3662
2026/7/11 15:02:30,0.4046,5.2637,4.7373,24.54,0.3642
2026/7/11 15:02:40,0.4024,6.2355,5.6119,24.49,0.3622
2026/7/11 15:02:50,0.4002,5.4765,4.9289,24.66,0.3602
2026/7/11 15:03:00,0.399,3.12,2.808,24.59,0.3591
2026/7/11 15:03:10,0.3944,3.1214,2.8092,24.56,0.355
2026/7/11 15:03:20,0.4019,3.1224,2.8102,24.54,0.3617
2026/7/11 15:03:30,0.3968,3.123,2.8107,24.6,0.3571
2026/7/11 15:03:40,0.4025,3.1228,2.8106,24.59,0.3622
2026/7/11 15:03:50,0.4025,3.1221,2.8099,24.56,0.3622
2026/7/11 15:04:00,0.3956,3.1208,2.8088,24.59,0.356
2026/7/11 15:04:10,0.3961,3.1194,2.8075,24.64,0.3565
2026/7/11 15:04:20,0.4011,3.1181,2.8063,24.54,0.361
2026/7/11 15:04:30,0.3999,3.1173,2.8055,24.6,0.3599
2026/7/11 15:04:40,0.4018,3.117,2.8053,24.64,0.3616
2026/7/11 15:04:50,0.4009,3.1174,2.8057,24.6,0.3608
2026/7/11 15:05:00,0.3964,3.1184,2.8065,24.59,0.3568
2026/7/11 15:05:10,0.3955,3.1197,2.8078,24.72,0.356
2026/7/11 15:05:20,0.3935,3.1211,2.809,24.73,0.3542
2026/7/11 15:05:30,0.3986,3.1223,2.81,24.6,0.3587
2026/7/11 15:05:40,0.4024,3.1229,2.8106,24.76,0.3622
2026/7/11 15:05:50,0.3998,3.1229,2.8106,24.68,0.3598
2026/7/11 15:06:00,0.3948,3.1223,2.81,24.63,0.3553
2026/7/11 15:06:10,0.4017,3.1211,2.809,24.76,0.3615
2026/7/11 15:06:20,0.4009,3.1197,2.8077,24.63,0.3608
2026/7/11 15:06:30,0.3997,3.1184,2.8065,24.74,0.3597
2026/7/11 15:06:40,0.3987,3.1174,2.8057,24.74,0.3588
2026/7/11 15:06:50,0.3936,3.117,2.8053,24.7,0.3542
2026/7/11 15:07:00,0.3999,3.1173,2.8055,24.79,0.3599
2026/7/11 15:07:10,0.3939,3.1182,2.8063,24.76,0.3545
2026/7/11 15:07:20,0.3978,3.1194,2.8075,24.62,0.358
2026/7/11 15:07:30,0.4028,3.1209,2.8088,24.78,0.3625
2026/7/11 15:07:40,0.4012,3.1221,2.8099,24.72,0.3611
2026/7/11 15:07:50,0.3945,3.1228,2.8106,24.7,0.3551
2026/7/11 15:08:00,0.395,3.123,2.8107,24.66,0.3555
2026/7/11 15:08:10,0.402,3.1224,2.8102,24.7,0.3618
2026/7/11 15:08:20,0.3956,3.1214,2.8092,24.73,0.356
2026/7/11 15:08:30,0.3999,3.12,2.808,24.76,0.3599
2026/7/11 15:08:40,0.3937,3.1186,2.8067,24.76,0.3543
2026/7/11 15:08:50,0.3977,3.1175,2.8058,24.8,0.3579
2026/7/11 15:09:00,0.3938,3.117,2.8053,24.79,0.3544
2026/7/11 15:09:10,0.4021,3.1172,2.8055,24.68,0.3619
2026/7/11 15:09:20,0.3972,3.1179,2.8062,24.69,0.3575
2026/7/11 15:09:30,0.4015,3.1192,2.8073,24.74,0.3614
2026/7/11 15:09:40,0.4019,3.1206,2.8085,24.87,0.3617
2026/7/11 15:09:50,0.3969,3.1219,2.8097,24.76,0.3572
