时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/10 09:00:00,0,8.487,7.6383,24.52,0
2026/7/10 09:00:10,0.1328,6.8528,6.1676,24.56,0.1195
2026/7/10 09:00:20,0.2179,7.6705,6.9034,24.48,0.1961
2026/7/10 09:00:30,0.2725,9.7997,8.8198,24.5,0.2452
2026/7/10 09:00:40,0.3075,7.1162,6.4046,24.46,0.2767
2026/7/10 09:00:50,0.3299,6.7045,6.0341,24.51,0.2969
2026/7/10 09:01:00,0.3443,7.483,6.7347,24.44,0.3099
2026/7/10 09:01:10,0.3535,8.6854,7.8168,24.5,0.3182
2026/7/10 09:01:20,0.3594,6.8172,6.1355,24.53,0.3235
2026/7/10 09:01:30,0.3885,5.175,4.6575,24.6,0.3496
2026/7/10 09:01:40,0.3864,6.7209,6.0488,24.48,0.3478
2026/7/10 09:01:50,0.3844,6.5468,5.8921,24.48,0.346
2026/7/10 09:02:00,0.3823,4.8463,4.3616,24.48,0.3441
2026/7/10 09:02:10,0.3803,3.5116,3.1604,24.46,0.3423
2026/7/10 09:02:20,0.3782,4.0277,3.6249,24.56,0.3404
2026/7/10 09:02:30,0.3762,5.8204,5.2384,24.65,0.3386
2026/7/10 09:02:40,0.3741,6.895,6.2055,24.48,0.3367
2026/7/10 09:02:50,0.3721,6.0558,5.4502,24.64,0.3348
2026/7/10 09:03:00,0.3745,3.45,3.105,24.52,0.337
2026/7/10 09:03:10,0.3748,3.4514,3.1062,24.6,0.3373
2026/7/10 09:03:20,0.367,3.4524,3.1072,24.55,0.3303
2026/7/10 09:03:30,0.3714,3.453,3.1077,24.68,0.3343
2026/7/10 09:03:40,0.365,3.4528,3.1076,24.63,0.3285
2026/7/10 09:03:50,0.3702,3.4521,3.1069,24.62,0.3332
2026/7/10 09:04:00,0.3746,3.4508,3.1058,24.68,0.3371
2026/7/10 09:04:10,0.3675,3.4494,3.1045,24.7,0.3308
2026/7/10 09:04:20,0.3672,3.4481,3.1033,24.67,0.3305
2026/7/10 09:04:30,0.3711,3.4473,3.1025,24.72,0.334
2026/7/10 09:04:40,0.3655,3.447,3.1023,24.69,0.329
2026/7/10 09:04:50,0.367,3.4474,3.1027,24.56,0.3303
2026/7/10 09:05:00,0.3705,3.4484,3.1035,24.73,0.3335
2026/7/10 09:05:10,0.3652,3.4497,3.1048,24.7,0.3287
2026/7/10 09:05:20,0.3719,3.4511,3.106,24.58,0.3347
2026/7/10 09:05:30,0.3693,3.4523,3.107,24.56,0.3324
2026/7/10 09:05:40,0.3657,3.4529,3.1076,24.74,0.3291
2026/7/10 09:05:50,0.3698,3.4529,3.1076,24.64,0.3328
2026/7/10 09:06:00,0.369,3.4523,3.107,24.74,0.3321
2026/7/10 09:06:10,0.3749,3.4511,3.106,24.68,0.3374
2026/7/10 09:06:20,0.3653,3.4497,3.1047,24.7,0.3288
2026/7/10 09:06:30,0.3652,3.4484,3.1035,24.64,0.3287
2026/7/10 09:06:40,0.3716,3.4474,3.1027,24.78,0.3344
2026/7/10 09:06:50,0.3668,3.447,3.1023,24.6,0.3301
2026/7/10 09:07:00,0.367,3.4473,3.1025,24.62,0.3303
2026/7/10 09:07:10,0.3678,3.4482,3.1033,24.7,0.331
2026/7/10 09:07:20,0.3699,3.4494,3.1045,24.75,0.3329
2026/7/10 09:07:30,0.3735,3.4509,3.1058,24.68,0.3362
2026/7/10 09:07:40,0.3704,3.4521,3.1069,24.74,0.3334
2026/7/10 09:07:50,0.368,3.4528,3.1076,24.76,0.3312
2026/7/10 09:08:00,0.3712,3.453,3.1077,24.65,0.3341
2026/7/10 09:08:10,0.3717,3.4524,3.1072,24.84,0.3345
2026/7/10 09:08:20,0.365,3.4514,3.1062,24.79,0.3285
2026/7/10 09:08:30,0.3693,3.45,3.105,24.72,0.3324
2026/7/10 09:08:40,0.3655,3.4486,3.1037,24.79,0.329
2026/7/10 09:08:50,0.3714,3.4475,3.1028,24.82,0.3343
2026/7/10 09:09:00,0.3704,3.447,3.1023,24.77,0.3334
2026/7/10 09:09:10,0.3738,3.4472,3.1025,24.83,0.3364
2026/7/10 09:09:20,0.3684,3.4479,3.1032,24.84,0.3316
2026/7/10 09:09:30,0.3735,3.4492,3.1043,24.86,0.3362
2026/7/10 09:09:40,0.3729,3.4506,3.1055,24.71,0.3356
2026/7/10 09:09:50,0.3653,3.4519,3.1067,24.78,0.3288
