时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/1 09:30:00,0,17.49,15.741,24.54,0
2026/7/1 09:30:10,0.1518,14.5376,13.0838,24.56,0.1366
2026/7/1 09:30:20,0.2491,13.5256,12.173,24.45,0.2242
2026/7/1 09:30:30,0.3115,12.6027,11.3424,24.44,0.2803
2026/7/1 09:30:40,0.3515,13.244,11.9196,24.55,0.3164
2026/7/1 09:30:50,0.3772,17.424,15.6816,24.48,0.3394
2026/7/1 09:31:00,0.3936,13.8402,12.4562,24.53,0.3542
2026/7/1 09:31:10,0.4042,13.2924,11.9632,24.46,0.3637
2026/7/1 09:31:20,0.4109,13.156,11.8404,24.63,0.3698
2026/7/1 09:31:30,0.4442,9.9,8.91,24.54,0.3997
2026/7/1 09:31:40,0.4418,12.8574,11.5717,24.6,0.3976
2026/7/1 09:31:50,0.4394,12.5242,11.2718,24.54,0.3955
2026/7/1 09:32:00,0.4371,9.2711,8.344,24.64,0.3934
2026/7/1 09:32:10,0.4348,6.7178,6.046,24.52,0.3913
2026/7/1 09:32:20,0.4324,7.7052,6.9346,24.5,0.3892
2026/7/1 09:32:30,0.43,11.1347,10.0212,24.62,0.387
2026/7/1 09:32:40,0.4277,13.1904,11.8714,24.65,0.3849
2026/7/1 09:32:50,0.4254,11.585,10.4265,24.58,0.3828
2026/7/1 09:33:00,0.4276,6.6,5.94,24.64,0.3848
2026/7/1 09:33:10,0.4206,6.6014,5.9412,24.49,0.3785
2026/7/1 09:33:20,0.4183,6.6024,5.9422,24.67,0.3765
2026/7/1 09:33:30,0.418,6.603,5.9427,24.68,0.3762
2026/7/1 09:33:40,0.4262,6.6028,5.9426,24.6,0.3836
2026/7/1 09:33:50,0.4212,6.6021,5.9419,24.67,0.3791
2026/7/1 09:34:00,0.4225,6.6008,5.9408,24.54,0.3802
2026/7/1 09:34:10,0.4257,6.5994,5.9395,24.56,0.3831
2026/7/1 09:34:20,0.4229,6.5981,5.9383,24.56,0.3806
2026/7/1 09:34:30,0.4242,6.5973,5.9375,24.58,0.3818
2026/7/1 09:34:40,0.4184,6.597,5.9373,24.73,0.3766
2026/7/1 09:34:50,0.4257,6.5974,5.9377,24.56,0.3831
2026/7/1 09:35:00,0.4234,6.5984,5.9385,24.56,0.3811
2026/7/1 09:35:10,0.4223,6.5997,5.9398,24.56,0.3801
2026/7/1 09:35:20,0.4266,6.6011,5.941,24.59,0.3839
2026/7/1 09:35:30,0.4188,6.6023,5.942,24.74,0.3769
2026/7/1 09:35:40,0.4243,6.6029,5.9426,24.71,0.3819
2026/7/1 09:35:50,0.4225,6.6029,5.9426,24.76,0.3802
2026/7/1 09:36:00,0.421,6.6023,5.942,24.65,0.3789
2026/7/1 09:36:10,0.4195,6.6011,5.941,24.68,0.3776
2026/7/1 09:36:20,0.4221,6.5997,5.9397,24.62,0.3799
2026/7/1 09:36:30,0.4256,6.5984,5.9385,24.74,0.383
2026/7/1 09:36:40,0.4261,6.5974,5.9377,24.68,0.3835
2026/7/1 09:36:50,0.4239,6.597,5.9373,24.6,0.3815
2026/7/1 09:37:00,0.4219,6.5973,5.9375,24.8,0.3797
2026/7/1 09:37:10,0.4206,6.5982,5.9383,24.74,0.3785
2026/7/1 09:37:20,0.4264,6.5994,5.9395,24.71,0.3838
2026/7/1 09:37:30,0.4188,6.6009,5.9408,24.62,0.3769
2026/7/1 09:37:40,0.4232,6.6021,5.9419,24.63,0.3809
2026/7/1 09:37:50,0.4235,6.6028,5.9426,24.82,0.3812
2026/7/1 09:38:00,0.4198,6.603,5.9427,24.78,0.3778
2026/7/1 09:38:10,0.4265,6.6024,5.9422,24.74,0.3839
2026/7/1 09:38:20,0.4261,6.6014,5.9412,24.8,0.3835
2026/7/1 09:38:30,0.4229,6.6,5.94,24.8,0.3806
2026/7/1 09:38:40,0.4251,6.5986,5.9387,24.66,0.3826
2026/7/1 09:38:50,0.4275,6.5975,5.9378,24.7,0.3848
2026/7/1 09:39:00,0.4223,6.597,5.9373,24.69,0.3801
2026/7/1 09:39:10,0.426,6.5972,5.9375,24.82,0.3834
2026/7/1 09:39:20,0.4235,6.5979,5.9382,24.68,0.3812
2026/7/1 09:39:30,0.4229,6.5992,5.9393,24.78,0.3806
2026/7/1 09:39:40,0.4197,6.6006,5.9405,24.7,0.3777
2026/7/1 09:39:50,0.4215,6.6019,5.9417,24.7,0.3794
