时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/6 10:30:00,0,20.7507,18.6756,24.46,0
2026/7/6 10:30:10,0.1507,21.2583,19.1325,24.49,0.1356
2026/7/6 10:30:20,0.2473,15.254,13.7286,24.45,0.2226
2026/7/6 10:30:30,0.3093,19.7132,17.7418,24.5,0.2784
2026/7/6 10:30:40,0.349,17.0108,15.3098,24.49,0.3141
2026/7/6 10:30:50,0.3745,19.2384,17.3146,24.52,0.337
2026/7/6 10:31:00,0.3908,17.8945,16.1051,24.53,0.3517
2026/7/6 10:31:10,0.4013,17.2147,15.4932,24.58,0.3612
2026/7/6 10:31:20,0.408,15.0436,13.5392,24.57,0.3672
2026/7/6 10:31:30,0.441,11.835,10.6515,24.58,0.3969
2026/7/6 10:31:40,0.4387,15.3705,13.8334,24.47,0.3948
2026/7/6 10:31:50,0.4363,14.9721,13.4749,24.64,0.3927
2026/7/6 10:32:00,0.434,11.0832,9.9749,24.54,0.3906
2026/7/6 10:32:10,0.4317,8.0308,7.2277,24.58,0.3885
2026/7/6 10:32:20,0.4293,9.2112,8.2901,24.61,0.3864
2026/7/6 10:32:30,0.427,13.311,11.9799,24.58,0.3843
2026/7/6 10:32:40,0.4247,15.7686,14.1917,24.49,0.3822
2026/7/6 10:32:50,0.4223,13.8493,12.4644,24.52,0.3801
2026/7/6 10:33:00,0.4235,7.89,7.101,24.49,0.3812
2026/7/6 10:33:10,0.4175,7.8914,7.1022,24.56,0.3757
2026/7/6 10:33:20,0.4199,7.8924,7.1032,24.66,0.3779
2026/7/6 10:33:30,0.4226,7.893,7.1037,24.62,0.3803
2026/7/6 10:33:40,0.415,7.8928,7.1036,24.54,0.3735
2026/7/6 10:33:50,0.4244,7.8921,7.1029,24.65,0.382
2026/7/6 10:34:00,0.4199,7.8908,7.1018,24.63,0.3779
2026/7/6 10:34:10,0.4161,7.8894,7.1005,24.7,0.3745
2026/7/6 10:34:20,0.4238,7.8881,7.0993,24.59,0.3814
2026/7/6 10:34:30,0.4161,7.8873,7.0985,24.68,0.3745
2026/7/6 10:34:40,0.4186,7.887,7.0983,24.58,0.3767
2026/7/6 10:34:50,0.4186,7.8874,7.0987,24.58,0.3767
2026/7/6 10:35:00,0.4215,7.8884,7.0995,24.64,0.3794
2026/7/6 10:35:10,0.4198,7.8897,7.1008,24.64,0.3778
2026/7/6 10:35:20,0.4158,7.8911,7.102,24.68,0.3742
2026/7/6 10:35:30,0.4153,7.8923,7.103,24.62,0.3738
2026/7/6 10:35:40,0.421,7.8929,7.1036,24.66,0.3789
2026/7/6 10:35:50,0.4219,7.8929,7.1036,24.62,0.3797
2026/7/6 10:36:00,0.418,7.8923,7.103,24.63,0.3762
2026/7/6 10:36:10,0.4154,7.8911,7.102,24.68,0.3739
2026/7/6 10:36:20,0.4215,7.8897,7.1007,24.77,0.3794
2026/7/6 10:36:30,0.4161,7.8884,7.0995,24.76,0.3745
2026/7/6 10:36:40,0.4231,7.8874,7.0987,24.73,0.3808
2026/7/6 10:36:50,0.4243,7.887,7.0983,24.62,0.3819
2026/7/6 10:37:00,0.4214,7.8873,7.0985,24.79,0.3793
2026/7/6 10:37:10,0.4228,7.8882,7.0993,24.68,0.3805
2026/7/6 10:37:20,0.4179,7.8894,7.1005,24.75,0.3761
2026/7/6 10:37:30,0.4182,7.8909,7.1018,24.7,0.3764
2026/7/6 10:37:40,0.4167,7.8921,7.1029,24.82,0.375
2026/7/6 10:37:50,0.4242,7.8928,7.1036,24.66,0.3818
2026/7/6 10:38:00,0.4188,7.893,7.1037,24.69,0.3769
2026/7/6 10:38:10,0.4232,7.8924,7.1032,24.66,0.3809
2026/7/6 10:38:20,0.4178,7.8914,7.1022,24.66,0.376
2026/7/6 10:38:30,0.4156,7.89,7.101,24.65,0.374
2026/7/6 10:38:40,0.4205,7.8886,7.0997,24.67,0.3784
2026/7/6 10:38:50,0.4218,7.8875,7.0988,24.84,0.3796
2026/7/6 10:39:00,0.4173,7.887,7.0983,24.74,0.3756
2026/7/6 10:39:10,0.4234,7.8872,7.0985,24.7,0.3811
2026/7/6 10:39:20,0.4189,7.8879,7.0992,24.69,0.377
2026/7/6 10:39:30,0.4235,7.8892,7.1003,24.72,0.3812
2026/7/6 10:39:40,0.4243,7.8906,7.1015,24.88,0.3819
2026/7/6 10:39:50,0.4159,7.8919,7.1027,24.82,0.3743
