时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/8 08:30:00,0,13.6344,12.271,24.41,0
2026/7/8 08:30:10,0.1381,13.0484,11.7436,24.54,0.1243
2026/7/8 08:30:20,0.2267,12.2542,11.0288,24.41,0.204
2026/7/8 08:30:30,0.2835,11.7397,10.5657,24.6,0.2552
2026/7/8 08:30:40,0.3199,11.3635,10.2272,24.43,0.2879
2026/7/8 08:30:50,0.3433,11.495,10.3455,24.62,0.309
2026/7/8 08:31:00,0.3582,10.3831,9.3448,24.47,0.3224
2026/7/8 08:31:10,0.3678,11.4395,10.2956,24.48,0.3311
2026/7/8 08:31:20,0.374,9.9195,8.9276,24.44,0.3366
2026/7/8 08:31:30,0.4043,6.84,6.156,24.58,0.3638
2026/7/8 08:31:40,0.4021,8.8833,7.995,24.58,0.3619
2026/7/8 08:31:50,0.4,8.6531,7.7878,24.52,0.36
2026/7/8 08:32:00,0.3978,6.4055,5.765,24.48,0.3581
2026/7/8 08:32:10,0.3957,4.6414,4.1772,24.49,0.3561
2026/7/8 08:32:20,0.3936,5.3236,4.7912,24.62,0.3542
2026/7/8 08:32:30,0.3914,7.6931,6.9238,24.65,0.3523
2026/7/8 08:32:40,0.3893,9.1134,8.202,24.59,0.3504
2026/7/8 08:32:50,0.3871,8.0042,7.2038,24.54,0.3484
2026/7/8 08:33:00,0.3848,4.56,4.104,24.59,0.3463
2026/7/8 08:33:10,0.3861,4.5614,4.1052,24.58,0.3475
2026/7/8 08:33:20,0.3853,4.5624,4.1062,24.52,0.3468
2026/7/8 08:33:30,0.3885,4.563,4.1067,24.58,0.3496
2026/7/8 08:33:40,0.3828,4.5628,4.1066,24.67,0.3445
2026/7/8 08:33:50,0.3827,4.5621,4.1059,24.52,0.3444
2026/7/8 08:34:00,0.3851,4.5608,4.1048,24.55,0.3466
2026/7/8 08:34:10,0.3887,4.5594,4.1035,24.58,0.3498
2026/7/8 08:34:20,0.385,4.5581,4.1023,24.69,0.3465
2026/7/8 08:34:30,0.3823,4.5573,4.1015,24.62,0.3441
2026/7/8 08:34:40,0.3857,4.557,4.1013,24.54,0.3471
2026/7/8 08:34:50,0.3846,4.5574,4.1017,24.7,0.3461
2026/7/8 08:35:00,0.3806,4.5584,4.1025,24.6,0.3425
2026/7/8 08:35:10,0.3854,4.5597,4.1038,24.58,0.3469
2026/7/8 08:35:20,0.3889,4.5611,4.105,24.59,0.35
2026/7/8 08:35:30,0.3867,4.5623,4.106,24.58,0.348
2026/7/8 08:35:40,0.3809,4.5629,4.1066,24.73,0.3428
2026/7/8 08:35:50,0.3848,4.5629,4.1066,24.62,0.3463
2026/7/8 08:36:00,0.3843,4.5623,4.106,24.61,0.3459
2026/7/8 08:36:10,0.3815,4.5611,4.105,24.6,0.3434
2026/7/8 08:36:20,0.3836,4.5597,4.1037,24.62,0.3452
2026/7/8 08:36:30,0.3881,4.5584,4.1025,24.7,0.3493
2026/7/8 08:36:40,0.3852,4.5574,4.1017,24.77,0.3467
2026/7/8 08:36:50,0.3838,4.557,4.1013,24.67,0.3454
2026/7/8 08:37:00,0.3856,4.5573,4.1015,24.62,0.347
2026/7/8 08:37:10,0.38,4.5582,4.1023,24.66,0.342
2026/7/8 08:37:20,0.3809,4.5594,4.1035,24.7,0.3428
2026/7/8 08:37:30,0.3843,4.5609,4.1048,24.78,0.3459
2026/7/8 08:37:40,0.3863,4.5621,4.1059,24.71,0.3477
2026/7/8 08:37:50,0.3888,4.5628,4.1066,24.68,0.3499
2026/7/8 08:38:00,0.3839,4.563,4.1067,24.67,0.3455
2026/7/8 08:38:10,0.3835,4.5624,4.1062,24.84,0.3452
2026/7/8 08:38:20,0.3832,4.5614,4.1052,24.8,0.3449
2026/7/8 08:38:30,0.3835,4.56,4.104,24.8,0.3452
2026/7/8 08:38:40,0.3874,4.5586,4.1027,24.73,0.3487
2026/7/8 08:38:50,0.3807,4.5575,4.1018,24.84,0.3426
2026/7/8 08:39:00,0.387,4.557,4.1013,24.86,0.3483
2026/7/8 08:39:10,0.3882,4.5572,4.1015,24.74,0.3494
2026/7/8 08:39:20,0.382,4.5579,4.1022,24.81,0.3438
2026/7/8 08:39:30,0.3822,4.5592,4.1033,24.88,0.344
2026/7/8 08:39:40,0.389,4.5606,4.1045,24.88,0.3501
2026/7/8 08:39:50,0.386,4.5619,4.1057,24.88,0.3474
