时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/12 09:30:00,0,11.1315,10.0184,24.46,0
2026/7/12 09:30:10,0.1597,15.0574,13.5517,24.56,0.1437
2026/7/12 09:30:20,0.2621,15.642,14.0778,24.53,0.2358
2026/7/12 09:30:30,0.3277,12.6383,11.3745,24.44,0.2949
2026/7/12 09:30:40,0.3698,12.9234,11.6311,24.44,0.3328
2026/7/12 09:30:50,0.3968,12.1451,10.9306,24.56,0.3571
2026/7/12 09:31:00,0.4141,13.2438,11.9194,24.61,0.3727
2026/7/12 09:31:10,0.4252,11.7994,10.6195,24.52,0.3827
2026/7/12 09:31:20,0.4323,14.0709,12.6638,24.44,0.3891
2026/7/12 09:31:30,0.4673,8.145,7.3305,24.46,0.4205
2026/7/12 09:31:40,0.4648,10.5782,9.5203,24.58,0.4183
2026/7/12 09:31:50,0.4623,10.304,9.2736,24.64,0.4161
2026/7/12 09:32:00,0.4598,7.6276,6.8648,24.59,0.4139
2026/7/12 09:32:10,0.4574,5.5269,4.9742,24.56,0.4116
2026/7/12 09:32:20,0.4549,6.3392,5.7053,24.53,0.4094
2026/7/12 09:32:30,0.4524,9.1608,8.2447,24.64,0.4072
2026/7/12 09:32:40,0.4499,10.8521,9.7669,24.53,0.4049
2026/7/12 09:32:50,0.4475,9.5313,8.5782,24.54,0.4027
2026/7/12 09:33:00,0.4439,5.43,4.887,24.56,0.3995
2026/7/12 09:33:10,0.4405,5.4314,4.8882,24.64,0.3965
2026/7/12 09:33:20,0.4402,5.4324,4.8892,24.56,0.3962
2026/7/12 09:33:30,0.4436,5.433,4.8897,24.66,0.3992
2026/7/12 09:33:40,0.4464,5.4328,4.8896,24.63,0.4018
2026/7/12 09:33:50,0.4482,5.4321,4.8889,24.58,0.4034
2026/7/12 09:34:00,0.4413,5.4308,4.8878,24.59,0.3972
2026/7/12 09:34:10,0.4406,5.4294,4.8865,24.58,0.3965
2026/7/12 09:34:20,0.4415,5.4281,4.8853,24.72,0.3974
2026/7/12 09:34:30,0.4418,5.4273,4.8845,24.7,0.3976
2026/7/12 09:34:40,0.4434,5.427,4.8843,24.65,0.3991
2026/7/12 09:34:50,0.4454,5.4274,4.8847,24.72,0.4009
2026/7/12 09:35:00,0.4427,5.4284,4.8855,24.7,0.3984
2026/7/12 09:35:10,0.4463,5.4297,4.8868,24.62,0.4017
2026/7/12 09:35:20,0.4422,5.4311,4.888,24.73,0.398
2026/7/12 09:35:30,0.4407,5.4323,4.889,24.74,0.3966
2026/7/12 09:35:40,0.4402,5.4329,4.8896,24.67,0.3962
2026/7/12 09:35:50,0.4498,5.4329,4.8896,24.7,0.4048
2026/7/12 09:36:00,0.4405,5.4323,4.889,24.66,0.3965
2026/7/12 09:36:10,0.448,5.4311,4.888,24.7,0.4032
2026/7/12 09:36:20,0.441,5.4297,4.8867,24.76,0.3969
2026/7/12 09:36:30,0.4412,5.4284,4.8855,24.72,0.3971
2026/7/12 09:36:40,0.4497,5.4274,4.8847,24.62,0.4047
2026/7/12 09:36:50,0.4447,5.427,4.8843,24.66,0.4002
2026/7/12 09:37:00,0.4486,5.4273,4.8845,24.67,0.4037
2026/7/12 09:37:10,0.4434,5.4282,4.8853,24.8,0.3991
2026/7/12 09:37:20,0.4451,5.4294,4.8865,24.64,0.4006
2026/7/12 09:37:30,0.4479,5.4309,4.8878,24.68,0.4031
2026/7/12 09:37:40,0.4439,5.4321,4.8889,24.82,0.3995
2026/7/12 09:37:50,0.442,5.4328,4.8896,24.68,0.3978
2026/7/12 09:38:00,0.4499,5.433,4.8897,24.82,0.4049
2026/7/12 09:38:10,0.4444,5.4324,4.8892,24.67,0.4
2026/7/12 09:38:20,0.4443,5.4314,4.8882,24.73,0.3999
2026/7/12 09:38:30,0.4455,5.43,4.887,24.65,0.401
2026/7/12 09:38:40,0.4494,5.4286,4.8857,24.75,0.4045
2026/7/12 09:38:50,0.4482,5.4275,4.8848,24.82,0.4034
2026/7/12 09:39:00,0.4406,5.427,4.8843,24.73,0.3965
2026/7/12 09:39:10,0.447,5.4272,4.8845,24.83,0.4023
2026/7/12 09:39:20,0.4437,5.4279,4.8852,24.72,0.3993
2026/7/12 09:39:30,0.447,5.4292,4.8863,24.88,0.4023
2026/7/12 09:39:40,0.4445,5.4306,4.8875,24.77,0.4
2026/7/12 09:39:50,0.4464,5.4319,4.8887,24.72,0.4018
