"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-07-23 11:05:00",0.013069,24.703042,2.500000,24.007670,0.010455
"2026-07-23 11:05:01",0.039973,24.521907,2.500000,24.045249,0.031978
"2026-07-23 11:05:02",0.064384,24.371065,2.500000,24.023749,0.051507
"2026-07-23 11:05:03",0.075983,24.262630,2.500000,24.057789,0.060786
"2026-07-23 11:05:04",0.089961,24.058442,2.500000,24.076014,0.071969
"2026-07-23 11:05:05",0.118737,23.950069,2.500000,24.064846,0.094989
"2026-07-23 11:05:06",0.135302,23.651263,2.500000,24.018505,0.108242
"2026-07-23 11:05:07",0.145927,23.531180,2.500000,23.981624,0.116741
"2026-07-23 11:05:08",0.173980,23.325534,2.500000,23.953808,0.139184
"2026-07-23 11:05:09",0.187999,23.221077,2.500000,23.972561,0.150399
"2026-07-23 11:05:10",0.202960,23.101208,2.500000,24.008400,0.162368
"2026-07-23 11:05:11",0.216485,22.879885,2.500000,23.997724,0.173188
"2026-07-23 11:05:12",0.240755,22.631816,2.500000,23.999066,0.192604
"2026-07-23 11:05:13",0.257888,22.525352,2.500000,24.035214,0.206311
"2026-07-23 11:05:14",0.269061,22.329962,2.500000,24.025073,0.215249
"2026-07-23 11:05:15",0.298272,22.150650,2.500000,23.990653,0.238617
"2026-07-23 11:05:16",0.324518,21.985555,2.500000,23.977960,0.259614
"2026-07-23 11:05:17",0.343670,21.700667,2.500000,24.016101,0.274936
"2026-07-23 11:05:18",0.369319,21.455005,2.500000,23.979603,0.295456
"2026-07-23 11:05:19",0.397188,21.299401,2.500000,23.948411,0.317750
"2026-07-23 11:05:20",0.417576,21.077391,2.500000,23.902696,0.334061
"2026-07-23 11:05:21",0.438669,20.890531,2.500000,23.888298,0.350935
"2026-07-23 11:05:22",0.458480,20.724835,2.500000,23.855927,0.366784
"2026-07-23 11:05:23",0.483207,20.592373,2.500000,23.808818,0.386566
"2026-07-23 11:05:24",0.504996,20.345950,2.500000,23.794084,0.403997
"2026-07-23 11:05:25",0.527760,20.242233,2.500000,23.801935,0.422208
"2026-07-23 11:05:26",0.543938,19.969070,2.500000,23.805207,0.435150
"2026-07-23 11:05:27",0.568063,19.790522,2.500000,23.806120,0.454450
"2026-07-23 11:05:28",0.590050,19.583124,2.500000,23.838760,0.472040
"2026-07-23 11:05:29",0.610019,19.301466,2.500000,23.813925,0.488016
"2026-07-23 11:05:30",0.628245,19.195452,2.500000,23.851640,0.502596
"2026-07-23 11:05:31",0.639411,19.035426,2.500000,23.824738,0.511528
"2026-07-23 11:05:32",0.650205,18.882077,2.500000,23.812376,0.520164
"2026-07-23 11:05:33",0.671463,18.612102,2.500000,23.841779,0.537170
"2026-07-23 11:05:34",0.688197,18.472328,2.500000,23.854391,0.550558
"2026-07-23 11:05:35",0.708184,18.330702,2.500000,23.866830,0.566547
"2026-07-23 11:05:36",0.732190,18.143693,2.500000,23.844994,0.585752
"2026-07-23 11:05:37",0.747436,17.995029,2.500000,23.829236,0.597949
"2026-07-23 11:05:38",0.758140,17.836006,2.500000,23.803072,0.606512
"2026-07-23 11:05:39",0.788059,17.594565,2.500000,23.804026,0.630447
"2026-07-23 11:05:40",0.817941,17.402601,2.500000,23.802960,0.654353
"2026-07-23 11:05:41",0.845441,17.104903,2.500000,23.810682,0.676353
"2026-07-23 11:05:42",0.859028,16.913293,2.500000,23.765357,0.687222
"2026-07-23 11:05:43",0.881948,16.624726,2.500000,23.741972,0.705559
"2026-07-23 11:05:44",0.894279,16.443783,2.500000,23.750104,0.715423
"2026-07-23 11:05:45",0.918098,16.334085,2.500000,23.764931,0.734479
"2026-07-23 11:05:46",0.939102,16.089343,2.500000,23.809057,0.751282
"2026-07-23 11:05:47",0.952340,15.867625,2.500000,23.791132,0.761872
"2026-07-23 11:05:48",0.970295,15.727888,2.500000,23.749541,0.776236
"2026-07-23 11:05:49",0.999661,15.468541,2.500000,23.731237,0.799729
"2026-07-23 11:05:50",1.029238,15.311637,2.500000,23.767860,0.823390
"2026-07-23 11:05:51",1.056303,15.084147,2.500000,23.804657,0.845043
"2026-07-23 11:05:52",1.084189,14.932242,2.500000,23.777102,0.867351
"2026-07-23 11:05:53",1.094945,14.654232,2.500000,23.769126,0.875956
"2026-07-23 11:05:54",1.105093,14.553631,2.500000,23.769515,0.884074
"2026-07-23 11:05:55",1.123467,14.339683,2.500000,23.783252,0.898774
"2026-07-23 11:05:56",1.151321,14.063140,2.500000,23.791864,0.921057
"2026-07-23 11:05:57",1.175857,13.948931,2.500000,23.796904,0.940686
"2026-07-23 11:05:58",1.190992,13.683643,2.500000,23.785345,0.952794
"2026-07-23 11:05:59",1.212061,13.550672,2.500000,23.757753,0.969649
"2026-07-23 11:06:00",1.209107,13.420962,2.500000,23.719667,1.027741
"2026-07-23 11:06:01",1.211911,13.348920,2.500000,23.702182,1.030124
"2026-07-23 11:06:02",1.219081,13.240657,2.500000,23.664145,1.036219
"2026-07-23 11:06:03",1.217082,13.125728,2.500000,23.643998,1.034520
"2026-07-23 11:06:04",1.219629,12.994517,2.500000,23.598504,1.036685
"2026-07-23 11:06:05",1.218841,12.857392,2.500000,23.584540,1.036015
"2026-07-23 11:06:06",1.215535,12.720959,2.500000,23.612226,1.033205
"2026-07-23 11:06:07",1.216041,12.591088,2.500000,23.656268,1.033635
"2026-07-23 11:06:08",1.216755,12.462571,2.500000,23.636864,1.034242
