"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-08-07 14:24:00",0.021757,24.762139,2.500000,23.977018,0.017406
"2026-08-07 14:24:01",0.045925,24.490463,2.500000,23.972477,0.036740
"2026-08-07 14:24:02",0.059235,24.288504,2.500000,24.013080,0.047388
"2026-08-07 14:24:03",0.086710,24.044855,2.500000,24.047666,0.069368
"2026-08-07 14:24:04",0.102587,23.880311,2.500000,24.020830,0.082069
"2026-08-07 14:24:05",0.122850,23.583606,2.500000,24.031968,0.098280
"2026-08-07 14:24:06",0.135964,23.338052,2.500000,24.020354,0.108771
"2026-08-07 14:24:07",0.155039,23.228131,2.500000,23.989145,0.124031
"2026-08-07 14:24:08",0.184285,23.080976,2.500000,23.946448,0.147428
"2026-08-07 14:24:09",0.208093,22.905619,2.500000,23.988527,0.166474
"2026-08-07 14:24:10",0.220488,22.780732,2.500000,23.973418,0.176391
"2026-08-07 14:24:11",0.241762,22.670795,2.500000,23.941165,0.193409
"2026-08-07 14:24:12",0.271120,22.389549,2.500000,23.920189,0.216896
"2026-08-07 14:24:13",0.299991,22.218313,2.500000,23.957623,0.239993
"2026-08-07 14:24:14",0.320992,21.983679,2.500000,23.987162,0.256794
"2026-08-07 14:24:15",0.338023,21.877437,2.500000,23.995547,0.270419
"2026-08-07 14:24:16",0.366853,21.727754,2.500000,23.992478,0.293483
"2026-08-07 14:24:17",0.388483,21.547542,2.500000,24.021357,0.310787
"2026-08-07 14:24:18",0.407968,21.437206,2.500000,24.045824,0.326374
"2026-08-07 14:24:19",0.430547,21.257669,2.500000,24.081122,0.344438
"2026-08-07 14:24:20",0.452401,21.146945,2.500000,24.045587,0.361921
"2026-08-07 14:24:21",0.468923,20.902348,2.500000,24.064422,0.375139
"2026-08-07 14:24:22",0.480044,20.616577,2.500000,24.077380,0.384035
"2026-08-07 14:24:23",0.496476,20.452996,2.500000,24.078497,0.397181
"2026-08-07 14:24:24",0.512893,20.156821,2.500000,24.102649,0.410314
"2026-08-07 14:24:25",0.540350,19.862668,2.500000,24.146799,0.432280
"2026-08-07 14:24:26",0.568584,19.672758,2.500000,24.119194,0.454867
"2026-08-07 14:24:27",0.583276,19.377048,2.500000,24.152958,0.466621
"2026-08-07 14:24:28",0.610737,19.187702,2.500000,24.113995,0.488590
"2026-08-07 14:24:29",0.622779,18.949150,2.500000,24.079934,0.498223
"2026-08-07 14:24:30",0.636307,18.755970,2.500000,24.067721,0.509045
"2026-08-07 14:24:31",0.652927,18.645092,2.500000,24.045881,0.522342
"2026-08-07 14:24:32",0.673580,18.425694,2.500000,24.061897,0.538864
"2026-08-07 14:24:33",0.685421,18.254788,2.500000,24.016524,0.548337
"2026-08-07 14:24:34",0.705926,18.073711,2.500000,23.984641,0.564740
"2026-08-07 14:24:35",0.730097,17.906431,2.500000,23.938442,0.584078
"2026-08-07 14:24:36",0.755828,17.685096,2.500000,23.951496,0.604662
"2026-08-07 14:24:37",0.778122,17.483215,2.500000,23.970154,0.622497
"2026-08-07 14:24:38",0.791693,17.233476,2.500000,23.982343,0.633355
"2026-08-07 14:24:39",0.816636,17.068656,2.500000,23.973404,0.653309
"2026-08-07 14:24:40",0.840344,16.825949,2.500000,24.017690,0.672276
"2026-08-07 14:24:41",0.852497,16.686707,2.500000,24.057585,0.681998
