"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-07-10 16:44:00",0.025203,24.767541,2.500000,24.039929,0.020162
"2026-07-10 16:44:01",0.051499,24.589306,2.500000,24.040239,0.041199
"2026-07-10 16:44:02",0.070562,24.290659,2.500000,24.032599,0.056450
"2026-07-10 16:44:03",0.100426,24.074718,2.500000,23.996032,0.080341
"2026-07-10 16:44:04",0.119043,23.831409,2.500000,24.006974,0.095235
"2026-07-10 16:44:05",0.143747,23.634116,2.500000,23.968752,0.114998
"2026-07-10 16:44:06",0.158554,23.476262,2.500000,24.017440,0.126843
"2026-07-10 16:44:07",0.170212,23.330221,2.500000,23.995453,0.136170
"2026-07-10 16:44:08",0.194439,23.056933,2.500000,24.011263,0.155551
"2026-07-10 16:44:09",0.208576,22.805536,2.500000,23.994396,0.166861
"2026-07-10 16:44:10",0.222401,22.570053,2.500000,23.988281,0.177921
"2026-07-10 16:44:11",0.232939,22.301578,2.500000,23.964198,0.186351
"2026-07-10 16:44:12",0.261637,22.153385,2.500000,23.957171,0.209309
"2026-07-10 16:44:13",0.273070,21.978741,2.500000,23.959353,0.218456
"2026-07-10 16:44:14",0.283405,21.681059,2.500000,23.918917,0.226724
"2026-07-10 16:44:15",0.300089,21.521502,2.500000,23.899994,0.240071
"2026-07-10 16:44:16",0.314133,21.251618,2.500000,23.878815,0.251307
"2026-07-10 16:44:17",0.342375,21.077028,2.500000,23.872938,0.273900
"2026-07-10 16:44:18",0.355933,20.883597,2.500000,23.909010,0.284746
"2026-07-10 16:44:19",0.372246,20.604881,2.500000,23.899203,0.297797
"2026-07-10 16:44:20",0.394265,20.328669,2.500000,23.862975,0.315412
"2026-07-10 16:44:21",0.411158,20.123014,2.500000,23.912171,0.328927
"2026-07-10 16:44:22",0.426705,19.970885,2.500000,23.953177,0.341364
"2026-07-10 16:44:23",0.451768,19.859805,2.500000,23.938185,0.361415
"2026-07-10 16:44:24",0.467753,19.578471,2.500000,23.903971,0.374202
"2026-07-10 16:44:25",0.478076,19.324258,2.500000,23.924945,0.382461
"2026-07-10 16:44:26",0.492348,19.111401,2.500000,23.911551,0.393879
"2026-07-10 16:44:27",0.521654,18.983640,2.500000,23.880158,0.417323
"2026-07-10 16:44:28",0.533256,18.882581,2.500000,23.921704,0.426605
"2026-07-10 16:44:29",0.559255,18.639038,2.500000,23.957807,0.447404
"2026-07-10 16:44:30",0.575621,18.392538,2.500000,23.924132,0.460497
"2026-07-10 16:44:31",0.590310,18.110730,2.500000,23.943344,0.472248
"2026-07-10 16:44:32",0.600355,17.934628,2.500000,23.937422,0.480284
"2026-07-10 16:44:33",0.614758,17.702529,2.500000,23.938304,0.491806
"2026-07-10 16:44:34",0.632087,17.467300,2.500000,23.956064,0.505669
"2026-07-10 16:44:35",0.642696,17.264293,2.500000,23.995194,0.514157
"2026-07-10 16:44:36",0.660636,17.038904,2.500000,24.033927,0.528509
"2026-07-10 16:44:37",0.682435,16.776886,2.500000,24.073914,0.545948
"2026-07-10 16:44:38",0.694449,16.556686,2.500000,24.102652,0.555559
"2026-07-10 16:44:39",0.709849,16.419100,2.500000,24.112385,0.567880
"2026-07-10 16:44:40",0.736477,16.153409,2.500000,24.075354,0.589182
"2026-07-10 16:44:41",0.751575,15.949549,2.500000,24.111298,0.601260
"2026-07-10 16:44:42",0.777722,15.759622,2.500000,24.153130,0.622178
"2026-07-10 16:44:43",0.807071,15.641670,2.500000,24.111360,0.645657
"2026-07-10 16:44:44",0.828139,15.455191,2.500000,24.079116,0.662511
"2026-07-10 16:44:45",0.844962,15.308505,2.500000,24.030272,0.675970
"2026-07-10 16:44:46",0.867765,15.009972,2.500000,24.027456,0.694212
"2026-07-10 16:44:47",0.890630,14.857302,2.500000,24.035983,0.712504
"2026-07-10 16:44:48",0.919102,14.623161,2.500000,24.034527,0.735282
"2026-07-10 16:44:49",0.936500,14.324491,2.500000,24.064644,0.749200
"2026-07-10 16:44:50",0.962230,14.098543,2.500000,24.066263,0.769784
"2026-07-10 16:44:51",0.988842,13.831401,2.500000,24.083005,0.791074
"2026-07-10 16:44:52",1.008942,13.709618,2.500000,24.088331,0.807154
"2026-07-10 16:44:53",1.028932,13.510455,2.500000,24.093930,0.823145
"2026-07-10 16:44:54",1.039637,13.326300,2.500000,24.055641,0.831709
"2026-07-10 16:44:55",1.057647,13.109720,2.500000,24.085664,0.846118
"2026-07-10 16:44:56",1.086503,12.930968,2.500000,24.069249,0.869202
"2026-07-10 16:44:57",1.113852,12.801451,2.500000,24.098610,0.891081
"2026-07-10 16:44:58",1.128023,12.624457,2.500000,24.084740,0.902418
"2026-07-10 16:44:59",1.157015,12.400117,2.500000,24.052448,0.925612
"2026-07-10 16:45:00",1.165090,12.256111,2.500000,24.036141,0.990327
"2026-07-10 16:45:01",1.175026,12.154575,2.500000,24.065797,0.998772
"2026-07-10 16:45:02",1.176542,12.060765,2.500000,24.058394,1.000060
"2026-07-10 16:45:03",1.175239,11.999042,2.500000,24.050148,0.998953
"2026-07-10 16:45:04",1.175935,11.860252,2.500000,24.022184,0.999545
"2026-07-10 16:45:05",1.177353,11.725508,2.500000,24.051598,1.000750
"2026-07-10 16:45:06",1.181322,11.640855,2.500000,24.051123,1.004124
"2026-07-10 16:45:07",1.177171,11.567528,2.500000,24.068935,1.000595
"2026-07-10 16:45:08",1.185862,11.502535,2.500000,24.073451,1.007982
"2026-07-10 16:45:09",1.188216,11.437237,2.500000,24.030755,1.009984
"2026-07-10 16:45:10",1.192419,11.351955,2.500000,23.994173,1.013556
"2026-07-10 16:45:11",1.193473,11.294118,2.500000,23.978520,1.014452
