"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-07-12 15:11:00",0.018517,24.848401,2.500000,24.028316,0.014814
"2026-07-12 15:11:01",0.048237,24.641855,2.500000,23.992105,0.038589
"2026-07-12 15:11:02",0.066608,24.421371,2.500000,23.990725,0.053286
"2026-07-12 15:11:03",0.087089,24.122543,2.500000,23.986783,0.069671
"2026-07-12 15:11:04",0.101754,23.876491,2.500000,23.958848,0.081403
"2026-07-12 15:11:05",0.117509,23.668467,2.500000,24.003686,0.094008
"2026-07-12 15:11:06",0.133398,23.516523,2.500000,23.966290,0.106719
"2026-07-12 15:11:07",0.153285,23.303934,2.500000,23.958756,0.122628
"2026-07-12 15:11:08",0.176776,23.202686,2.500000,23.991263,0.141421
"2026-07-12 15:11:09",0.198617,23.017533,2.500000,23.991837,0.158893
"2026-07-12 15:11:10",0.223956,22.741725,2.500000,24.041128,0.179165
"2026-07-12 15:11:11",0.243665,22.499050,2.500000,24.034962,0.194932
"2026-07-12 15:11:12",0.266095,22.310002,2.500000,23.988090,0.212876
"2026-07-12 15:11:13",0.287360,22.139330,2.500000,23.956761,0.229888
"2026-07-12 15:11:14",0.300530,21.947527,2.500000,23.945931,0.240424
"2026-07-12 15:11:15",0.330238,21.837973,2.500000,23.920858,0.264191
"2026-07-12 15:11:16",0.359019,21.565158,2.500000,23.871063,0.287216
"2026-07-12 15:11:17",0.384251,21.368577,2.500000,23.836342,0.307401
"2026-07-12 15:11:18",0.407595,21.127460,2.500000,23.828370,0.326076
"2026-07-12 15:11:19",0.436969,20.926388,2.500000,23.811657,0.349575
"2026-07-12 15:11:20",0.465745,20.681570,2.500000,23.806124,0.372596
"2026-07-12 15:11:21",0.479301,20.411553,2.500000,23.816448,0.383441
"2026-07-12 15:11:22",0.502575,20.135407,2.500000,23.797153,0.402060
"2026-07-12 15:11:23",0.515066,19.922170,2.500000,23.768150,0.412053
"2026-07-12 15:11:24",0.534019,19.669058,2.500000,23.747398,0.427215
"2026-07-12 15:11:25",0.556665,19.502430,2.500000,23.709729,0.445332
"2026-07-12 15:11:26",0.571944,19.262891,2.500000,23.701613,0.457555
"2026-07-12 15:11:27",0.588015,19.089363,2.500000,23.663525,0.470412
"2026-07-12 15:11:28",0.605033,18.943534,2.500000,23.702201,0.484026
"2026-07-12 15:11:29",0.621483,18.704685,2.500000,23.714668,0.497186
"2026-07-12 15:11:30",0.641369,18.509879,2.500000,23.681346,0.513095
"2026-07-12 15:11:31",0.666019,18.358738,2.500000,23.730807,0.532815
"2026-07-12 15:11:32",0.679749,18.122042,2.500000,23.774624,0.543799
"2026-07-12 15:11:33",0.706701,17.871395,2.500000,23.753648,0.565361
"2026-07-12 15:11:34",0.732272,17.652767,2.500000,23.737050,0.585817
"2026-07-12 15:11:35",0.757116,17.398006,2.500000,23.736692,0.605692
"2026-07-12 15:11:36",0.785884,17.294111,2.500000,23.701314,0.628707
"2026-07-12 15:11:37",0.805254,17.067969,2.500000,23.701237,0.644204
"2026-07-12 15:11:38",0.818044,16.915151,2.500000,23.717979,0.654435
"2026-07-12 15:11:39",0.836044,16.725036,2.500000,23.671060,0.668835
"2026-07-12 15:11:40",0.855106,16.491802,2.500000,23.636758,0.684085
"2026-07-12 15:11:41",0.871691,16.312865,2.500000,23.674038,0.697353
"2026-07-12 15:11:42",0.887895,16.153257,2.500000,23.687796,0.710316
"2026-07-12 15:11:43",0.909692,16.031633,2.500000,23.700863,0.727754
"2026-07-12 15:11:44",0.937201,15.913397,2.500000,23.694697,0.749761
"2026-07-12 15:11:45",0.966253,15.696881,2.500000,23.713636,0.773002
"2026-07-12 15:11:46",0.977571,15.517240,2.500000,23.688356,0.782057
"2026-07-12 15:11:47",0.988471,15.274781,2.500000,23.732774,0.790776
"2026-07-12 15:11:48",1.010094,15.125627,2.500000,23.705916,0.808076
"2026-07-12 15:11:49",1.029496,14.928294,2.500000,23.737742,0.823597
"2026-07-12 15:11:50",1.044835,14.755101,2.500000,23.723474,0.835868
"2026-07-12 15:11:51",1.071407,14.519651,2.500000,23.719013,0.857126
"2026-07-12 15:11:52",1.084652,14.404179,2.500000,23.701591,0.867722
"2026-07-12 15:11:53",1.095674,14.192342,2.500000,23.743327,0.876539
"2026-07-12 15:11:54",1.123076,14.064397,2.500000,23.732801,0.898461
"2026-07-12 15:11:55",1.146796,13.816947,2.500000,23.749123,0.917437
"2026-07-12 15:11:56",1.176513,13.650642,2.500000,23.748901,0.941210
"2026-07-12 15:11:57",1.196527,13.396733,2.500000,23.771890,0.957222
"2026-07-12 15:11:58",1.215289,13.243204,2.500000,23.784508,0.972231
"2026-07-12 15:11:59",1.233570,12.948347,2.500000,23.773597,0.986856
"2026-07-12 15:12:00",1.243444,12.884490,2.500000,23.775255,1.056928
"2026-07-12 15:12:01",1.241623,12.808825,2.500000,23.819825,1.055379
"2026-07-12 15:12:02",1.239980,12.682793,2.500000,23.797751,1.053983
"2026-07-12 15:12:03",1.243207,12.604957,2.500000,23.843610,1.056726
"2026-07-12 15:12:04",1.239993,12.500749,2.500000,23.847435,1.053994
"2026-07-12 15:12:05",1.237340,12.402765,2.500000,23.870678,1.051739
"2026-07-12 15:12:06",1.235570,12.287854,2.500000,23.841273,1.050235
"2026-07-12 15:12:07",1.240784,12.169772,2.500000,23.864478,1.054666
"2026-07-12 15:12:08",1.248743,12.114008,2.500000,23.820344,1.061431
"2026-07-12 15:12:09",1.250052,12.028931,2.500000,23.778965,1.062544
"2026-07-12 15:12:10",1.256509,11.893546,2.500000,23.737057,1.068033
"2026-07-12 15:12:11",1.252920,11.811439,2.500000,23.741071,1.064982
"2026-07-12 15:12:12",1.259351,11.727833,2.500000,23.716918,1.070449
"2026-07-12 15:12:13",1.268168,11.652673,2.500000,23.679446,1.077943
"2026-07-12 15:12:14",1.273204,11.583529,2.500000,23.668500,1.082223
"2026-07-12 15:12:15",1.278287,11.451749,2.500000,23.696634,1.086544
"2026-07-12 15:12:16",1.283553,11.351543,2.500000,23.678469,1.091020
"2026-07-12 15:12:17",1.279641,11.295086,2.500000,23.687761,1.087695
"2026-07-12 15:12:18",1.284185,11.175182,2.500000,23.659193,1.091557
"2026-07-12 15:12:19",1.281598,11.062879,2.500000,23.629110,1.089358
