"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-07-25 12:43:00",0.010069,24.720433,2.500000,24.007092,0.008055
"2026-07-25 12:43:01",0.032917,24.583658,2.500000,24.034343,0.026334
"2026-07-25 12:43:02",0.053085,24.481958,2.500000,24.084172,0.042468
"2026-07-25 12:43:03",0.065435,24.358308,2.500000,24.110826,0.052348
"2026-07-25 12:43:04",0.077157,24.074705,2.500000,24.158225,0.061725
"2026-07-25 12:43:05",0.101348,23.956852,2.500000,24.147847,0.081078
"2026-07-25 12:43:06",0.124967,23.732320,2.500000,24.151400,0.099974
"2026-07-25 12:43:07",0.149587,23.539505,2.500000,24.180842,0.119670
"2026-07-25 12:43:08",0.163363,23.273085,2.500000,24.229292,0.130690
"2026-07-25 12:43:09",0.176897,23.023059,2.500000,24.214669,0.141518
"2026-07-25 12:43:10",0.194185,22.850316,2.500000,24.231317,0.155348
"2026-07-25 12:43:11",0.215634,22.692466,2.500000,24.239702,0.172507
"2026-07-25 12:43:12",0.244500,22.549846,2.500000,24.272291,0.195600
"2026-07-25 12:43:13",0.258767,22.349179,2.500000,24.317396,0.207014
"2026-07-25 12:43:14",0.283427,22.168451,2.500000,24.336026,0.226741
"2026-07-25 12:43:15",0.297576,21.913207,2.500000,24.348324,0.238061
"2026-07-25 12:43:16",0.325390,21.629443,2.500000,24.393199,0.260312
"2026-07-25 12:43:17",0.340430,21.472322,2.500000,24.363628,0.272344
"2026-07-25 12:43:18",0.355299,21.306286,2.500000,24.355443,0.284239
"2026-07-25 12:43:19",0.383430,21.078569,2.500000,24.331823,0.306744
"2026-07-25 12:43:20",0.412453,20.785072,2.500000,24.344773,0.329963
"2026-07-25 12:43:21",0.430141,20.575474,2.500000,24.302055,0.344113
"2026-07-25 12:43:22",0.457638,20.357396,2.500000,24.312998,0.366111
"2026-07-25 12:43:23",0.472851,20.122122,2.500000,24.358185,0.378280
"2026-07-25 12:43:24",0.486092,19.953772,2.500000,24.361069,0.388874
"2026-07-25 12:43:25",0.511641,19.711962,2.500000,24.381691,0.409312
"2026-07-25 12:43:26",0.523833,19.517023,2.500000,24.369914,0.419066
"2026-07-25 12:43:27",0.550604,19.331656,2.500000,24.344597,0.440483
"2026-07-25 12:43:28",0.568489,19.182996,2.500000,24.354098,0.454791
"2026-07-25 12:43:29",0.582650,18.883810,2.500000,24.350911,0.466120
"2026-07-25 12:43:30",0.601435,18.622513,2.500000,24.309962,0.481148
"2026-07-25 12:43:31",0.630088,18.436847,2.500000,24.308421,0.504070
"2026-07-25 12:43:32",0.655831,18.300640,2.500000,24.335482,0.524665
"2026-07-25 12:43:33",0.671112,18.062277,2.500000,24.299655,0.536890
"2026-07-25 12:43:34",0.695890,17.917160,2.500000,24.280094,0.556712
"2026-07-25 12:43:35",0.717264,17.737935,2.500000,24.272802,0.573811
