"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-07-20 15:01:00",0.025622,24.734483,2.500000,23.985426,0.020497
"2026-07-20 15:01:01",0.046739,24.537571,2.500000,24.027012,0.037391
"2026-07-20 15:01:02",0.057931,24.291037,2.500000,23.991180,0.046345
"2026-07-20 15:01:03",0.085428,24.156282,2.500000,23.948281,0.068342
"2026-07-20 15:01:04",0.111955,23.930356,2.500000,23.994160,0.089564
"2026-07-20 15:01:05",0.128390,23.644259,2.500000,24.031428,0.102712
"2026-07-20 15:01:06",0.157831,23.346240,2.500000,24.054457,0.126265
"2026-07-20 15:01:07",0.172740,23.134931,2.500000,24.071693,0.138192
"2026-07-20 15:01:08",0.197682,22.988024,2.500000,24.037594,0.158146
"2026-07-20 15:01:09",0.224417,22.715381,2.500000,24.005726,0.179533
"2026-07-20 15:01:10",0.247025,22.466173,2.500000,24.042334,0.197620
"2026-07-20 15:01:11",0.261962,22.341143,2.500000,23.996470,0.209570
"2026-07-20 15:01:12",0.288815,22.177849,2.500000,23.978646,0.231052
"2026-07-20 15:01:13",0.312592,21.987822,2.500000,23.979813,0.250074
"2026-07-20 15:01:14",0.333935,21.714368,2.500000,23.935231,0.267148
"2026-07-20 15:01:15",0.345692,21.470241,2.500000,23.937388,0.276553
"2026-07-20 15:01:16",0.367159,21.235385,2.500000,23.945705,0.293727
"2026-07-20 15:01:17",0.382501,20.942084,2.500000,23.973129,0.306001
"2026-07-20 15:01:18",0.405905,20.665252,2.500000,23.938617,0.324724
"2026-07-20 15:01:19",0.425498,20.516870,2.500000,23.900391,0.340398
"2026-07-20 15:01:20",0.449805,20.283546,2.500000,23.852841,0.359844
"2026-07-20 15:01:21",0.472575,20.027553,2.500000,23.875324,0.378060
"2026-07-20 15:01:22",0.493755,19.786466,2.500000,23.900301,0.395004
"2026-07-20 15:01:23",0.520999,19.650630,2.500000,23.890168,0.416799
"2026-07-20 15:01:24",0.547503,19.446800,2.500000,23.886753,0.438003
"2026-07-20 15:01:25",0.573251,19.219995,2.500000,23.848199,0.458601
"2026-07-20 15:01:26",0.587716,19.040802,2.500000,23.845867,0.470173
"2026-07-20 15:01:27",0.599830,18.827090,2.500000,23.866745,0.479864
"2026-07-20 15:01:28",0.624970,18.590882,2.500000,23.896438,0.499976
"2026-07-20 15:01:29",0.648981,18.421702,2.500000,23.848297,0.519185
"2026-07-20 15:01:30",0.676352,18.178573,2.500000,23.841048,0.541081
"2026-07-20 15:01:31",0.693295,17.924707,2.500000,23.791760,0.554636
"2026-07-20 15:01:32",0.720238,17.785371,2.500000,23.795764,0.576190
"2026-07-20 15:01:33",0.741265,17.511201,2.500000,23.809092,0.593012
"2026-07-20 15:01:34",0.766553,17.368797,2.500000,23.794808,0.613242
"2026-07-20 15:01:35",0.785202,17.252461,2.500000,23.827755,0.628162
"2026-07-20 15:01:36",0.806252,17.136333,2.500000,23.866757,0.645002
"2026-07-20 15:01:37",0.821743,16.992324,2.500000,23.860326,0.657394
"2026-07-20 15:01:38",0.834110,16.812469,2.500000,23.868173,0.667288
"2026-07-20 15:01:39",0.845474,16.690648,2.500000,23.836020,0.676380
"2026-07-20 15:01:40",0.865529,16.545448,2.500000,23.869177,0.692423
"2026-07-20 15:01:41",0.893089,16.289928,2.500000,23.855117,0.714471
"2026-07-20 15:01:42",0.918592,16.086585,2.500000,23.813810,0.734873
"2026-07-20 15:01:43",0.944818,15.949565,2.500000,23.845753,0.755855
"2026-07-20 15:01:44",0.958537,15.775007,2.500000,23.840834,0.766829
"2026-07-20 15:01:45",0.974253,15.660740,2.500000,23.810918,0.779402
"2026-07-20 15:01:46",0.993009,15.381854,2.500000,23.799420,0.794407
"2026-07-20 15:01:47",1.010857,15.213316,2.500000,23.751488,0.808686
"2026-07-20 15:01:48",1.037479,15.090760,2.500000,23.778612,0.829983
"2026-07-20 15:01:49",1.054694,14.955020,2.500000,23.732744,0.843755
"2026-07-20 15:01:50",1.079912,14.675704,2.500000,23.737380,0.863930
"2026-07-20 15:01:51",1.109656,14.526792,2.500000,23.738597,0.887725
"2026-07-20 15:01:52",1.127348,14.360222,2.500000,23.770778,0.901878
"2026-07-20 15:01:53",1.143288,14.227556,2.500000,23.807263,0.914631
"2026-07-20 15:01:54",1.169782,14.094653,2.500000,23.828100,0.935826
"2026-07-20 15:01:55",1.199249,13.918576,2.500000,23.804865,0.959400
"2026-07-20 15:01:56",1.212044,13.748602,2.500000,23.793434,0.969635
"2026-07-20 15:01:57",1.229679,13.640066,2.500000,23.823216,0.983743
"2026-07-20 15:01:58",1.244734,13.371084,2.500000,23.859329,0.995787
"2026-07-20 15:01:59",1.272027,13.231958,2.500000,23.904046,1.017622
"2026-07-20 15:02:00",1.273268,13.114679,2.500000,23.920833,1.082278
"2026-07-20 15:02:01",1.275110,12.968821,2.500000,23.956335,1.083843
"2026-07-20 15:02:02",1.282990,12.903590,2.500000,23.977724,1.090541
"2026-07-20 15:02:03",1.278445,12.777337,2.500000,23.946902,1.086678
"2026-07-20 15:02:04",1.288242,12.691680,2.500000,23.942630,1.095006
"2026-07-20 15:02:05",1.283383,12.549546,2.500000,23.962483,1.090876
"2026-07-20 15:02:06",1.279551,12.484875,2.500000,24.005060,1.087619
"2026-07-20 15:02:07",1.274652,12.411215,2.500000,23.990995,1.083455
"2026-07-20 15:02:08",1.275046,12.274965,2.500000,23.970972,1.083789
"2026-07-20 15:02:09",1.281907,12.177801,2.500000,24.011168,1.089621
"2026-07-20 15:02:10",1.288193,12.059126,2.500000,23.988491,1.094964
"2026-07-20 15:02:11",1.288291,11.957529,2.500000,24.009537,1.095047
"2026-07-20 15:02:12",1.296642,11.811269,2.500000,23.987754,1.102146
"2026-07-20 15:02:13",1.301783,11.749639,2.500000,23.955088,1.106516
"2026-07-20 15:02:14",1.300384,11.652748,2.500000,23.936869,1.105326
"2026-07-20 15:02:15",1.297758,11.536139,2.500000,23.925970,1.103095
"2026-07-20 15:02:16",1.304396,11.401884,2.500000,23.965496,1.108737
"2026-07-20 15:02:17",1.312455,11.260352,2.500000,24.012795,1.115587
"2026-07-20 15:02:18",1.312450,11.119770,2.500000,24.052354,1.115583
"2026-07-20 15:02:19",1.313288,10.976748,2.500000,24.095517,1.116295
"2026-07-20 15:02:20",1.321810,10.903849,2.500000,24.083911,1.123538
"2026-07-20 15:02:21",1.325816,10.802533,2.500000,24.125295,1.126943
"2026-07-20 15:02:22",1.334950,10.703067,2.500000,24.150533,1.134708
"2026-07-20 15:02:23",1.333367,10.589731,2.500000,24.101046,1.133362
"2026-07-20 15:02:24",1.333912,10.537455,2.500000,24.092383,1.133825
"2026-07-20 15:02:25",1.335662,10.460390,2.500000,24.114854,1.135313
"2026-07-20 15:02:26",1.337029,10.362472,2.500000,24.160812,1.136474
"2026-07-20 15:02:27",1.340145,10.282235,2.500000,24.140245,1.139123
"2026-07-20 15:02:28",1.346313,10.220299,2.500000,24.170142,1.144366
"2026-07-20 15:02:29",1.348758,10.092853,2.500000,24.213423,1.146444
"2026-07-20 15:02:30",1.349916,9.988300,2.500000,24.244834,1.147428
"2026-07-20 15:02:31",1.352233,9.868517,2.500000,24.282054,1.149398
"2026-07-20 15:02:32",1.347800,9.741144,2.500000,24.326122,1.145630
"2026-07-20 15:02:33",1.352027,9.615047,2.500000,24.324954,1.149223
"2026-07-20 15:02:34",1.356707,9.529392,2.500000,24.336314,1.153201
"2026-07-20 15:02:35",1.353450,9.476742,2.500000,24.308672,1.150433
"2026-07-20 15:02:36",1.358904,9.393225,2.500000,24.303229,1.155068
"2026-07-20 15:02:37",1.358951,9.327165,2.500000,24.308628,1.155109
"2026-07-20 15:02:38",1.368678,9.217448,2.500000,24.327945,1.163377
"2026-07-20 15:02:39",1.372859,9.125959,2.500000,24.355098,1.166930
"2026-07-20 15:02:40",1.368894,8.989197,2.500000,24.383566,1.163560
"2026-07-20 15:02:41",1.372208,8.841557,2.500000,24.387529,1.166377
"2026-07-20 15:02:42",1.370632,8.765149,2.500000,24.430666,1.165037
"2026-07-20 15:02:43",1.379592,8.682084,2.500000,24.441061,1.172653
"2026-07-20 15:02:44",1.384283,8.612249,2.500000,24.451251,1.176641
"2026-07-20 15:02:45",1.385413,8.479164,2.500000,24.462931,1.177601
"2026-07-20 15:02:46",1.387712,8.396985,2.500000,24.438904,1.179555
"2026-07-20 15:02:47",1.384695,8.328984,2.500000,24.437237,1.176991
"2026-07-20 15:02:48",1.386594,8.212382,2.500000,24.416827,1.178605
"2026-07-20 15:02:49",1.385223,8.118505,2.500000,24.391633,1.177439
"2026-07-20 15:02:50",1.385683,8.001506,2.500000,24.438911,1.177831
"2026-07-20 15:02:51",1.394996,7.878185,2.500000,24.409184,1.185747
"2026-07-20 15:02:52",1.396952,7.803189,2.500000,24.449899,1.187409
"2026-07-20 15:02:53",1.399287,7.681016,2.500000,24.493014,1.189394
"2026-07-20 15:02:54",1.407381,7.544900,2.500000,24.510966,1.196274
"2026-07-20 15:02:55",1.405079,7.414453,2.500000,24.537268,1.194317
"2026-07-20 15:02:56",1.413867,7.283816,2.500000,24.564966,1.201787
"2026-07-20 15:02:57",1.410588,7.232827,2.500000,24.532063,1.199000
"2026-07-20 15:02:58",1.416542,7.150468,2.500000,24.581902,1.204060
"2026-07-20 15:02:59",1.416218,7.009768,2.500000,24.555104,1.203785
"2026-07-20 15:03:00",1.421002,6.884485,2.500000,24.535764,1.207851
"2026-07-20 15:03:01",1.420804,6.753031,2.500000,24.560345,1.207683
"2026-07-20 15:03:02",1.423922,6.673000,2.500000,24.563872,1.210334
"2026-07-20 15:03:03",1.421942,6.551546,2.500000,24.595496,1.208651
"2026-07-20 15:03:04",1.423247,6.461936,2.500000,24.586874,1.209760
"2026-07-20 15:03:05",1.428144,6.328076,2.500000,24.544724,1.213922
"2026-07-20 15:03:06",1.437477,6.221903,2.500000,24.530899,1.221856
"2026-07-20 15:03:07",1.435883,6.151462,2.500000,24.515772,1.220501
"2026-07-20 15:03:08",1.434953,6.030500,2.500000,24.540658,1.219710
"2026-07-20 15:03:09",1.431177,5.976570,2.500000,24.503175,1.216501
"2026-07-20 15:03:10",1.426676,5.831689,2.500000,24.493803,1.212674
"2026-07-20 15:03:11",1.433641,5.766341,2.500000,24.522189,1.218595
"2026-07-20 15:03:12",1.430144,5.674608,2.500000,24.528701,1.215622
"2026-07-20 15:03:13",1.425946,5.584918,2.500000,24.483812,1.212054
"2026-07-20 15:03:14",1.425168,5.439997,2.500000,24.468232,1.211392
"2026-07-20 15:03:15",1.425890,5.312010,2.500000,24.508138,1.212006
"2026-07-20 15:03:16",1.434790,5.243607,2.500000,24.520247,1.219572
"2026-07-20 15:03:17",1.442427,5.171986,2.500000,24.567888,1.226063
"2026-07-20 15:03:18",1.439195,5.076916,2.500000,24.526052,1.223316
"2026-07-20 15:03:19",1.448975,5.021410,2.500000,24.481451,1.231629
"2026-07-20 15:03:20",1.452092,4.889278,2.500000,24.467324,1.234278
"2026-07-20 15:03:21",1.455124,4.821932,2.500000,24.423414,1.236855
"2026-07-20 15:03:22",1.462232,4.719357,2.500000,24.453229,1.242897
"2026-07-20 15:03:23",1.467775,4.629871,2.500000,24.416977,1.247609
"2026-07-20 15:03:24",1.464449,4.534103,2.500000,24.446531,1.244782
"2026-07-20 15:03:25",1.469981,4.482098,2.500000,24.448526,1.249483
"2026-07-20 15:03:26",1.471794,4.424273,2.500000,24.409187,1.251025
"2026-07-20 15:03:27",1.475723,4.310067,2.500000,24.370897,1.254364
"2026-07-20 15:03:28",1.477370,4.203594,2.500000,24.338315,1.255765
"2026-07-20 15:03:29",1.480021,4.092731,2.500000,24.334148,1.258018
"2026-07-20 15:03:30",1.478102,3.987801,2.500000,24.364603,1.256386
"2026-07-20 15:03:31",1.483239,3.855498,2.500000,24.344175,1.260754
"2026-07-20 15:03:32",1.487812,3.753666,2.500000,24.307021,1.264641
"2026-07-20 15:03:33",1.495318,3.658247,2.500000,24.278806,1.271020
"2026-07-20 15:03:34",1.491080,3.566770,2.500000,24.265306,1.267418
"2026-07-20 15:03:35",1.488002,3.515657,2.500000,24.275533,1.264801
"2026-07-20 15:03:36",1.488992,3.459143,2.500000,24.322566,1.265643
"2026-07-20 15:03:37",1.492049,3.369851,2.500000,24.304094,1.268242
"2026-07-20 15:03:38",1.495973,3.252847,2.500000,24.282171,1.271577
"2026-07-20 15:03:39",1.500682,3.105856,2.500000,24.272780,1.275580
"2026-07-20 15:03:40",1.495936,2.982825,2.500000,24.244099,1.271546
"2026-07-20 15:03:41",1.501296,2.921497,2.500000,24.264129,1.276102
