"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-06-11 08:23:00",0.011837,24.768639,2.500000,24.007607,0.009470
"2026-06-11 08:23:01",0.022565,24.477605,2.500000,24.030665,0.018052
"2026-06-11 08:23:02",0.045703,24.213526,2.500000,24.057466,0.036562
"2026-06-11 08:23:03",0.061311,24.089389,2.500000,24.042534,0.049049
"2026-06-11 08:23:04",0.079178,23.794564,2.500000,24.079880,0.063342
"2026-06-11 08:23:05",0.100548,23.593897,2.500000,24.129300,0.080439
"2026-06-11 08:23:06",0.121297,23.334386,2.500000,24.111160,0.097038
"2026-06-11 08:23:07",0.144020,23.067244,2.500000,24.142275,0.115216
"2026-06-11 08:23:08",0.169308,22.808286,2.500000,24.166894,0.135447
"2026-06-11 08:23:09",0.195184,22.613884,2.500000,24.137475,0.156147
"2026-06-11 08:23:10",0.213823,22.456034,2.500000,24.113057,0.171058
"2026-06-11 08:23:11",0.231417,22.295694,2.500000,24.130050,0.185134
"2026-06-11 08:23:12",0.249760,22.147639,2.500000,24.116476,0.199808
"2026-06-11 08:23:13",0.266538,22.001224,2.500000,24.118464,0.213230
"2026-06-11 08:23:14",0.279019,21.857576,2.500000,24.077881,0.223215
"2026-06-11 08:23:15",0.303519,21.596153,2.500000,24.051798,0.242815
"2026-06-11 08:23:16",0.332332,21.469192,2.500000,24.026685,0.265865
"2026-06-11 08:23:17",0.346291,21.350114,2.500000,24.062570,0.277033
"2026-06-11 08:23:18",0.373786,21.229159,2.500000,24.072470,0.299029
"2026-06-11 08:23:19",0.395263,20.947563,2.500000,24.042489,0.316210
"2026-06-11 08:23:20",0.408356,20.770417,2.500000,24.018606,0.326685
"2026-06-11 08:23:21",0.433617,20.529924,2.500000,23.999852,0.346894
"2026-06-11 08:23:22",0.461401,20.268361,2.500000,23.988114,0.369121
"2026-06-11 08:23:23",0.474911,20.155255,2.500000,23.965328,0.379929
"2026-06-11 08:23:24",0.504045,19.995036,2.500000,23.996616,0.403236
"2026-06-11 08:23:25",0.531512,19.809442,2.500000,23.963090,0.425210
"2026-06-11 08:23:26",0.557734,19.688002,2.500000,23.993881,0.446188
"2026-06-11 08:23:27",0.573906,19.396164,2.500000,24.025997,0.459125
"2026-06-11 08:23:28",0.603646,19.268136,2.500000,24.075659,0.482917
"2026-06-11 08:23:29",0.614856,19.035117,2.500000,24.080050,0.491885
"2026-06-11 08:23:30",0.627875,18.902798,2.500000,24.067392,0.502300
"2026-06-11 08:23:31",0.644950,18.704303,2.500000,24.075307,0.515960
"2026-06-11 08:23:32",0.655464,18.430195,2.500000,24.080308,0.524371
"2026-06-11 08:23:33",0.677661,18.188627,2.500000,24.100406,0.542129
"2026-06-11 08:23:34",0.704914,18.043013,2.500000,24.143393,0.563931
"2026-06-11 08:23:35",0.720427,17.879304,2.500000,24.161825,0.576341
"2026-06-11 08:23:36",0.731249,17.742579,2.500000,24.146438,0.584999
"2026-06-11 08:23:37",0.751920,17.622895,2.500000,24.108754,0.601536
"2026-06-11 08:23:38",0.765266,17.388061,2.500000,24.154961,0.612213
"2026-06-11 08:23:39",0.779132,17.173542,2.500000,24.156254,0.623305
"2026-06-11 08:23:40",0.796372,17.051934,2.500000,24.180588,0.637098
"2026-06-11 08:23:41",0.822116,16.767433,2.500000,24.199054,0.657693
"2026-06-11 08:23:42",0.846567,16.479656,2.500000,24.201705,0.677254
"2026-06-11 08:23:43",0.871141,16.315023,2.500000,24.174443,0.696913
"2026-06-11 08:23:44",0.889463,16.022857,2.500000,24.125399,0.711571
"2026-06-11 08:23:45",0.900366,15.865213,2.500000,24.099331,0.720293
"2026-06-11 08:23:46",0.910882,15.596455,2.500000,24.117913,0.728705
"2026-06-11 08:23:47",0.938572,15.461727,2.500000,24.099026,0.750857
"2026-06-11 08:23:48",0.954673,15.183910,2.500000,24.123335,0.763738
"2026-06-11 08:23:49",0.982539,14.954558,2.500000,24.077743,0.786032
"2026-06-11 08:23:50",1.008489,14.662665,2.500000,24.029016,0.806791
"2026-06-11 08:23:51",1.021749,14.489937,2.500000,24.071605,0.817399
