"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-06-03 10:12:00",0.023146,24.832160,2.500000,23.972475,0.018517
"2026-06-03 10:12:01",0.049377,24.614763,2.500000,23.931973,0.039502
"2026-06-03 10:12:02",0.077478,24.512401,2.500000,23.882781,0.061983
"2026-06-03 10:12:03",0.101894,24.370425,2.500000,23.840594,0.081515
"2026-06-03 10:12:04",0.124722,24.118525,2.500000,23.822381,0.099777
"2026-06-03 10:12:05",0.142955,24.017902,2.500000,23.866767,0.114364
"2026-06-03 10:12:06",0.171881,23.834947,2.500000,23.897478,0.137505
"2026-06-03 10:12:07",0.182720,23.695255,2.500000,23.943882,0.146176
"2026-06-03 10:12:08",0.194347,23.460461,2.500000,23.987557,0.155477
"2026-06-03 10:12:09",0.217240,23.183322,2.500000,23.966926,0.173792
"2026-06-03 10:12:10",0.232435,23.047336,2.500000,23.968052,0.185948
"2026-06-03 10:12:11",0.248506,22.819767,2.500000,23.998788,0.198805
"2026-06-03 10:12:12",0.274741,22.551166,2.500000,24.048191,0.219793
"2026-06-03 10:12:13",0.294234,22.292563,2.500000,24.026350,0.235388
"2026-06-03 10:12:14",0.309209,22.113936,2.500000,24.062377,0.247367
"2026-06-03 10:12:15",0.324163,21.944892,2.500000,24.080292,0.259330
"2026-06-03 10:12:16",0.347342,21.684577,2.500000,24.123003,0.277874
"2026-06-03 10:12:17",0.360971,21.387713,2.500000,24.151210,0.288777
"2026-06-03 10:12:18",0.376377,21.152864,2.500000,24.108873,0.301101
"2026-06-03 10:12:19",0.401864,20.917283,2.500000,24.152495,0.321491
"2026-06-03 10:12:20",0.430761,20.686435,2.500000,24.117547,0.344609
"2026-06-03 10:12:21",0.441614,20.515043,2.500000,24.154128,0.353291
"2026-06-03 10:12:22",0.452791,20.404723,2.500000,24.156785,0.362233
"2026-06-03 10:12:23",0.470469,20.210196,2.500000,24.196259,0.376375
"2026-06-03 10:12:24",0.483590,19.962758,2.500000,24.186195,0.386872
"2026-06-03 10:12:25",0.493936,19.707640,2.500000,24.222869,0.395149
"2026-06-03 10:12:26",0.518455,19.464861,2.500000,24.201026,0.414764
"2026-06-03 10:12:27",0.534266,19.335596,2.500000,24.231141,0.427413
"2026-06-03 10:12:28",0.558913,19.041068,2.500000,24.249450,0.447130
"2026-06-03 10:12:29",0.571367,18.862793,2.500000,24.215931,0.457094
"2026-06-03 10:12:30",0.582555,18.718318,2.500000,24.234390,0.466044
"2026-06-03 10:12:31",0.597185,18.440546,2.500000,24.240163,0.477748
"2026-06-03 10:12:32",0.610408,18.257478,2.500000,24.266137,0.488327
"2026-06-03 10:12:33",0.621745,18.103596,2.500000,24.279692,0.497396
"2026-06-03 10:12:34",0.646977,17.844535,2.500000,24.281008,0.517582
"2026-06-03 10:12:35",0.659949,17.598664,2.500000,24.278802,0.527960
"2026-06-03 10:12:36",0.671043,17.417177,2.500000,24.298651,0.536835
"2026-06-03 10:12:37",0.681896,17.125876,2.500000,24.285404,0.545517
"2026-06-03 10:12:38",0.693369,16.993089,2.500000,24.273322,0.554695
"2026-06-03 10:12:39",0.714274,16.775076,2.500000,24.256672,0.571419
"2026-06-03 10:12:40",0.733270,16.564078,2.500000,24.216415,0.586616
"2026-06-03 10:12:41",0.754983,16.335371,2.500000,24.257371,0.603986
"2026-06-03 10:12:42",0.780256,16.142334,2.500000,24.221221,0.624205
"2026-06-03 10:12:43",0.807154,15.977825,2.500000,24.262204,0.645724
"2026-06-03 10:12:44",0.833221,15.738044,2.500000,24.267797,0.666577
"2026-06-03 10:12:45",0.860808,15.542064,2.500000,24.309709,0.688646
"2026-06-03 10:12:46",0.871350,15.254690,2.500000,24.283031,0.697080
"2026-06-03 10:12:47",0.892727,14.974694,2.500000,24.295413,0.714182
"2026-06-03 10:12:48",0.916092,14.679045,2.500000,24.333139,0.732873
"2026-06-03 10:12:49",0.940912,14.394183,2.500000,24.372239,0.752730
"2026-06-03 10:12:50",0.959814,14.286617,2.500000,24.360755,0.767851
"2026-06-03 10:12:51",0.981875,14.066947,2.500000,24.314831,0.785500
"2026-06-03 10:12:52",0.992940,13.815713,2.500000,24.307177,0.794352
"2026-06-03 10:12:53",1.015003,13.603712,2.500000,24.284609,0.812002
"2026-06-03 10:12:54",1.027116,13.396082,2.500000,24.266374,0.821693
"2026-06-03 10:12:55",1.043621,13.220298,2.500000,24.290171,0.834897
"2026-06-03 10:12:56",1.067623,12.949894,2.500000,24.263273,0.854098
"2026-06-03 10:12:57",1.084769,12.803746,2.500000,24.225733,0.867815
"2026-06-03 10:12:58",1.110589,12.557058,2.500000,24.207453,0.888471
"2026-06-03 10:12:59",1.135442,12.428053,2.500000,24.190819,0.908354
"2026-06-03 10:13:00",1.140218,12.368040,2.500000,24.228609,0.969185
"2026-06-03 10:13:01",1.143509,12.281099,2.500000,24.208963,0.971982
"2026-06-03 10:13:02",1.143201,12.206132,2.500000,24.159734,0.971721
"2026-06-03 10:13:03",1.142640,12.073536,2.500000,24.132708,0.971244
"2026-06-03 10:13:04",1.151012,12.022081,2.500000,24.105907,0.978360
"2026-06-03 10:13:05",1.154469,11.927209,2.500000,24.073275,0.981299
"2026-06-03 10:13:06",1.156109,11.865794,2.500000,24.116383,0.982692
"2026-06-03 10:13:07",1.158505,11.739902,2.500000,24.119727,0.984729
"2026-06-03 10:13:08",1.168158,11.619212,2.500000,24.140728,0.992935
"2026-06-03 10:13:09",1.169736,11.513923,2.500000,24.163728,0.994275
"2026-06-03 10:13:10",1.174833,11.390597,2.500000,24.176372,0.998608
"2026-06-03 10:13:11",1.183639,11.327376,2.500000,24.184637,1.006093
"2026-06-03 10:13:12",1.190095,11.276177,2.500000,24.226971,1.011581
"2026-06-03 10:13:13",1.192598,11.183682,2.500000,24.225847,1.013708
"2026-06-03 10:13:14",1.188370,11.068182,2.500000,24.259622,1.010115
"2026-06-03 10:13:15",1.186989,11.001799,2.500000,24.297916,1.008941
"2026-06-03 10:13:16",1.189011,10.894870,2.500000,24.262391,1.010659
"2026-06-03 10:13:17",1.185134,10.812317,2.500000,24.279897,1.007364
"2026-06-03 10:13:18",1.190236,10.688995,2.500000,24.293261,1.011700
"2026-06-03 10:13:19",1.199489,10.611359,2.500000,24.266446,1.019565
"2026-06-03 10:13:20",1.205842,10.479903,2.500000,24.229721,1.024966
"2026-06-03 10:13:21",1.205931,10.370779,2.500000,24.239766,1.025041
"2026-06-03 10:13:22",1.211584,10.264855,2.500000,24.196670,1.029847
"2026-06-03 10:13:23",1.210377,10.207981,2.500000,24.217991,1.028820
"2026-06-03 10:13:24",1.214066,10.091113,2.500000,24.200212,1.031956
"2026-06-03 10:13:25",1.213018,9.967238,2.500000,24.200510,1.031066
"2026-06-03 10:13:26",1.221056,9.916693,2.500000,24.171558,1.037898
"2026-06-03 10:13:27",1.230649,9.774602,2.500000,24.221239,1.046051
"2026-06-03 10:13:28",1.231972,9.641565,2.500000,24.224531,1.047176
"2026-06-03 10:13:29",1.238923,9.526769,2.500000,24.266839,1.053084
