"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-06-03 16:47:00",0.022740,24.812638,2.500000,23.983351,0.018192
"2026-06-03 16:47:01",0.039032,24.513778,2.500000,24.010187,0.031225
"2026-06-03 16:47:02",0.052504,24.359295,2.500000,23.960634,0.042003
"2026-06-03 16:47:03",0.081492,24.142682,2.500000,23.915679,0.065194
"2026-06-03 16:47:04",0.108670,24.011788,2.500000,23.928540,0.086936
"2026-06-03 16:47:05",0.124312,23.897134,2.500000,23.917399,0.099449
"2026-06-03 16:47:06",0.152967,23.785474,2.500000,23.872061,0.122374
"2026-06-03 16:47:07",0.180699,23.663889,2.500000,23.885416,0.144559
"2026-06-03 16:47:08",0.207428,23.456834,2.500000,23.873889,0.165943
"2026-06-03 16:47:09",0.227943,23.185944,2.500000,23.853253,0.182354
"2026-06-03 16:47:10",0.241164,23.022927,2.500000,23.840084,0.192931
"2026-06-03 16:47:11",0.266352,22.912636,2.500000,23.856234,0.213082
"2026-06-03 16:47:12",0.283993,22.665546,2.500000,23.871417,0.227194
"2026-06-03 16:47:13",0.306525,22.509239,2.500000,23.862336,0.245220
"2026-06-03 16:47:14",0.329813,22.364202,2.500000,23.852527,0.263850
"2026-06-03 16:47:15",0.349563,22.138505,2.500000,23.825709,0.279651
"2026-06-03 16:47:16",0.372564,21.908429,2.500000,23.823136,0.298051
"2026-06-03 16:47:17",0.395290,21.669913,2.500000,23.871803,0.316232
"2026-06-03 16:47:18",0.418280,21.407105,2.500000,23.910521,0.334624
"2026-06-03 16:47:19",0.445905,21.160410,2.500000,23.945487,0.356724
"2026-06-03 16:47:20",0.475273,20.893398,2.500000,23.924357,0.380218
"2026-06-03 16:47:21",0.486454,20.701667,2.500000,23.948144,0.389163
"2026-06-03 16:47:22",0.512673,20.589465,2.500000,23.943044,0.410138
"2026-06-03 16:47:23",0.527169,20.341449,2.500000,23.953235,0.421735
"2026-06-03 16:47:24",0.552927,20.185657,2.500000,23.931336,0.442342
"2026-06-03 16:47:25",0.565660,19.926024,2.500000,23.945704,0.452528
"2026-06-03 16:47:26",0.577181,19.629509,2.500000,23.987713,0.461744
"2026-06-03 16:47:27",0.606970,19.510202,2.500000,23.953240,0.485576
"2026-06-03 16:47:28",0.627043,19.254818,2.500000,23.913967,0.501634
"2026-06-03 16:47:29",0.653911,19.014428,2.500000,23.954489,0.523129
"2026-06-03 16:47:30",0.674867,18.762094,2.500000,23.919129,0.539894
"2026-06-03 16:47:31",0.696939,18.526805,2.500000,23.965494,0.557551
