"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-08-28 13:36:00",0.022412,24.853274,2.500000,23.961150,0.017930
"2026-08-28 13:36:01",0.034687,24.704778,2.500000,23.958946,0.027749
"2026-08-28 13:36:02",0.048051,24.430652,2.500000,23.913384,0.038440
"2026-08-28 13:36:03",0.066288,24.299721,2.500000,23.916383,0.053030
"2026-08-28 13:36:04",0.092938,24.030254,2.500000,23.906261,0.074350
"2026-08-28 13:36:05",0.106152,23.778159,2.500000,23.936928,0.084921
"2026-08-28 13:36:06",0.122640,23.557793,2.500000,23.913023,0.098112
"2026-08-28 13:36:07",0.136869,23.449472,2.500000,23.955372,0.109495
"2026-08-28 13:36:08",0.162413,23.170666,2.500000,24.000230,0.129930
"2026-08-28 13:36:09",0.173143,22.980196,2.500000,24.037098,0.138515
"2026-08-28 13:36:10",0.189535,22.842277,2.500000,24.001597,0.151628
"2026-08-28 13:36:11",0.217648,22.698313,2.500000,24.021767,0.174118
"2026-08-28 13:36:12",0.241325,22.547133,2.500000,23.999218,0.193060
"2026-08-28 13:36:13",0.264457,22.294707,2.500000,23.975104,0.211565
"2026-08-28 13:36:14",0.284162,22.136528,2.500000,23.927742,0.227330
"2026-08-28 13:36:15",0.294648,21.977028,2.500000,23.972822,0.235719
"2026-08-28 13:36:16",0.317034,21.773842,2.500000,23.990647,0.253627
"2026-08-28 13:36:17",0.345005,21.520062,2.500000,23.959171,0.276004
"2026-08-28 13:36:18",0.357752,21.237370,2.500000,23.990328,0.286201
"2026-08-28 13:36:19",0.379296,21.106299,2.500000,24.028837,0.303437
"2026-08-28 13:36:20",0.399413,20.872205,2.500000,24.035860,0.319530
"2026-08-28 13:36:21",0.419676,20.732561,2.500000,24.057389,0.335741
"2026-08-28 13:36:22",0.442686,20.604043,2.500000,24.036317,0.354149
"2026-08-28 13:36:23",0.458215,20.477794,2.500000,24.070574,0.366572
"2026-08-28 13:36:24",0.486901,20.296198,2.500000,24.039593,0.389521
"2026-08-28 13:36:25",0.499051,20.194631,2.500000,24.013332,0.399240
"2026-08-28 13:36:26",0.520658,20.030729,2.500000,24.047638,0.416526
"2026-08-28 13:36:27",0.533798,19.848984,2.500000,24.068380,0.427039
