"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-08-12 15:39:00",0.019101,24.812259,2.500000,23.974432,0.015281
"2026-08-12 15:39:01",0.048254,24.517514,2.500000,23.938725,0.038603
"2026-08-12 15:39:02",0.064737,24.363321,2.500000,23.945186,0.051789
"2026-08-12 15:39:03",0.081257,24.235007,2.500000,23.958232,0.065006
"2026-08-12 15:39:04",0.093861,24.048934,2.500000,23.975007,0.075089
"2026-08-12 15:39:05",0.116579,23.794695,2.500000,24.002084,0.093263
"2026-08-12 15:39:06",0.135713,23.509478,2.500000,23.988756,0.108571
"2026-08-12 15:39:07",0.156955,23.347300,2.500000,24.015886,0.125564
"2026-08-12 15:39:08",0.180278,23.165024,2.500000,24.018949,0.144223
"2026-08-12 15:39:09",0.208407,23.018777,2.500000,24.016187,0.166726
"2026-08-12 15:39:10",0.223625,22.911778,2.500000,24.037782,0.178900
"2026-08-12 15:39:11",0.242369,22.800585,2.500000,24.045282,0.193895
"2026-08-12 15:39:12",0.252897,22.613303,2.500000,24.023229,0.202318
"2026-08-12 15:39:13",0.269336,22.493495,2.500000,23.977847,0.215469
"2026-08-12 15:39:14",0.285968,22.310883,2.500000,23.949427,0.228775
"2026-08-12 15:39:15",0.304883,22.089768,2.500000,23.979783,0.243907
"2026-08-12 15:39:16",0.325081,21.889744,2.500000,24.026608,0.260064
"2026-08-12 15:39:17",0.345722,21.726574,2.500000,24.001305,0.276578
"2026-08-12 15:39:18",0.359937,21.487888,2.500000,23.971990,0.287950
"2026-08-12 15:39:19",0.387350,21.349413,2.500000,23.975117,0.309880
"2026-08-12 15:39:20",0.399128,21.080705,2.500000,24.006636,0.319302
"2026-08-12 15:39:21",0.411334,20.876419,2.500000,23.995185,0.329067
"2026-08-12 15:39:22",0.434068,20.644653,2.500000,23.952510,0.347255
"2026-08-12 15:39:23",0.446010,20.419950,2.500000,23.934542,0.356808
"2026-08-12 15:39:24",0.475411,20.257932,2.500000,23.908382,0.380329
"2026-08-12 15:39:25",0.497049,20.054585,2.500000,23.948017,0.397640
"2026-08-12 15:39:26",0.507482,19.772527,2.500000,23.994240,0.405985
"2026-08-12 15:39:27",0.531774,19.563415,2.500000,23.981641,0.425419
"2026-08-12 15:39:28",0.558371,19.432041,2.500000,24.023270,0.446697
"2026-08-12 15:39:29",0.575969,19.181485,2.500000,24.011278,0.460775
"2026-08-12 15:39:30",0.604075,19.059146,2.500000,23.970295,0.483260
"2026-08-12 15:39:31",0.624298,18.830573,2.500000,23.935806,0.499438
"2026-08-12 15:39:32",0.638347,18.599584,2.500000,23.973276,0.510677
"2026-08-12 15:39:33",0.662818,18.489043,2.500000,23.970979,0.530255
"2026-08-12 15:39:34",0.681563,18.278686,2.500000,23.958465,0.545251
"2026-08-12 15:39:35",0.701324,18.055546,2.500000,24.000486,0.561059
"2026-08-12 15:39:36",0.730546,17.866073,2.500000,23.985259,0.584437
"2026-08-12 15:39:37",0.747337,17.762388,2.500000,23.998328,0.597870
"2026-08-12 15:39:38",0.771268,17.656833,2.500000,23.985656,0.617014
"2026-08-12 15:39:39",0.784695,17.380094,2.500000,24.016774,0.627756
"2026-08-12 15:39:40",0.807374,17.221318,2.500000,23.975862,0.645899
"2026-08-12 15:39:41",0.824103,17.046633,2.500000,23.959608,0.659283
"2026-08-12 15:39:42",0.852495,16.911570,2.500000,23.945781,0.681996
"2026-08-12 15:39:43",0.880543,16.801140,2.500000,23.968037,0.704434
"2026-08-12 15:39:44",0.899677,16.562795,2.500000,24.014030,0.719742
"2026-08-12 15:39:45",0.922301,16.294957,2.500000,24.023173,0.737841
"2026-08-12 15:39:46",0.950894,16.066552,2.500000,24.046934,0.760715
"2026-08-12 15:39:47",0.972462,15.928577,2.500000,24.084736,0.777969
"2026-08-12 15:39:48",0.994614,15.730099,2.500000,24.067845,0.795691
"2026-08-12 15:39:49",1.006257,15.480731,2.500000,24.035826,0.805006
"2026-08-12 15:39:50",1.029963,15.319972,2.500000,23.986086,0.823970
"2026-08-12 15:39:51",1.048025,15.028345,2.500000,23.976319,0.838420
"2026-08-12 15:39:52",1.060324,14.761508,2.500000,23.998657,0.848259
"2026-08-12 15:39:53",1.083259,14.512400,2.500000,23.967156,0.866607
"2026-08-12 15:39:54",1.093773,14.349479,2.500000,23.925448,0.875018
"2026-08-12 15:39:55",1.110856,14.196079,2.500000,23.939947,0.888685
"2026-08-12 15:39:56",1.130971,13.931192,2.500000,23.962753,0.904777
"2026-08-12 15:39:57",1.160417,13.741444,2.500000,23.993551,0.928334
"2026-08-12 15:39:58",1.173948,13.514832,2.500000,24.026125,0.939158
"2026-08-12 15:39:59",1.190554,13.340772,2.500000,24.049265,0.952443
"2026-08-12 15:40:00",1.190959,13.219280,2.500000,24.044854,1.012315
"2026-08-12 15:40:01",1.191689,13.133815,2.500000,24.070609,1.012935
"2026-08-12 15:40:02",1.190560,13.081675,2.500000,24.038936,1.011976
"2026-08-12 15:40:03",1.187026,12.999033,2.500000,24.084686,1.008972
"2026-08-12 15:40:04",1.185140,12.916004,2.500000,24.059843,1.007369
"2026-08-12 15:40:05",1.184508,12.779041,2.500000,24.015730,1.006832
"2026-08-12 15:40:06",1.184003,12.675475,2.500000,23.999194,1.006403
"2026-08-12 15:40:07",1.190319,12.623820,2.500000,23.999916,1.011771
"2026-08-12 15:40:08",1.187178,12.511484,2.500000,24.021240,1.009101
"2026-08-12 15:40:09",1.184705,12.402834,2.500000,24.022759,1.006999
"2026-08-12 15:40:10",1.194258,12.337573,2.500000,24.027940,1.015119
"2026-08-12 15:40:11",1.202698,12.220283,2.500000,24.006747,1.022293
"2026-08-12 15:40:12",1.209438,12.149288,2.500000,23.979251,1.028022
"2026-08-12 15:40:13",1.218472,12.012235,2.500000,23.993244,1.035701
"2026-08-12 15:40:14",1.215952,11.936716,2.500000,24.000820,1.033559
"2026-08-12 15:40:15",1.214935,11.787898,2.500000,23.992734,1.032695
"2026-08-12 15:40:16",1.215294,11.731792,2.500000,23.945688,1.033000
"2026-08-12 15:40:17",1.218101,11.598557,2.500000,23.955775,1.035386
"2026-08-12 15:40:18",1.222652,11.451501,2.500000,23.940814,1.039254
"2026-08-12 15:40:19",1.220583,11.391113,2.500000,23.973186,1.037495
"2026-08-12 15:40:20",1.217162,11.327355,2.500000,23.973636,1.034588
"2026-08-12 15:40:21",1.223674,11.215107,2.500000,24.018403,1.040123
"2026-08-12 15:40:22",1.233016,11.091996,2.500000,23.979197,1.048064
