"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-08-17 09:45:00",0.014413,24.881700,2.500000,23.962819,0.011530
"2026-08-17 09:45:01",0.042470,24.626401,2.500000,23.982061,0.033976
"2026-08-17 09:45:02",0.068945,24.470762,2.500000,23.935255,0.055156
"2026-08-17 09:45:03",0.097898,24.279900,2.500000,23.951366,0.078319
"2026-08-17 09:45:04",0.111034,24.134667,2.500000,23.937937,0.088828
"2026-08-17 09:45:05",0.136965,23.954388,2.500000,23.954538,0.109572
"2026-08-17 09:45:06",0.150131,23.844494,2.500000,23.915285,0.120105
"2026-08-17 09:45:07",0.179983,23.556168,2.500000,23.959677,0.143987
"2026-08-17 09:45:08",0.200607,23.288842,2.500000,23.936684,0.160485
"2026-08-17 09:45:09",0.229333,22.988959,2.500000,23.915319,0.183467
"2026-08-17 09:45:10",0.249823,22.730884,2.500000,23.953018,0.199858
"2026-08-17 09:45:11",0.272573,22.618762,2.500000,23.941262,0.218058
"2026-08-17 09:45:12",0.302529,22.494961,2.500000,23.947356,0.242024
"2026-08-17 09:45:13",0.320576,22.315429,2.500000,23.927223,0.256461
"2026-08-17 09:45:14",0.340214,22.138639,2.500000,23.965440,0.272171
"2026-08-17 09:45:15",0.367262,21.882988,2.500000,23.987506,0.293810
"2026-08-17 09:45:16",0.379953,21.584430,2.500000,23.971865,0.303962
"2026-08-17 09:45:17",0.397307,21.414136,2.500000,24.004005,0.317846
"2026-08-17 09:45:18",0.418456,21.304341,2.500000,24.028099,0.334765
"2026-08-17 09:45:19",0.441187,21.048774,2.500000,24.020153,0.352950
"2026-08-17 09:45:20",0.467308,20.765807,2.500000,24.029973,0.373847
"2026-08-17 09:45:21",0.491213,20.501025,2.500000,24.073554,0.392970
"2026-08-17 09:45:22",0.510466,20.338116,2.500000,24.101983,0.408373
"2026-08-17 09:45:23",0.530705,20.077795,2.500000,24.128314,0.424564
"2026-08-17 09:45:24",0.542843,19.829894,2.500000,24.087599,0.434275
"2026-08-17 09:45:25",0.572620,19.673389,2.500000,24.091444,0.458096
"2026-08-17 09:45:26",0.591201,19.503761,2.500000,24.101103,0.472961
"2026-08-17 09:45:27",0.611386,19.269529,2.500000,24.069298,0.489109
"2026-08-17 09:45:28",0.641262,19.003580,2.500000,24.082011,0.513009
"2026-08-17 09:45:29",0.671118,18.725295,2.500000,24.038758,0.536895
"2026-08-17 09:45:30",0.693790,18.483986,2.500000,24.027525,0.555032
"2026-08-17 09:45:31",0.714577,18.239363,2.500000,24.031074,0.571662
"2026-08-17 09:45:32",0.725763,17.943951,2.500000,24.054789,0.580610
"2026-08-17 09:45:33",0.747558,17.768265,2.500000,24.031604,0.598047
"2026-08-17 09:45:34",0.771204,17.553737,2.500000,24.048872,0.616963
"2026-08-17 09:45:35",0.798447,17.385063,2.500000,24.013854,0.638758
"2026-08-17 09:45:36",0.816825,17.134635,2.500000,24.017075,0.653460
"2026-08-17 09:45:37",0.842917,16.835140,2.500000,24.020489,0.674333
"2026-08-17 09:45:38",0.856468,16.732590,2.500000,23.975247,0.685175
"2026-08-17 09:45:39",0.873422,16.440371,2.500000,24.015480,0.698738
"2026-08-17 09:45:40",0.898636,16.287647,2.500000,24.064432,0.718909
"2026-08-17 09:45:41",0.915858,16.134103,2.500000,24.071503,0.732686
"2026-08-17 09:45:42",0.931311,15.943067,2.500000,24.112036,0.745048
"2026-08-17 09:45:43",0.955476,15.817823,2.500000,24.065877,0.764381
"2026-08-17 09:45:44",0.973079,15.525037,2.500000,24.031821,0.778463
"2026-08-17 09:45:45",1.001245,15.400527,2.500000,23.987696,0.800996
"2026-08-17 09:45:46",1.025310,15.242393,2.500000,24.031107,0.820248
"2026-08-17 09:45:47",1.035958,15.060866,2.500000,24.006433,0.828767
"2026-08-17 09:45:48",1.065619,14.857643,2.500000,24.043579,0.852495
"2026-08-17 09:45:49",1.085187,14.625517,2.500000,24.084793,0.868149
"2026-08-17 09:45:50",1.112039,14.412197,2.500000,24.131916,0.889631
"2026-08-17 09:45:51",1.127760,14.201040,2.500000,24.156000,0.902208
"2026-08-17 09:45:52",1.151602,14.040647,2.500000,24.185732,0.921282
"2026-08-17 09:45:53",1.161879,13.881118,2.500000,24.139196,0.929503
"2026-08-17 09:45:54",1.180595,13.605764,2.500000,24.108317,0.944476
"2026-08-17 09:45:55",1.201909,13.359075,2.500000,24.133516,0.961527
"2026-08-17 09:45:56",1.213600,13.165580,2.500000,24.164123,0.970880
"2026-08-17 09:45:57",1.239143,13.005280,2.500000,24.206310,0.991315
"2026-08-17 09:45:58",1.266351,12.857599,2.500000,24.218423,1.013081
"2026-08-17 09:45:59",1.277546,12.565256,2.500000,24.225926,1.022037
"2026-08-17 09:46:00",1.280333,12.434733,2.500000,24.274159,1.088283
"2026-08-17 09:46:01",1.287227,12.353761,2.500000,24.242911,1.094143
"2026-08-17 09:46:02",1.292481,12.204700,2.500000,24.291312,1.098609
"2026-08-17 09:46:03",1.288338,12.067194,2.500000,24.293941,1.095087
"2026-08-17 09:46:04",1.294307,12.009337,2.500000,24.333035,1.100161
"2026-08-17 09:46:05",1.297266,11.871133,2.500000,24.319385,1.102676
"2026-08-17 09:46:06",1.296682,11.807486,2.500000,24.345039,1.102180
"2026-08-17 09:46:07",1.292183,11.673765,2.500000,24.303917,1.098356
"2026-08-17 09:46:08",1.291925,11.600682,2.500000,24.323300,1.098136
"2026-08-17 09:46:09",1.291842,11.501076,2.500000,24.336514,1.098065
"2026-08-17 09:46:10",1.289511,11.422997,2.500000,24.324146,1.096084
"2026-08-17 09:46:11",1.285472,11.292789,2.500000,24.303829,1.092652
"2026-08-17 09:46:12",1.291005,11.152942,2.500000,24.267512,1.097354
"2026-08-17 09:46:13",1.296921,11.071951,2.500000,24.250213,1.102383
"2026-08-17 09:46:14",1.299275,10.990875,2.500000,24.242341,1.104384
"2026-08-17 09:46:15",1.303974,10.877527,2.500000,24.210881,1.108378
"2026-08-17 09:46:16",1.301265,10.743596,2.500000,24.235599,1.106075
"2026-08-17 09:46:17",1.307878,10.631562,2.500000,24.249657,1.111696
"2026-08-17 09:46:18",1.315404,10.496865,2.500000,24.200998,1.118094
"2026-08-17 09:46:19",1.314681,10.415652,2.500000,24.172428,1.117479
"2026-08-17 09:46:20",1.314747,10.292413,2.500000,24.162862,1.117535
"2026-08-17 09:46:21",1.322775,10.233716,2.500000,24.181953,1.124359
"2026-08-17 09:46:22",1.332323,10.139679,2.500000,24.173664,1.132474
"2026-08-17 09:46:23",1.341268,10.031011,2.500000,24.218388,1.140078
"2026-08-17 09:46:24",1.339693,9.895531,2.500000,24.252342,1.138739
"2026-08-17 09:46:25",1.337213,9.775644,2.500000,24.222067,1.136631
"2026-08-17 09:46:26",1.343739,9.689418,2.500000,24.268194,1.142178
"2026-08-17 09:46:27",1.350218,9.611249,2.500000,24.219910,1.147686
"2026-08-17 09:46:28",1.351004,9.490207,2.500000,24.213323,1.148353
"2026-08-17 09:46:29",1.346033,9.347550,2.500000,24.239858,1.144128
"2026-08-17 09:46:30",1.349063,9.215584,2.500000,24.286563,1.146704
"2026-08-17 09:46:31",1.353448,9.140983,2.500000,24.309637,1.150431
"2026-08-17 09:46:32",1.353544,9.064818,2.500000,24.269050,1.150512
"2026-08-17 09:46:33",1.349183,8.999401,2.500000,24.284802,1.146805
"2026-08-17 09:46:34",1.350557,8.902622,2.500000,24.328494,1.147973
"2026-08-17 09:46:35",1.352874,8.757833,2.500000,24.377876,1.149943
"2026-08-17 09:46:36",1.359778,8.694592,2.500000,24.393363,1.155812
"2026-08-17 09:46:37",1.361841,8.589670,2.500000,24.355393,1.157565
"2026-08-17 09:46:38",1.366247,8.483082,2.500000,24.313214,1.161310
"2026-08-17 09:46:39",1.364148,8.392893,2.500000,24.297131,1.159526
"2026-08-17 09:46:40",1.367746,8.246938,2.500000,24.247816,1.162584
"2026-08-17 09:46:41",1.367120,8.108423,2.500000,24.209568,1.162052
"2026-08-17 09:46:42",1.366053,7.986119,2.500000,24.231175,1.161145
"2026-08-17 09:46:43",1.361939,7.871735,2.500000,24.192747,1.157648
"2026-08-17 09:46:44",1.362538,7.754176,2.500000,24.214395,1.158157
"2026-08-17 09:46:45",1.361588,7.623056,2.500000,24.212853,1.157350
"2026-08-17 09:46:46",1.362281,7.479382,2.500000,24.257099,1.157939
"2026-08-17 09:46:47",1.367624,7.426501,2.500000,24.281358,1.162480
"2026-08-17 09:46:48",1.366650,7.345483,2.500000,24.317914,1.161653
"2026-08-17 09:46:49",1.364320,7.266864,2.500000,24.278985,1.159672
"2026-08-17 09:46:50",1.367791,7.184518,2.500000,24.257443,1.162623
"2026-08-17 09:46:51",1.375416,7.090946,2.500000,24.208075,1.169104
"2026-08-17 09:46:52",1.383190,6.975316,2.500000,24.209496,1.175712
"2026-08-17 09:46:53",1.392288,6.850379,2.500000,24.241710,1.183445
"2026-08-17 09:46:54",1.395360,6.708302,2.500000,24.259256,1.186056
"2026-08-17 09:46:55",1.390697,6.559991,2.500000,24.265266,1.182092
"2026-08-17 09:46:56",1.392464,6.434548,2.500000,24.225204,1.183594
"2026-08-17 09:46:57",1.394895,6.341997,2.500000,24.237993,1.185661
"2026-08-17 09:46:58",1.394226,6.267155,2.500000,24.260234,1.185092
"2026-08-17 09:46:59",1.395886,6.133536,2.500000,24.242376,1.186503
"2026-08-17 09:47:00",1.398374,6.018873,2.500000,24.272958,1.188618
"2026-08-17 09:47:01",1.407302,5.894018,2.500000,24.297044,1.196206
"2026-08-17 09:47:02",1.406593,5.820551,2.500000,24.271913,1.195604
"2026-08-17 09:47:03",1.402010,5.770411,2.500000,24.287668,1.191709
"2026-08-17 09:47:04",1.402024,5.719769,2.500000,24.303715,1.191721
"2026-08-17 09:47:05",1.404084,5.658657,2.500000,24.271776,1.193471
"2026-08-17 09:47:06",1.405819,5.585374,2.500000,24.300905,1.194946
"2026-08-17 09:47:07",1.409398,5.527000,2.500000,24.299440,1.197988
"2026-08-17 09:47:08",1.404589,5.415146,2.500000,24.252516,1.193900
"2026-08-17 09:47:09",1.410440,5.328085,2.500000,24.264123,1.198874
"2026-08-17 09:47:10",1.414531,5.248001,2.500000,24.297092,1.202351
"2026-08-17 09:47:11",1.415389,5.153368,2.500000,24.296229,1.203080
"2026-08-17 09:47:12",1.412115,5.067757,2.500000,24.256045,1.200297
"2026-08-17 09:47:13",1.409595,4.969736,2.500000,24.265513,1.198155
"2026-08-17 09:47:14",1.405944,4.910549,2.500000,24.227381,1.195052
"2026-08-17 09:47:15",1.406391,4.844859,2.500000,24.243718,1.195432
"2026-08-17 09:47:16",1.411476,4.716689,2.500000,24.207556,1.199755
"2026-08-17 09:47:17",1.415986,4.589681,2.500000,24.209988,1.203588
"2026-08-17 09:47:18",1.418593,4.506199,2.500000,24.228663,1.205804
"2026-08-17 09:47:19",1.418006,4.448282,2.500000,24.261772,1.205305
"2026-08-17 09:47:20",1.415626,4.362432,2.500000,24.236169,1.203282
"2026-08-17 09:47:21",1.425423,4.282630,2.500000,24.263432,1.211610
