"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-08-29 09:18:00",0.010698,24.893050,2.500000,23.983698,0.008559
"2026-08-29 09:18:01",0.037531,24.766936,2.500000,24.021487,0.030025
"2026-08-29 09:18:02",0.054100,24.653224,2.500000,24.024145,0.043280
"2026-08-29 09:18:03",0.067962,24.401349,2.500000,24.013255,0.054370
"2026-08-29 09:18:04",0.092958,24.102860,2.500000,23.975095,0.074366
"2026-08-29 09:18:05",0.108915,23.897911,2.500000,23.945518,0.087132
"2026-08-29 09:18:06",0.122566,23.701132,2.500000,23.926061,0.098053
"2026-08-29 09:18:07",0.144389,23.474835,2.500000,23.917206,0.115511
"2026-08-29 09:18:08",0.170357,23.217146,2.500000,23.911949,0.136285
"2026-08-29 09:18:09",0.184966,23.062249,2.500000,23.940640,0.147973
"2026-08-29 09:18:10",0.203934,22.819580,2.500000,23.976109,0.163147
"2026-08-29 09:18:11",0.223196,22.704338,2.500000,23.929195,0.178557
"2026-08-29 09:18:12",0.251586,22.495304,2.500000,23.943943,0.201269
"2026-08-29 09:18:13",0.275953,22.229708,2.500000,23.916317,0.220762
"2026-08-29 09:18:14",0.294697,22.109348,2.500000,23.916484,0.235757
"2026-08-29 09:18:15",0.309123,21.894114,2.500000,23.869261,0.247299
"2026-08-29 09:18:16",0.325360,21.719555,2.500000,23.883095,0.260288
"2026-08-29 09:18:17",0.336574,21.481782,2.500000,23.896304,0.269259
"2026-08-29 09:18:18",0.354251,21.281781,2.500000,23.849190,0.283401
"2026-08-29 09:18:19",0.380774,21.114356,2.500000,23.826682,0.304619
"2026-08-29 09:18:20",0.406743,20.952490,2.500000,23.875077,0.325394
"2026-08-29 09:18:21",0.417306,20.697633,2.500000,23.853374,0.333845
"2026-08-29 09:18:22",0.444253,20.532354,2.500000,23.852731,0.355402
"2026-08-29 09:18:23",0.457365,20.382986,2.500000,23.815189,0.365892
"2026-08-29 09:18:24",0.471060,20.189333,2.500000,23.838216,0.376848
"2026-08-29 09:18:25",0.490860,19.987801,2.500000,23.871728,0.392688
"2026-08-29 09:18:26",0.517019,19.795369,2.500000,23.850573,0.413615
"2026-08-29 09:18:27",0.537376,19.523823,2.500000,23.872361,0.429900
"2026-08-29 09:18:28",0.561449,19.352332,2.500000,23.835055,0.449159
"2026-08-29 09:18:29",0.587084,19.104041,2.500000,23.838785,0.469667
"2026-08-29 09:18:30",0.611511,18.830847,2.500000,23.855484,0.489209
"2026-08-29 09:18:31",0.623693,18.730107,2.500000,23.886953,0.498954
"2026-08-29 09:18:32",0.645464,18.477464,2.500000,23.871550,0.516371
"2026-08-29 09:18:33",0.659829,18.365844,2.500000,23.826411,0.527863
