"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-06-18 14:28:00",0.015706,24.812036,2.500000,24.044759,0.012564
"2026-06-18 14:28:01",0.041648,24.645395,2.500000,24.072750,0.033319
"2026-06-18 14:28:02",0.068565,24.378099,2.500000,24.101515,0.054852
"2026-06-18 14:28:03",0.094715,24.129717,2.500000,24.099021,0.075772
"2026-06-18 14:28:04",0.124675,23.960212,2.500000,24.116134,0.099740
"2026-06-18 14:28:05",0.146923,23.852008,2.500000,24.118280,0.117538
"2026-06-18 14:28:06",0.175208,23.710180,2.500000,24.096446,0.140166
"2026-06-18 14:28:07",0.187945,23.565817,2.500000,24.140360,0.150356
"2026-06-18 14:28:08",0.213909,23.299032,2.500000,24.095121,0.171127
"2026-06-18 14:28:09",0.236879,23.174383,2.500000,24.103240,0.189503
"2026-06-18 14:28:10",0.250716,22.995834,2.500000,24.108029,0.200572
"2026-06-18 14:28:11",0.274788,22.772981,2.500000,24.101616,0.219830
"2026-06-18 14:28:12",0.290273,22.624073,2.500000,24.135366,0.232218
"2026-06-18 14:28:13",0.301636,22.415026,2.500000,24.097795,0.241309
"2026-06-18 14:28:14",0.319695,22.241382,2.500000,24.123698,0.255756
"2026-06-18 14:28:15",0.341396,21.968159,2.500000,24.173638,0.273117
"2026-06-18 14:28:16",0.363827,21.833787,2.500000,24.137166,0.291062
"2026-06-18 14:28:17",0.378478,21.647589,2.500000,24.132670,0.302783
"2026-06-18 14:28:18",0.394945,21.466248,2.500000,24.170423,0.315956
"2026-06-18 14:28:19",0.412712,21.209570,2.500000,24.183015,0.330169
"2026-06-18 14:28:20",0.442460,20.956741,2.500000,24.185343,0.353968
"2026-06-18 14:28:21",0.457367,20.697216,2.500000,24.233256,0.365894
"2026-06-18 14:28:22",0.467628,20.531231,2.500000,24.192821,0.374102
"2026-06-18 14:28:23",0.479156,20.313224,2.500000,24.191899,0.383325
"2026-06-18 14:28:24",0.492638,20.198166,2.500000,24.201633,0.394110
"2026-06-18 14:28:25",0.504029,20.015743,2.500000,24.223805,0.403223
"2026-06-18 14:28:26",0.525489,19.883204,2.500000,24.266575,0.420391
"2026-06-18 14:28:27",0.551572,19.781629,2.500000,24.238735,0.441258
"2026-06-18 14:28:28",0.570726,19.525186,2.500000,24.275934,0.456580
"2026-06-18 14:28:29",0.587942,19.268736,2.500000,24.281904,0.470354
"2026-06-18 14:28:30",0.598862,19.111391,2.500000,24.270011,0.479090
"2026-06-18 14:28:31",0.618766,18.961701,2.500000,24.271849,0.495013
"2026-06-18 14:28:32",0.632858,18.685090,2.500000,24.276956,0.506287
"2026-06-18 14:28:33",0.653092,18.508894,2.500000,24.316335,0.522473
"2026-06-18 14:28:34",0.664603,18.255884,2.500000,24.325854,0.531682
"2026-06-18 14:28:35",0.678681,17.988860,2.500000,24.301352,0.542945
"2026-06-18 14:28:36",0.707148,17.859810,2.500000,24.289878,0.565719
"2026-06-18 14:28:37",0.727016,17.687096,2.500000,24.295650,0.581613
"2026-06-18 14:28:38",0.738333,17.412322,2.500000,24.302685,0.590666
"2026-06-18 14:28:39",0.750816,17.209412,2.500000,24.283843,0.600653
