"采样时间","实时压力 P1","瞬时流量 M1","瞬时流量 M2","温度 T_R","压力 P2_R"
"2026-07-10 14:20:00",0.024793,24.862336,2.500000,23.984041,0.019835
"2026-07-10 14:20:01",0.046558,24.594975,2.500000,23.945896,0.037247
"2026-07-10 14:20:02",0.071631,24.358600,2.500000,23.923177,0.057305
"2026-07-10 14:20:03",0.089212,24.104432,2.500000,23.917292,0.071369
"2026-07-10 14:20:04",0.111757,23.857196,2.500000,23.955665,0.089405
"2026-07-10 14:20:05",0.122108,23.582877,2.500000,23.976690,0.097686
"2026-07-10 14:20:06",0.142897,23.332383,2.500000,23.944158,0.114318
"2026-07-10 14:20:07",0.167582,23.177019,2.500000,23.934565,0.134066
"2026-07-10 14:20:08",0.182445,22.999871,2.500000,23.953138,0.145956
"2026-07-10 14:20:09",0.200224,22.776187,2.500000,23.959792,0.160179
"2026-07-10 14:20:10",0.220112,22.617061,2.500000,23.935216,0.176090
"2026-07-10 14:20:11",0.248568,22.457663,2.500000,23.927788,0.198855
"2026-07-10 14:20:12",0.275051,22.341852,2.500000,23.877812,0.220041
"2026-07-10 14:20:13",0.294670,22.062284,2.500000,23.830564,0.235736
"2026-07-10 14:20:14",0.318205,21.801288,2.500000,23.796258,0.254564
"2026-07-10 14:20:15",0.344190,21.538362,2.500000,23.756651,0.275352
"2026-07-10 14:20:16",0.358724,21.287831,2.500000,23.708889,0.286979
"2026-07-10 14:20:17",0.380199,21.165515,2.500000,23.702749,0.304159
"2026-07-10 14:20:18",0.401162,21.021856,2.500000,23.703852,0.320929
"2026-07-10 14:20:19",0.421409,20.776094,2.500000,23.734391,0.337127
"2026-07-10 14:20:20",0.445758,20.620608,2.500000,23.712415,0.356606
"2026-07-10 14:20:21",0.471891,20.481684,2.500000,23.703907,0.377513
"2026-07-10 14:20:22",0.497905,20.324308,2.500000,23.726970,0.398324
"2026-07-10 14:20:23",0.527506,20.060543,2.500000,23.759022,0.422005
"2026-07-10 14:20:24",0.546718,19.891825,2.500000,23.725295,0.437374
"2026-07-10 14:20:25",0.569895,19.698141,2.500000,23.714428,0.455916
"2026-07-10 14:20:26",0.592566,19.428045,2.500000,23.710791,0.474052
"2026-07-10 14:20:27",0.607847,19.243608,2.500000,23.678756,0.486278
"2026-07-10 14:20:28",0.622129,18.994339,2.500000,23.644573,0.497704
"2026-07-10 14:20:29",0.637699,18.865427,2.500000,23.598302,0.510159
"2026-07-10 14:20:30",0.650781,18.583278,2.500000,23.577809,0.520625
"2026-07-10 14:20:31",0.664270,18.334384,2.500000,23.598105,0.531416
"2026-07-10 14:20:32",0.692783,18.158618,2.500000,23.626079,0.554226
"2026-07-10 14:20:33",0.719098,17.989377,2.500000,23.609116,0.575278
"2026-07-10 14:20:34",0.741448,17.801690,2.500000,23.597957,0.593158
"2026-07-10 14:20:35",0.768414,17.595531,2.500000,23.611091,0.614731
"2026-07-10 14:20:36",0.793363,17.448066,2.500000,23.636906,0.634690
"2026-07-10 14:20:37",0.810559,17.224386,2.500000,23.672499,0.648447
"2026-07-10 14:20:38",0.822404,17.109504,2.500000,23.711846,0.657923
"2026-07-10 14:20:39",0.839530,16.837006,2.500000,23.667191,0.671624
"2026-07-10 14:20:40",0.850021,16.663576,2.500000,23.710402,0.680017
"2026-07-10 14:20:41",0.871486,16.366656,2.500000,23.705633,0.697189
"2026-07-10 14:20:42",0.900770,16.165913,2.500000,23.712599,0.720616
"2026-07-10 14:20:43",0.911871,15.981499,2.500000,23.707449,0.729497
"2026-07-10 14:20:44",0.924737,15.691522,2.500000,23.730998,0.739790
