"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R","湿度H_R","大气压力"
"2026-07-01 10:00:00",0.000000,24.000000,2.500000,24.500000,0.000000,55.200000,1013.250000
"2026-07-01 10:00:01",0.150000,23.500000,2.480000,24.520000,0.025000,55.300000,1013.260000
"2026-07-01 10:00:02",0.320000,22.800000,2.510000,24.550000,0.060000,55.100000,1013.240000
"2026-07-01 10:00:03",0.480000,22.100000,2.530000,24.580000,0.100000,55.400000,1013.270000
"2026-07-01 10:00:04",0.650000,21.300000,2.490000,24.600000,0.150000,55.200000,1013.250000
"2026-07-01 10:00:05",0.820000,20.500000,2.520000,24.630000,0.210000,55.500000,1013.230000
"2026-07-01 10:00:06",0.980000,19.600000,2.470000,24.650000,0.280000,55.300000,1013.260000
"2026-07-01 10:00:07",1.150000,18.700000,2.540000,24.680000,0.360000,55.600000,1013.240000
"2026-07-01 10:00:08",1.320000,17.800000,2.500000,24.700000,0.450000,55.400000,1013.250000
"2026-07-01 10:00:09",1.500000,16.900000,2.510000,24.730000,0.550000,55.700000,1013.270000
"2026-07-01 10:00:10",1.680000,15.800000,2.480000,24.750000,0.660000,55.500000,1013.240000
"2026-07-01 10:00:11",1.850000,14.600000,2.530000,24.780000,0.780000,55.800000,1013.260000
"2026-07-01 10:00:12",1.900000,13.200000,2.460000,24.800000,0.900000,55.600000,1013.250000
"2026-07-01 10:00:13",1.900000,11.500000,2.520000,24.820000,0.900000,55.900000,1013.230000
"2026-07-01 10:00:14",1.900000,9.800000,2.490000,24.850000,0.900000,55.700000,1013.260000
"2026-07-01 10:00:15",1.900000,8.000000,2.510000,24.870000,0.900000,56.000000,1013.240000
"2026-07-01 10:00:16",1.900000,6.200000,2.470000,24.900000,0.900000,55.800000,1013.250000
"2026-07-01 10:00:17",1.900000,4.500000,2.530000,24.920000,0.900000,56.100000,1013.270000
"2026-07-01 10:00:18",1.900000,3.000000,2.480000,24.950000,0.900000,55.900000,1013.240000
"2026-07-01 10:00:19",1.900000,2.800000,2.500000,24.970000,0.900000,56.200000,1013.260000
