"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-07-02 11:00:00",-0.031181,24.280702,2.517079,24.452121,-0.014156
"2026-07-02 11:00:01",0.062004,24.079180,2.555930,24.268217,0.041266
"2026-07-02 11:00:02",0.032323,23.837922,2.587328,23.623281,0.024795
"2026-07-02 11:00:03",0.084616,23.519455,2.597119,24.399404,0.013651
"2026-07-02 11:00:04",0.148024,22.918388,2.404404,24.359392,0.004956
"2026-07-02 11:00:05",0.200358,22.703121,2.581801,23.913943,0.068819
"2026-07-02 11:00:06",0.159765,23.014919,2.478140,24.298600,0.005186
"2026-07-02 11:00:07",0.212824,22.422735,2.456279,23.573948,0.030825
"2026-07-02 11:00:08",0.228944,22.284794,2.419011,23.839075,0.073288
"2026-07-02 11:00:09",0.319457,22.297184,2.529379,24.376248,0.053577
"2026-07-02 11:00:10",0.321360,21.813412,2.550985,24.214422,0.072321
"2026-07-02 11:00:11",0.386697,21.721475,2.523171,23.723088,0.099045
"2026-07-02 11:00:12",0.364756,21.558495,2.441399,23.934206,0.084643
"2026-07-02 11:00:13",0.385519,21.574852,2.490779,24.219513,0.074173
"2026-07-02 11:00:14",0.400961,21.105477,2.511836,23.508298,0.101731
"2026-07-02 11:00:15",0.428869,20.961447,2.522420,24.096422,0.059962
"2026-07-02 11:00:16",0.486720,20.576129,2.463987,24.261662,0.115212
"2026-07-02 11:00:17",0.492788,20.795467,2.560824,24.110345,0.115617
"2026-07-02 11:00:18",0.556749,20.107833,2.567467,24.421010,0.139023
"2026-07-02 11:00:19",0.611237,20.301338,2.404597,24.426923,0.145483
"2026-07-02 11:00:20",0.605697,19.914779,2.544216,24.006702,0.135515
"2026-07-02 11:00:21",0.619611,19.895852,2.505377,23.647829,0.149727
"2026-07-02 11:00:22",0.680422,19.864551,2.591953,23.598091,0.151421
"2026-07-02 11:00:23",0.759284,19.490539,2.596868,23.828780,0.166677
"2026-07-02 11:00:24",0.736861,18.903026,2.410623,24.440056,0.126656
"2026-07-02 11:00:25",0.779138,19.106835,2.437869,24.213625,0.144854
"2026-07-02 11:00:26",0.782616,18.991768,2.462874,23.564099,0.177239
"2026-07-02 11:00:27",0.832565,18.562621,2.538769,24.287554,0.136970
"2026-07-02 11:00:28",0.904958,18.447294,2.477446,23.853346,0.167042
"2026-07-02 11:00:29",0.888450,18.211283,2.476872,24.036687,0.173813
"2026-07-02 11:00:30",0.931640,17.843244,2.584976,23.512799,0.195863
"2026-07-02 11:00:31",0.978062,17.652282,2.429905,24.167671,0.171635
"2026-07-02 11:00:32",0.973003,17.472769,2.470247,23.717353,0.168332
"2026-07-02 11:00:33",1.085551,17.283730,2.558136,24.135316,0.201560
"2026-07-02 11:00:34",1.123824,17.315241,2.484232,24.211408,0.217816
"2026-07-02 11:00:35",1.087351,16.716960,2.563807,23.923586,0.205026
"2026-07-02 11:00:36",1.175851,16.513609,2.425388,24.048902,0.245969
"2026-07-02 11:00:37",1.214875,16.884026,2.404809,24.289610,0.232730
"2026-07-02 11:00:38",1.247958,16.507579,2.540499,24.393619,0.272311
"2026-07-02 11:00:39",1.213740,16.124402,2.524078,23.999844,0.220676
"2026-07-02 11:00:40",1.246781,16.009251,2.454988,24.355073,0.246865
"2026-07-02 11:00:41",1.264488,15.653912,2.587134,23.772671,0.258706
"2026-07-02 11:00:42",1.367640,15.547959,2.454750,24.472232,0.296100
"2026-07-02 11:00:43",1.383268,15.661267,2.401811,23.579448,0.297041
"2026-07-02 11:00:44",1.398700,15.491720,2.491203,24.402173,0.274549
"2026-07-02 11:00:45",1.468383,15.228883,2.457050,23.787584,0.281788
"2026-07-02 11:00:46",1.436984,14.528700,2.587067,23.857216,0.295598
"2026-07-02 11:00:47",1.497312,14.754073,2.507256,24.145077,0.320074
"2026-07-02 11:00:48",1.537921,14.282853,2.424370,24.425003,0.280273
"2026-07-02 11:00:49",1.521122,13.955837,2.556498,23.879251,0.305891
"2026-07-02 11:00:50",1.547971,14.117151,2.594996,24.246536,0.316684
"2026-07-02 11:00:51",1.573694,13.863592,2.535090,24.409793,0.332365
"2026-07-02 11:00:52",1.616870,13.647671,2.567234,23.662143,0.300868
"2026-07-02 11:00:53",1.684679,13.619095,2.536889,23.897824,0.316915
"2026-07-02 11:00:54",1.713011,13.465919,2.505860,24.107029,0.345076
"2026-07-02 11:00:55",1.764546,12.958498,2.454885,23.540451,0.369758
"2026-07-02 11:00:56",1.744274,13.036221,2.586871,24.317032,0.359372
"2026-07-02 11:00:57",1.779137,12.678742,2.418421,24.038106,0.374617
"2026-07-02 11:00:58",1.872569,12.579294,2.525474,24.150117,0.395485
"2026-07-02 11:00:59",1.893359,12.095036,2.596068,24.141845,0.382800
