"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-08-23 08:00:00",0.010617,23.830055,2.460720,23.771192,0.012759
"2026-08-23 08:00:01",0.015665,23.544334,2.459920,24.166813,0.020804
"2026-08-23 08:00:02",0.061770,23.758247,2.422037,24.142914,-0.005305
"2026-08-23 08:00:03",0.057181,23.446434,2.506028,24.227473,0.015466
"2026-08-23 08:00:04",0.152789,23.131376,2.569518,24.081355,0.050320
"2026-08-23 08:00:05",0.095780,22.840945,2.480271,24.155641,-0.003373
"2026-08-23 08:00:06",0.219790,23.073110,2.581557,24.423802,0.063040
"2026-08-23 08:00:07",0.172706,22.438824,2.559580,23.534889,0.024507
"2026-08-23 08:00:08",0.255837,22.675046,2.550437,23.695995,0.030441
"2026-08-23 08:00:09",0.235726,22.406061,2.457166,24.475830,0.069866
"2026-08-23 08:00:10",0.250752,22.288526,2.433942,23.913075,0.050624
"2026-08-23 08:00:11",0.277626,21.713481,2.493016,24.131232,0.085144
"2026-08-23 08:00:12",0.364402,21.354594,2.421295,23.519730,0.101176
"2026-08-23 08:00:13",0.335853,21.531164,2.495927,24.172658,0.084502
"2026-08-23 08:00:14",0.363555,20.980681,2.469166,24.430624,0.088554
"2026-08-23 08:00:15",0.396911,20.811476,2.438311,23.849417,0.057557
"2026-08-23 08:00:16",0.483234,20.764964,2.583111,24.327046,0.096178
"2026-08-23 08:00:17",0.471141,20.871192,2.491693,23.557378,0.100541
"2026-08-23 08:00:18",0.499323,20.591094,2.533618,23.541808,0.107300
"2026-08-23 08:00:19",0.579052,20.350486,2.571053,24.286987,0.101409
"2026-08-23 08:00:20",0.536485,20.106684,2.433501,23.871934,0.107850
"2026-08-23 08:00:21",0.564487,19.943768,2.547104,23.541366,0.100820
"2026-08-23 08:00:22",0.627792,19.491763,2.413396,24.295415,0.106864
"2026-08-23 08:00:23",0.663990,19.212987,2.596908,23.755279,0.156135
"2026-08-23 08:00:24",0.684836,19.447632,2.537883,24.224677,0.108716
"2026-08-23 08:00:25",0.707733,18.985351,2.459190,23.717182,0.115637
"2026-08-23 08:00:26",0.783427,18.703065,2.561093,24.089260,0.141261
"2026-08-23 08:00:27",0.718230,18.555664,2.450243,24.439842,0.155024
"2026-08-23 08:00:28",0.745041,18.355617,2.448890,23.781081,0.138739
"2026-08-23 08:00:29",0.862035,18.462051,2.520230,24.006320,0.157187
"2026-08-23 08:00:30",0.890822,18.127940,2.537051,24.081275,0.171999
"2026-08-23 08:00:31",0.842800,17.539252,2.487203,23.974352,0.141118
"2026-08-23 08:00:32",0.901022,17.483123,2.511145,24.307374,0.172356
"2026-08-23 08:00:33",0.972748,17.270764,2.414835,24.066038,0.221466
"2026-08-23 08:00:34",0.996253,17.100946,2.595931,23.893512,0.221392
"2026-08-23 08:00:35",0.981272,16.750250,2.544073,23.640767,0.219933
"2026-08-23 08:00:36",1.013551,16.587708,2.589070,23.971065,0.221896
"2026-08-23 08:00:37",1.067792,16.863488,2.426932,23.844592,0.212197
"2026-08-23 08:00:38",1.080515,16.392923,2.568748,24.290390,0.228829
"2026-08-23 08:00:39",1.134255,16.195131,2.475854,23.501206,0.211393
"2026-08-23 08:00:40",1.171236,15.716254,2.538229,24.444353,0.262179
"2026-08-23 08:00:41",1.165916,15.937403,2.548423,24.231949,0.248249
"2026-08-23 08:00:42",1.169543,15.850094,2.482534,23.887522,0.249084
"2026-08-23 08:00:43",1.213757,15.569955,2.479522,23.696997,0.233082
"2026-08-23 08:00:44",1.253938,15.462792,2.509420,24.078577,0.251653
"2026-08-23 08:00:45",1.255030,14.771911,2.596872,23.951138,0.258554
"2026-08-23 08:00:46",1.304532,14.563414,2.596275,24.451546,0.234893
"2026-08-23 08:00:47",1.309605,14.501271,2.423069,23.642167,0.234057
"2026-08-23 08:00:48",1.398075,14.394946,2.522489,24.448872,0.258677
"2026-08-23 08:00:49",1.404446,13.908080,2.461507,23.855952,0.269183
"2026-08-23 08:00:50",1.430144,13.938253,2.411842,23.747263,0.298060
"2026-08-23 08:00:51",1.473836,13.561310,2.569704,23.546211,0.279973
"2026-08-23 08:00:52",1.514519,13.513623,2.570249,24.084066,0.330375
"2026-08-23 08:00:53",1.467263,13.590191,2.522846,24.247475,0.297426
"2026-08-23 08:00:54",1.556116,13.181347,2.470270,23.958818,0.325530
"2026-08-23 08:00:55",1.516685,12.836430,2.485140,24.026278,0.316975
"2026-08-23 08:00:56",1.588753,12.664367,2.539970,23.692758,0.296931
"2026-08-23 08:00:57",1.634524,12.658947,2.406545,24.189439,0.331132
"2026-08-23 08:00:58",1.638786,12.304980,2.561280,24.010488,0.353512
"2026-08-23 08:00:59",1.685339,12.322436,2.556424,24.478185,0.323432
