"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-08-26 12:00:00",-0.011811,24.231833,2.528524,23.614111,-0.023757
"2026-08-26 12:00:01",0.073464,23.521882,2.457094,24.122922,0.019581
"2026-08-26 12:00:02",0.106291,23.423794,2.502388,23.883478,0.036302
"2026-08-26 12:00:03",0.105642,23.373817,2.440121,23.644001,0.014979
"2026-08-26 12:00:04",0.091823,22.996193,2.475653,23.523732,0.010818
"2026-08-26 12:00:05",0.131603,23.157091,2.451283,23.697706,0.028805
"2026-08-26 12:00:06",0.171679,22.633173,2.416506,24.217390,0.054528
"2026-08-26 12:00:07",0.231896,22.665757,2.414908,23.581157,0.037883
"2026-08-26 12:00:08",0.276322,22.167562,2.404635,24.016787,0.036110
"2026-08-26 12:00:09",0.239270,22.204768,2.423348,24.355932,0.031681
"2026-08-26 12:00:10",0.358503,21.915461,2.477892,23.652662,0.093208
"2026-08-26 12:00:11",0.375533,21.726133,2.519138,24.278270,0.081200
"2026-08-26 12:00:12",0.352972,21.342987,2.456464,24.050642,0.088984
"2026-08-26 12:00:13",0.386837,21.313016,2.536416,23.833897,0.104294
"2026-08-26 12:00:14",0.491240,21.169181,2.418358,23.747132,0.089987
"2026-08-26 12:00:15",0.514199,20.887408,2.522901,23.579367,0.110200
"2026-08-26 12:00:16",0.511232,21.006199,2.425412,23.961040,0.095776
"2026-08-26 12:00:17",0.516466,20.578159,2.500214,23.850700,0.095322
"2026-08-26 12:00:18",0.532398,20.302881,2.446705,23.571210,0.125163
"2026-08-26 12:00:19",0.598357,19.925981,2.407355,24.304868,0.144706
"2026-08-26 12:00:20",0.645536,19.957143,2.473325,23.654110,0.151668
"2026-08-26 12:00:21",0.629579,19.710118,2.496744,24.273893,0.138521
"2026-08-26 12:00:22",0.727207,19.624326,2.404389,24.169482,0.123840
"2026-08-26 12:00:23",0.757773,19.146250,2.598471,23.900709,0.178233
"2026-08-26 12:00:24",0.765467,19.206143,2.535003,23.854078,0.123301
"2026-08-26 12:00:25",0.809105,18.908481,2.527051,23.774241,0.165426
"2026-08-26 12:00:26",0.797515,18.951110,2.572040,23.831085,0.161064
"2026-08-26 12:00:27",0.808253,18.881743,2.560238,23.568795,0.166536
"2026-08-26 12:00:28",0.922654,18.696425,2.537308,24.216736,0.168259
"2026-08-26 12:00:29",0.949800,18.004430,2.504712,23.830344,0.169557
"2026-08-26 12:00:30",0.956838,18.287722,2.530406,24.327810,0.201639
"2026-08-26 12:00:31",0.982827,17.597955,2.524396,23.883830,0.190760
"2026-08-26 12:00:32",0.977798,17.329175,2.593379,24.314062,0.182192
"2026-08-26 12:00:33",1.032322,17.477576,2.464846,23.806728,0.198900
"2026-08-26 12:00:34",1.114410,16.955538,2.472082,24.270510,0.250062
"2026-08-26 12:00:35",1.127841,16.840864,2.430672,23.603293,0.244938
"2026-08-26 12:00:36",1.099506,16.539501,2.457180,24.322269,0.216117
"2026-08-26 12:00:37",1.162987,16.679600,2.539418,23.831395,0.222247
"2026-08-26 12:00:38",1.173837,16.158974,2.594820,24.283458,0.229833
"2026-08-26 12:00:39",1.200774,16.228816,2.405237,23.699226,0.258235
"2026-08-26 12:00:40",1.227732,16.250593,2.509277,23.518841,0.246078
"2026-08-26 12:00:41",1.324890,15.772677,2.538982,24.492015,0.244921
"2026-08-26 12:00:42",1.325563,15.425961,2.591991,24.151368,0.269734
"2026-08-26 12:00:43",1.324894,15.565959,2.462083,23.610835,0.249323
"2026-08-26 12:00:44",1.430764,15.473149,2.485511,23.761337,0.305724
"2026-08-26 12:00:45",1.379721,14.865827,2.584850,23.859812,0.294385
"2026-08-26 12:00:46",1.433997,14.702851,2.586941,24.033548,0.295595
"2026-08-26 12:00:47",1.448001,14.503623,2.454922,24.170112,0.318879
"2026-08-26 12:00:48",1.536221,14.165878,2.577313,23.514878,0.303340
"2026-08-26 12:00:49",1.560589,14.498154,2.431136,23.748153,0.295619
"2026-08-26 12:00:50",1.592926,13.724759,2.433387,23.716436,0.339840
"2026-08-26 12:00:51",1.586489,13.773388,2.415527,24.404854,0.293887
"2026-08-26 12:00:52",1.603363,13.853344,2.412229,24.206776,0.306392
"2026-08-26 12:00:53",1.674482,13.624738,2.551994,24.429739,0.363745
"2026-08-26 12:00:54",1.729505,13.198716,2.567704,23.911341,0.352889
"2026-08-26 12:00:55",1.719903,13.043224,2.560199,24.095002,0.364963
"2026-08-26 12:00:56",1.794999,13.075619,2.542547,24.206214,0.367042
"2026-08-26 12:00:57",1.802507,12.690695,2.582538,23.509403,0.333368
"2026-08-26 12:00:58",1.883224,12.428784,2.566041,23.639552,0.366536
"2026-08-26 12:00:59",1.896939,12.072642,2.455489,23.641782,0.363649
