"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-08-08 16:00:00",0.025512,24.222566,2.510055,23.577766,0.002099
"2026-08-08 16:00:01",0.008230,23.512378,2.450616,24.349902,0.003713
"2026-08-08 16:00:02",0.038111,23.772389,2.548492,23.856373,-0.000414
"2026-08-08 16:00:03",0.106963,23.573865,2.558467,24.035813,0.028576
"2026-08-08 16:00:04",0.102185,23.039037,2.532702,24.120867,0.001399
"2026-08-08 16:00:05",0.128135,22.888383,2.421721,24.197242,0.054503
"2026-08-08 16:00:06",0.166161,22.748079,2.457223,23.646824,0.021968
"2026-08-08 16:00:07",0.203463,22.484330,2.552543,24.106624,0.040447
"2026-08-08 16:00:08",0.211467,22.603748,2.431662,24.273433,0.056140
"2026-08-08 16:00:09",0.265500,22.367820,2.500250,24.025816,0.030131
"2026-08-08 16:00:10",0.281101,22.115031,2.404535,23.703339,0.037855
"2026-08-08 16:00:11",0.372696,21.872829,2.427983,23.755402,0.101267
"2026-08-08 16:00:12",0.404271,21.612856,2.458197,24.037444,0.080295
"2026-08-08 16:00:13",0.435340,21.171248,2.472973,24.280054,0.093229
"2026-08-08 16:00:14",0.484897,21.109687,2.511311,23.700805,0.100037
"2026-08-08 16:00:15",0.522298,20.744559,2.570823,23.984048,0.082123
"2026-08-08 16:00:16",0.514545,20.521247,2.534913,23.895225,0.118128
"2026-08-08 16:00:17",0.573456,20.365642,2.562943,23.708982,0.123453
"2026-08-08 16:00:18",0.577214,20.635370,2.568736,24.217296,0.141389
"2026-08-08 16:00:19",0.579099,20.165478,2.486047,24.339734,0.110688
"2026-08-08 16:00:20",0.634660,20.297671,2.523083,23.931731,0.116901
"2026-08-08 16:00:21",0.665138,19.804305,2.418159,24.405355,0.146407
"2026-08-08 16:00:22",0.722127,19.772533,2.487180,24.466620,0.171216
"2026-08-08 16:00:23",0.766547,19.486512,2.492148,23.932426,0.161561
"2026-08-08 16:00:24",0.805948,19.168349,2.425862,23.802150,0.142835
"2026-08-08 16:00:25",0.799114,18.992952,2.509491,23.864091,0.178055
"2026-08-08 16:00:26",0.812858,18.904475,2.456661,24.131694,0.174385
"2026-08-08 16:00:27",0.883426,18.463485,2.598510,24.214544,0.171989
"2026-08-08 16:00:28",0.864838,18.586626,2.481644,24.106226,0.162427
"2026-08-08 16:00:29",0.918378,18.424183,2.526043,23.629687,0.189576
"2026-08-08 16:00:30",0.940667,17.996548,2.462347,24.057178,0.189732
"2026-08-08 16:00:31",0.946509,17.704132,2.497354,23.800850,0.186479
"2026-08-08 16:00:32",0.997232,17.432788,2.473174,24.012570,0.186123
"2026-08-08 16:00:33",1.082780,17.418716,2.467169,24.386145,0.245968
"2026-08-08 16:00:34",1.074681,17.365367,2.425692,24.228902,0.221349
"2026-08-08 16:00:35",1.122688,16.993466,2.549992,24.195613,0.251294
"2026-08-08 16:00:36",1.144192,16.987791,2.558189,24.348873,0.214738
"2026-08-08 16:00:37",1.152342,16.646476,2.543051,23.876648,0.238601
"2026-08-08 16:00:38",1.197089,16.383233,2.423944,24.160162,0.251153
"2026-08-08 16:00:39",1.281697,16.035660,2.463106,23.967997,0.226743
"2026-08-08 16:00:40",1.254517,16.157197,2.428544,24.224105,0.232339
"2026-08-08 16:00:41",1.299433,15.596864,2.561335,24.087106,0.236218
"2026-08-08 16:00:42",1.334217,15.800922,2.416350,24.105187,0.240570
"2026-08-08 16:00:43",1.370716,15.604316,2.428699,24.193626,0.253079
"2026-08-08 16:00:44",1.347921,15.452331,2.402037,24.403629,0.279270
"2026-08-08 16:00:45",1.430512,15.067803,2.408730,23.914858,0.280046
"2026-08-08 16:00:46",1.472128,14.865045,2.415292,24.224007,0.279930
"2026-08-08 16:00:47",1.508725,14.548710,2.471731,24.091746,0.330590
"2026-08-08 16:00:48",1.550689,14.377508,2.501589,24.401710,0.336475
"2026-08-08 16:00:49",1.568430,14.494887,2.514362,23.780628,0.300792
"2026-08-08 16:00:50",1.602343,13.785009,2.574982,24.309728,0.307950
"2026-08-08 16:00:51",1.599806,13.987566,2.531198,23.649276,0.320687
"2026-08-08 16:00:52",1.679248,13.659922,2.560292,23.530015,0.350185
"2026-08-08 16:00:53",1.716327,13.113198,2.476546,23.848317,0.370072
"2026-08-08 16:00:54",1.695073,12.901555,2.422063,24.060918,0.333702
"2026-08-08 16:00:55",1.720890,12.983275,2.409736,23.960931,0.318099
"2026-08-08 16:00:56",1.816181,12.674782,2.429415,23.617530,0.365923
"2026-08-08 16:00:57",1.759135,12.524427,2.452130,24.230159,0.337336
"2026-08-08 16:00:58",1.793891,12.540560,2.418588,23.628761,0.361833
"2026-08-08 16:00:59",1.823658,12.378445,2.577194,24.338814,0.348497
