"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-08-12 13:00:00",-0.022857,23.901544,2.574468,24.086696,0.010513
"2026-08-12 13:00:01",0.000529,23.871932,2.564414,23.515121,0.011694
"2026-08-12 13:00:02",0.079568,23.416692,2.529990,23.934018,0.015193
"2026-08-12 13:00:03",0.128936,23.498890,2.404547,24.157564,0.046435
"2026-08-12 13:00:04",0.147362,23.022214,2.520341,24.075606,0.052363
"2026-08-12 13:00:05",0.179573,22.968274,2.550106,23.563755,0.011978
"2026-08-12 13:00:06",0.147202,22.966771,2.425715,23.886517,0.050891
"2026-08-12 13:00:07",0.170689,22.786233,2.494674,23.759607,0.034812
"2026-08-12 13:00:08",0.243845,22.523668,2.452943,23.929919,0.043138
"2026-08-12 13:00:09",0.300757,22.483200,2.565086,24.310054,0.068314
"2026-08-12 13:00:10",0.313507,22.232233,2.470477,24.083618,0.052225
"2026-08-12 13:00:11",0.372277,21.566715,2.508947,23.784222,0.097798
"2026-08-12 13:00:12",0.319823,21.548891,2.502303,24.003241,0.074038
"2026-08-12 13:00:13",0.395134,21.133913,2.570846,23.745723,0.052480
"2026-08-12 13:00:14",0.456259,21.154028,2.519885,23.912871,0.063836
"2026-08-12 13:00:15",0.408783,21.063104,2.526146,23.708206,0.101725
"2026-08-12 13:00:16",0.441561,20.844781,2.443158,24.380113,0.073085
"2026-08-12 13:00:17",0.479861,20.461575,2.439697,24.365234,0.084801
"2026-08-12 13:00:18",0.536244,20.580560,2.461046,23.872104,0.109789
"2026-08-12 13:00:19",0.590604,20.195402,2.540765,24.301283,0.092667
"2026-08-12 13:00:20",0.551910,19.743352,2.468421,23.606150,0.117542
"2026-08-12 13:00:21",0.678668,19.804165,2.423803,23.732172,0.108977
"2026-08-12 13:00:22",0.675336,19.791550,2.497481,23.576118,0.121316
"2026-08-12 13:00:23",0.731391,19.487154,2.482780,23.750683,0.123734
"2026-08-12 13:00:24",0.675332,19.131422,2.413155,23.907053,0.128493
"2026-08-12 13:00:25",0.766034,18.924200,2.570022,23.999305,0.139429
"2026-08-12 13:00:26",0.810736,18.935917,2.515887,23.867412,0.189773
"2026-08-12 13:00:27",0.793488,18.609541,2.480184,23.598903,0.141255
"2026-08-12 13:00:28",0.819520,18.442941,2.458560,24.008872,0.154538
"2026-08-12 13:00:29",0.821997,18.366457,2.403161,24.262843,0.178911
"2026-08-12 13:00:30",0.903066,18.008090,2.420873,23.930052,0.186163
"2026-08-12 13:00:31",0.884567,17.587555,2.537952,23.622898,0.149191
"2026-08-12 13:00:32",0.985508,17.716514,2.457889,24.014551,0.180264
"2026-08-12 13:00:33",0.974637,17.376555,2.543793,24.459708,0.166614
"2026-08-12 13:00:34",0.998763,17.481685,2.487430,24.460830,0.198911
"2026-08-12 13:00:35",1.061138,17.215895,2.433751,23.831284,0.213386
"2026-08-12 13:00:36",1.059797,16.884549,2.521593,23.908029,0.200855
"2026-08-12 13:00:37",1.092028,16.891064,2.400243,24.368368,0.247798
"2026-08-12 13:00:38",1.147267,16.423687,2.519598,24.100948,0.202567
"2026-08-12 13:00:39",1.142676,16.151534,2.580380,24.241595,0.222208
"2026-08-12 13:00:40",1.198278,15.925800,2.474593,24.378370,0.239615
"2026-08-12 13:00:41",1.222234,15.515410,2.412736,24.151385,0.267580
"2026-08-12 13:00:42",1.306157,15.798253,2.532094,23.785370,0.267822
"2026-08-12 13:00:43",1.264703,15.692393,2.574421,24.419517,0.257733
"2026-08-12 13:00:44",1.331257,15.337108,2.533096,23.953856,0.283372
"2026-08-12 13:00:45",1.389130,15.083061,2.419651,23.508371,0.252827
"2026-08-12 13:00:46",1.372725,14.824258,2.408248,24.025869,0.292246
"2026-08-12 13:00:47",1.361239,14.844772,2.538287,23.906079,0.265628
"2026-08-12 13:00:48",1.410705,14.231589,2.442737,23.744630,0.277753
"2026-08-12 13:00:49",1.510920,14.432095,2.553967,24.417230,0.323934
"2026-08-12 13:00:50",1.451471,13.897139,2.485119,24.221258,0.261215
"2026-08-12 13:00:51",1.555842,13.932048,2.490647,23.773518,0.303845
"2026-08-12 13:00:52",1.602791,13.364410,2.539078,24.161780,0.326517
"2026-08-12 13:00:53",1.627424,13.671313,2.445539,23.971672,0.340137
"2026-08-12 13:00:54",1.651295,13.199029,2.456992,24.149743,0.340420
"2026-08-12 13:00:55",1.647554,13.223216,2.406402,24.370291,0.351558
"2026-08-12 13:00:56",1.678616,12.610312,2.416406,23.683252,0.325219
"2026-08-12 13:00:57",1.731772,12.591983,2.579886,24.165911,0.353914
"2026-08-12 13:00:58",1.779221,12.305958,2.549494,24.272467,0.381017
"2026-08-12 13:00:59",1.778579,12.324861,2.410490,23.711423,0.357346
