"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-08-26 12:00:00",0.011657,23.859471,2.507594,24.036067,0.020282
"2026-08-26 12:00:01",-0.016979,24.085850,2.530629,24.005521,0.009624
"2026-08-26 12:00:02",0.023671,23.649478,2.444049,23.737393,-0.023116
"2026-08-26 12:00:03",0.040938,23.337967,2.529907,23.620286,0.002631
"2026-08-26 12:00:04",0.110876,23.419494,2.498980,24.059993,0.015691
"2026-08-26 12:00:05",0.160586,22.806846,2.566479,24.404372,0.028689
"2026-08-26 12:00:06",0.176371,22.796827,2.429190,23.663384,0.010028
"2026-08-26 12:00:07",0.189271,22.382790,2.470939,23.718310,0.017347
"2026-08-26 12:00:08",0.198853,22.328532,2.487673,24.454335,0.013756
"2026-08-26 12:00:09",0.270619,22.153432,2.461546,23.632213,0.034985
"2026-08-26 12:00:10",0.226358,21.724670,2.407065,24.471065,0.046502
"2026-08-26 12:00:11",0.270614,21.985534,2.447232,24.448916,0.071772
"2026-08-26 12:00:12",0.319058,21.322761,2.494107,24.224796,0.058189
"2026-08-26 12:00:13",0.378320,21.262717,2.566794,23.573893,0.068602
"2026-08-26 12:00:14",0.405781,20.987875,2.521508,24.302878,0.065317
"2026-08-26 12:00:15",0.356853,20.975141,2.527281,24.376102,0.080267
"2026-08-26 12:00:16",0.451072,20.802423,2.436034,23.995073,0.102506
"2026-08-26 12:00:17",0.412961,20.472370,2.572978,23.808801,0.093978
"2026-08-26 12:00:18",0.509156,20.578098,2.426594,24.434831,0.112140
"2026-08-26 12:00:19",0.551562,20.353952,2.596480,23.684061,0.136777
"2026-08-26 12:00:20",0.555938,20.140556,2.501063,24.478715,0.097655
"2026-08-26 12:00:21",0.526362,20.050575,2.596706,23.702830,0.119536
"2026-08-26 12:00:22",0.606539,19.709670,2.582219,24.275195,0.112996
"2026-08-26 12:00:23",0.579518,19.284728,2.429202,23.905775,0.125556
"2026-08-26 12:00:24",0.599321,19.068123,2.479077,23.653052,0.129686
"2026-08-26 12:00:25",0.622617,18.786013,2.535859,23.923351,0.130844
"2026-08-26 12:00:26",0.692047,19.037156,2.441240,23.689403,0.139898
"2026-08-26 12:00:27",0.729474,18.491104,2.588476,24.193841,0.149205
"2026-08-26 12:00:28",0.761377,18.383891,2.596770,24.448563,0.139806
"2026-08-26 12:00:29",0.757043,18.218519,2.400402,23.849918,0.125703
"2026-08-26 12:00:30",0.825137,18.255572,2.591249,24.390679,0.185811
"2026-08-26 12:00:31",0.813597,17.783832,2.434126,23.675391,0.148898
"2026-08-26 12:00:32",0.858736,17.649634,2.435930,24.126989,0.156675
"2026-08-26 12:00:33",0.908463,17.427347,2.537722,23.933050,0.208178
"2026-08-26 12:00:34",0.922451,17.098168,2.507443,23.508112,0.213815
"2026-08-26 12:00:35",0.905648,16.759063,2.488089,23.833396,0.196701
"2026-08-26 12:00:36",0.990284,16.847164,2.473926,23.832552,0.191933
"2026-08-26 12:00:37",0.986577,16.478667,2.423718,24.136063,0.216898
"2026-08-26 12:00:38",1.054353,16.586896,2.581844,24.343064,0.196927
"2026-08-26 12:00:39",1.008345,16.053491,2.431555,23.613895,0.187767
"2026-08-26 12:00:40",1.026639,16.222524,2.505582,24.278193,0.210352
"2026-08-26 12:00:41",1.080075,16.062749,2.549651,24.088711,0.192626
"2026-08-26 12:00:42",1.135136,15.498996,2.581519,23.678263,0.213397
"2026-08-26 12:00:43",1.118077,15.369216,2.523398,24.300638,0.213674
"2026-08-26 12:00:44",1.162069,15.241161,2.500725,24.304999,0.254309
"2026-08-26 12:00:45",1.177066,15.217098,2.551055,24.462722,0.237237
"2026-08-26 12:00:46",1.242543,14.517618,2.555001,24.013526,0.250470
"2026-08-26 12:00:47",1.223359,14.381025,2.445917,23.612422,0.222885
"2026-08-26 12:00:48",1.324556,14.698159,2.472466,23.504289,0.291997
"2026-08-26 12:00:49",1.263000,14.152628,2.525933,24.432390,0.278784
"2026-08-26 12:00:50",1.334458,13.896218,2.598141,23.656595,0.287206
"2026-08-26 12:00:51",1.370516,14.043298,2.450330,23.520240,0.263562
"2026-08-26 12:00:52",1.384784,13.876180,2.462116,24.279489,0.269445
"2026-08-26 12:00:53",1.396495,13.147243,2.548247,23.676029,0.267377
"2026-08-26 12:00:54",1.428315,13.100252,2.482444,24.170064,0.308350
"2026-08-26 12:00:55",1.442958,13.136686,2.458965,24.030904,0.272715
"2026-08-26 12:00:56",1.529716,12.730667,2.563280,23.634701,0.291667
"2026-08-26 12:00:57",1.526543,12.694326,2.469658,24.076282,0.328685
"2026-08-26 12:00:58",1.575445,12.292903,2.570147,23.811256,0.336066
"2026-08-26 12:00:59",1.622337,11.944403,2.504932,23.827647,0.313496
