"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-08-05 10:00:00",-0.005184,23.991984,2.548201,24.144999,0.025549
"2026-08-05 10:00:01",0.066993,23.522846,2.583607,24.264771,0.020774
"2026-08-05 10:00:02",0.088845,23.572014,2.529840,24.446454,0.035270
"2026-08-05 10:00:03",0.044613,23.456151,2.475602,24.026752,0.017082
"2026-08-05 10:00:04",0.059165,23.465819,2.415460,23.874906,-0.001996
"2026-08-05 10:00:05",0.075838,23.192510,2.463251,23.666365,-0.000343
"2026-08-05 10:00:06",0.133607,22.668454,2.426404,23.584181,0.018592
"2026-08-05 10:00:07",0.182307,22.864444,2.463152,23.791415,0.034868
"2026-08-05 10:00:08",0.209717,22.630029,2.539024,23.940765,0.030291
"2026-08-05 10:00:09",0.209711,22.257308,2.556599,24.247402,0.061000
"2026-08-05 10:00:10",0.233167,22.132576,2.579071,23.822006,0.067931
"2026-08-05 10:00:11",0.271627,21.848162,2.486290,23.737596,0.040662
"2026-08-05 10:00:12",0.285783,21.390896,2.587474,23.586245,0.074246
"2026-08-05 10:00:13",0.342995,21.641327,2.501270,24.381820,0.081397
"2026-08-05 10:00:14",0.314488,21.057265,2.406021,24.172234,0.038555
"2026-08-05 10:00:15",0.396179,21.130701,2.599991,24.080729,0.061297
"2026-08-05 10:00:16",0.449331,21.047047,2.513090,24.060433,0.084033
"2026-08-05 10:00:17",0.424271,20.723435,2.417427,24.434389,0.088786
"2026-08-05 10:00:18",0.426432,20.649246,2.440546,23.798185,0.074956
"2026-08-05 10:00:19",0.448349,20.257576,2.437475,23.783038,0.103934
"2026-08-05 10:00:20",0.502185,19.764454,2.576420,23.965009,0.082986
"2026-08-05 10:00:21",0.565083,19.568105,2.561511,24.258572,0.092175
"2026-08-05 10:00:22",0.554359,19.684821,2.400303,23.834913,0.124162
"2026-08-05 10:00:23",0.559432,19.379542,2.537562,23.657363,0.082859
"2026-08-05 10:00:24",0.583789,19.159414,2.594358,24.298575,0.128960
"2026-08-05 10:00:25",0.665611,19.111910,2.526899,24.220860,0.163040
"2026-08-05 10:00:26",0.615301,19.063298,2.439157,24.375986,0.105823
"2026-08-05 10:00:27",0.643516,18.489342,2.555765,24.396428,0.143730
"2026-08-05 10:00:28",0.696210,18.656269,2.485877,24.148634,0.140346
"2026-08-05 10:00:29",0.730226,18.092604,2.587109,24.154414,0.160155
"2026-08-05 10:00:30",0.710523,17.873238,2.562023,23.929589,0.143365
"2026-08-05 10:00:31",0.812532,17.540768,2.458847,23.709829,0.183946
"2026-08-05 10:00:32",0.795715,17.644727,2.447321,23.518961,0.169272
"2026-08-05 10:00:33",0.831008,17.275543,2.519258,24.200995,0.174368
"2026-08-05 10:00:34",0.865545,16.926809,2.425778,23.613854,0.160798
"2026-08-05 10:00:35",0.895318,16.912837,2.419469,24.323211,0.156598
"2026-08-05 10:00:36",0.938313,16.891311,2.431546,23.811247,0.177317
"2026-08-05 10:00:37",0.879948,16.584097,2.406026,24.200592,0.170036
"2026-08-05 10:00:38",0.920056,16.433175,2.481694,23.638173,0.158435
"2026-08-05 10:00:39",0.959747,16.296763,2.500590,24.075339,0.172444
"2026-08-05 10:00:40",1.012047,15.959739,2.505987,24.297244,0.178245
"2026-08-05 10:00:41",1.019000,15.797384,2.477282,24.364852,0.231673
"2026-08-05 10:00:42",1.032769,15.800487,2.430209,24.351156,0.179665
"2026-08-05 10:00:43",1.073298,15.282802,2.431719,24.133598,0.224668
"2026-08-05 10:00:44",1.093175,15.271970,2.441605,23.777848,0.233812
"2026-08-05 10:00:45",1.115326,15.271965,2.438284,23.986008,0.206422
"2026-08-05 10:00:46",1.151356,14.649073,2.586142,24.240637,0.226005
"2026-08-05 10:00:47",1.186503,14.432401,2.500795,23.826904,0.225972
"2026-08-05 10:00:48",1.174325,14.467440,2.554518,23.723769,0.223919
"2026-08-05 10:00:49",1.178973,13.928216,2.508344,24.066806,0.247197
"2026-08-05 10:00:50",1.257129,13.938316,2.405796,23.791945,0.248187
"2026-08-05 10:00:51",1.268306,14.043868,2.522298,24.445660,0.262035
"2026-08-05 10:00:52",1.294789,13.698760,2.582087,24.277832,0.265172
"2026-08-05 10:00:53",1.306952,13.553341,2.411232,23.585528,0.241595
"2026-08-05 10:00:54",1.336642,13.186195,2.507322,24.302577,0.255688
"2026-08-05 10:00:55",1.381984,13.120602,2.477329,23.974879,0.249173
"2026-08-05 10:00:56",1.393978,12.944609,2.595872,24.372050,0.274063
"2026-08-05 10:00:57",1.399275,12.528618,2.451053,24.230259,0.261998
"2026-08-05 10:00:58",1.401708,12.537011,2.537582,24.081289,0.259284
"2026-08-05 10:00:59",1.469447,12.163339,2.466022,24.192767,0.268192
