"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-08-26 12:00:00",-0.035240,24.180161,2.497880,24.128718,-0.036735
"2026-08-26 12:00:01",0.053257,23.549073,2.510774,23.934354,0.004957
"2026-08-26 12:00:02",0.030464,23.343705,2.447422,24.120427,0.035431
"2026-08-26 12:00:03",0.048655,23.468601,2.536665,24.312750,-0.001272
"2026-08-26 12:00:04",0.074050,23.079848,2.557236,23.593330,0.030158
"2026-08-26 12:00:05",0.141290,22.829772,2.459387,23.621228,0.034794
"2026-08-26 12:00:06",0.165513,23.013707,2.519045,23.616497,0.037351
"2026-08-26 12:00:07",0.162969,22.389219,2.482555,23.842037,0.049627
"2026-08-26 12:00:08",0.166626,22.567756,2.400342,24.034155,0.008452
"2026-08-26 12:00:09",0.243785,22.134772,2.471130,23.990996,0.060023
"2026-08-26 12:00:10",0.242449,21.735333,2.455190,23.677692,0.058876
"2026-08-26 12:00:11",0.287428,21.559963,2.580340,23.967607,0.068258
"2026-08-26 12:00:12",0.294580,21.621383,2.425556,23.860772,0.066698
"2026-08-26 12:00:13",0.342448,21.332880,2.410484,23.922900,0.057824
"2026-08-26 12:00:14",0.345688,21.012275,2.594370,23.519320,0.082987
"2026-08-26 12:00:15",0.350723,21.090420,2.436587,24.191840,0.092981
"2026-08-26 12:00:16",0.419566,20.997863,2.586610,24.443046,0.080822
"2026-08-26 12:00:17",0.425447,20.717531,2.581791,23.678691,0.107897
"2026-08-26 12:00:18",0.456565,20.289620,2.516488,23.940666,0.089036
"2026-08-26 12:00:19",0.550750,20.083731,2.444131,23.770317,0.112218
"2026-08-26 12:00:20",0.498794,20.296782,2.432329,23.753532,0.086414
"2026-08-26 12:00:21",0.523918,19.585590,2.562338,24.015037,0.115886
"2026-08-26 12:00:22",0.624139,19.882472,2.516848,24.312735,0.147612
"2026-08-26 12:00:23",0.630927,19.609704,2.538412,23.657306,0.101262
"2026-08-26 12:00:24",0.638708,19.319573,2.492380,23.634374,0.145996
"2026-08-26 12:00:25",0.651398,19.290483,2.523759,23.820463,0.137883
"2026-08-26 12:00:26",0.690255,18.581787,2.469969,23.700181,0.138029
"2026-08-26 12:00:27",0.757232,18.549599,2.554441,24.497442,0.154555
"2026-08-26 12:00:28",0.728561,18.255857,2.553213,23.536917,0.154904
"2026-08-26 12:00:29",0.745245,18.438124,2.487848,23.831195,0.133402
"2026-08-26 12:00:30",0.829243,17.800326,2.564911,23.727706,0.193546
"2026-08-26 12:00:31",0.795530,17.871926,2.403280,23.847614,0.169946
"2026-08-26 12:00:32",0.812624,17.364179,2.493363,23.645014,0.166863
"2026-08-26 12:00:33",0.838173,17.505139,2.485489,23.954509,0.153943
"2026-08-26 12:00:34",0.909614,17.493658,2.449211,24.341005,0.173086
"2026-08-26 12:00:35",0.921278,16.716390,2.485264,24.350885,0.178330
"2026-08-26 12:00:36",0.923274,16.698635,2.576357,23.678368,0.171529
"2026-08-26 12:00:37",0.999392,16.813370,2.420328,24.185769,0.207191
"2026-08-26 12:00:38",1.005723,16.581233,2.476964,24.118430,0.220336
"2026-08-26 12:00:39",1.026180,16.029681,2.422236,24.132519,0.230734
"2026-08-26 12:00:40",1.071158,15.787290,2.562130,23.730439,0.189926
"2026-08-26 12:00:41",1.094095,15.996727,2.425865,24.002167,0.229065
"2026-08-26 12:00:42",1.119423,15.581397,2.423469,23.739803,0.222643
"2026-08-26 12:00:43",1.105250,15.417200,2.560711,24.468694,0.228105
"2026-08-26 12:00:44",1.190948,14.996421,2.488228,23.945843,0.255450
"2026-08-26 12:00:45",1.178489,15.009255,2.496759,24.208240,0.225089
"2026-08-26 12:00:46",1.230817,14.627436,2.497654,24.167727,0.233173
"2026-08-26 12:00:47",1.233916,14.753601,2.524985,24.483787,0.226403
"2026-08-26 12:00:48",1.298559,14.235825,2.442342,24.019942,0.275054
"2026-08-26 12:00:49",1.312085,14.280036,2.453136,23.913111,0.239365
"2026-08-26 12:00:50",1.367025,13.766305,2.481084,23.641724,0.252292
"2026-08-26 12:00:51",1.333021,13.908582,2.411877,24.024468,0.275074
"2026-08-26 12:00:52",1.370201,13.440498,2.564872,23.967078,0.258700
"2026-08-26 12:00:53",1.431523,13.605039,2.542701,23.813345,0.287381
"2026-08-26 12:00:54",1.472446,13.175818,2.439263,24.198925,0.304768
"2026-08-26 12:00:55",1.496951,13.022277,2.597406,23.682507,0.294166
"2026-08-26 12:00:56",1.472470,12.876933,2.477464,24.045919,0.298753
"2026-08-26 12:00:57",1.470860,12.409535,2.428816,23.990046,0.270720
"2026-08-26 12:00:58",1.565435,12.569732,2.472310,23.824662,0.286237
"2026-08-26 12:00:59",1.552836,12.400949,2.547503,24.084312,0.334252
