"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-08-17 14:00:00",-0.004899,23.827831,2.514702,24.083422,0.003556
"2026-08-17 14:00:01",0.048462,23.646269,2.468237,23.942080,0.003874
"2026-08-17 14:00:02",0.014436,23.768943,2.560718,24.104535,-0.015473
"2026-08-17 14:00:03",0.115620,23.369765,2.410641,23.975526,0.006080
"2026-08-17 14:00:04",0.131525,22.929823,2.515442,24.096769,0.051204
"2026-08-17 14:00:05",0.149952,23.093937,2.467118,23.857451,0.032663
"2026-08-17 14:00:06",0.138549,22.643377,2.506902,24.394604,0.005713
"2026-08-17 14:00:07",0.198270,22.796744,2.489760,24.457197,0.066780
"2026-08-17 14:00:08",0.275278,22.479882,2.511897,23.783137,0.067377
"2026-08-17 14:00:09",0.259283,22.477023,2.437465,23.911635,0.080611
"2026-08-17 14:00:10",0.274037,22.006918,2.572596,24.167220,0.072782
"2026-08-17 14:00:11",0.328817,21.720053,2.418028,24.379093,0.073261
"2026-08-17 14:00:12",0.307533,21.642091,2.428767,23.783553,0.042213
"2026-08-17 14:00:13",0.395805,21.458053,2.506035,24.406738,0.068303
"2026-08-17 14:00:14",0.363874,21.232875,2.534493,24.137138,0.085642
"2026-08-17 14:00:15",0.436765,20.891804,2.432231,23.601566,0.085556
"2026-08-17 14:00:16",0.437458,20.960752,2.576793,23.989776,0.110365
"2026-08-17 14:00:17",0.530527,20.561628,2.435352,23.861000,0.122659
"2026-08-17 14:00:18",0.505692,20.222691,2.471798,24.059391,0.110346
"2026-08-17 14:00:19",0.488727,19.986774,2.540449,24.259308,0.118027
"2026-08-17 14:00:20",0.614201,19.917370,2.429905,24.383289,0.130879
"2026-08-17 14:00:21",0.580239,20.072765,2.459112,23.950176,0.097155
"2026-08-17 14:00:22",0.671606,19.395274,2.546675,23.669587,0.107102
"2026-08-17 14:00:23",0.620378,19.458038,2.571353,24.312169,0.151130
"2026-08-17 14:00:24",0.658976,19.212954,2.493017,24.000115,0.146293
"2026-08-17 14:00:25",0.687199,19.004303,2.410133,24.213142,0.144767
"2026-08-17 14:00:26",0.755681,18.724486,2.571839,23.525384,0.154106
"2026-08-17 14:00:27",0.721543,18.643561,2.460789,23.699312,0.123924
"2026-08-17 14:00:28",0.757766,18.336411,2.599727,24.143316,0.134283
"2026-08-17 14:00:29",0.812927,18.191253,2.585465,24.138796,0.186015
"2026-08-17 14:00:30",0.830719,17.909286,2.472022,24.369586,0.180774
"2026-08-17 14:00:31",0.844771,18.064004,2.593508,23.755235,0.168979
"2026-08-17 14:00:32",0.874570,17.694396,2.571552,24.155031,0.151105
"2026-08-17 14:00:33",0.960169,17.408390,2.516226,24.176336,0.164127
"2026-08-17 14:00:34",0.999183,16.912921,2.446718,23.598415,0.207650
"2026-08-17 14:00:35",1.016110,17.149856,2.586550,23.531138,0.213634
"2026-08-17 14:00:36",1.067097,16.954826,2.411934,24.495402,0.223224
"2026-08-17 14:00:37",1.034942,16.611472,2.565063,24.023031,0.209088
"2026-08-17 14:00:38",1.057834,16.240684,2.454686,23.667094,0.201892
"2026-08-17 14:00:39",1.123436,16.354293,2.457893,23.760404,0.235705
"2026-08-17 14:00:40",1.169182,15.881745,2.436787,24.320921,0.236915
"2026-08-17 14:00:41",1.143747,15.817719,2.449418,23.854536,0.245285
"2026-08-17 14:00:42",1.190599,15.895456,2.559302,24.090578,0.264600
"2026-08-17 14:00:43",1.204584,15.180036,2.466616,24.061666,0.223172
"2026-08-17 14:00:44",1.295693,15.490283,2.470075,23.717851,0.263035
"2026-08-17 14:00:45",1.250667,14.902794,2.546051,23.579399,0.255285
"2026-08-17 14:00:46",1.261276,14.783754,2.477175,24.110173,0.277035
"2026-08-17 14:00:47",1.339669,14.637996,2.425196,24.012025,0.264101
"2026-08-17 14:00:48",1.368768,14.219403,2.527118,24.441270,0.278833
"2026-08-17 14:00:49",1.417668,13.952725,2.437088,23.793527,0.308259
"2026-08-17 14:00:50",1.423882,14.293205,2.479199,24.305219,0.276018
"2026-08-17 14:00:51",1.454336,13.636357,2.563045,24.393717,0.299613
"2026-08-17 14:00:52",1.487392,13.811153,2.577172,23.612580,0.317836
"2026-08-17 14:00:53",1.501677,13.272985,2.460554,24.050851,0.276883
"2026-08-17 14:00:54",1.505786,13.066297,2.406500,24.342753,0.294245
"2026-08-17 14:00:55",1.556533,12.996127,2.554971,24.317750,0.315347
"2026-08-17 14:00:56",1.584033,12.580843,2.412043,23.943500,0.312292
"2026-08-17 14:00:57",1.603807,12.565642,2.527859,24.335821,0.349575
"2026-08-17 14:00:58",1.594518,12.590439,2.502567,23.893706,0.322470
"2026-08-17 14:00:59",1.684377,11.945681,2.457027,24.380694,0.334418
