"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-09-20 16:00:00",-0.002467,24.011425,2.575438,24.444104,-0.027805
"2026-09-20 16:00:01",0.017200,23.510394,2.409404,23.882290,0.031030
"2026-09-20 16:00:02",0.006150,23.409924,2.477834,23.759472,-0.024576
"2026-09-20 16:00:03",0.071101,23.288743,2.472998,24.174944,0.005970
"2026-09-20 16:00:04",0.077581,23.220917,2.550060,24.321935,0.032474
"2026-09-20 16:00:05",0.077546,22.718162,2.510896,24.322802,-0.011111
"2026-09-20 16:00:06",0.167231,22.531899,2.401486,23.546643,0.036080
"2026-09-20 16:00:07",0.145321,22.866159,2.519457,23.684527,0.008465
"2026-09-20 16:00:08",0.201012,22.141947,2.471996,23.680842,0.019590
"2026-09-20 16:00:09",0.236229,21.972297,2.531545,24.155913,0.047662
"2026-09-20 16:00:10",0.258992,22.073499,2.586879,23.778083,0.049981
"2026-09-20 16:00:11",0.263025,21.686454,2.457121,24.332275,0.025204
"2026-09-20 16:00:12",0.335584,21.521083,2.419962,23.909099,0.048114
"2026-09-20 16:00:13",0.325323,21.497948,2.419830,24.114566,0.072110
"2026-09-20 16:00:14",0.361582,21.106749,2.586484,23.846814,0.074544
"2026-09-20 16:00:15",0.336775,20.769897,2.491939,24.383876,0.046480
"2026-09-20 16:00:16",0.386217,21.079751,2.483959,24.021334,0.077408
"2026-09-20 16:00:17",0.436692,20.633718,2.470610,23.633827,0.089118
"2026-09-20 16:00:18",0.434899,20.602385,2.524653,24.300618,0.073271
"2026-09-20 16:00:19",0.489938,20.136261,2.439017,23.500459,0.091372
"2026-09-20 16:00:20",0.535590,19.812687,2.561253,23.753584,0.099131
"2026-09-20 16:00:21",0.556959,19.501377,2.588800,24.357164,0.134850
"2026-09-20 16:00:22",0.519704,19.780791,2.502764,23.909544,0.113222
"2026-09-20 16:00:23",0.571779,19.375306,2.412693,24.209903,0.098597
"2026-09-20 16:00:24",0.552168,19.131960,2.440807,24.395993,0.126169
"2026-09-20 16:00:25",0.623249,19.239231,2.521228,23.726239,0.153009
"2026-09-20 16:00:26",0.658866,18.823277,2.401864,23.751142,0.151936
"2026-09-20 16:00:27",0.681411,18.698865,2.453303,24.139330,0.145526
"2026-09-20 16:00:28",0.657976,18.173660,2.509655,24.484405,0.102610
"2026-09-20 16:00:29",0.763367,18.389239,2.505934,23.951501,0.152871
"2026-09-20 16:00:30",0.735700,18.106467,2.563191,24.345772,0.148666
"2026-09-20 16:00:31",0.726130,17.875713,2.521780,24.004093,0.123146
"2026-09-20 16:00:32",0.822813,17.586538,2.463699,23.797288,0.188192
"2026-09-20 16:00:33",0.873685,17.289415,2.529194,23.725288,0.154213
"2026-09-20 16:00:34",0.828348,17.163004,2.545023,24.250647,0.188863
"2026-09-20 16:00:35",0.861212,16.818491,2.526623,23.585157,0.155106
"2026-09-20 16:00:36",0.917250,16.902649,2.502620,23.596807,0.175913
"2026-09-20 16:00:37",0.971661,16.381668,2.550579,24.397861,0.171085
"2026-09-20 16:00:38",0.920647,16.667881,2.579494,24.089385,0.160495
"2026-09-20 16:00:39",0.988992,16.092956,2.571519,24.317017,0.172238
"2026-09-20 16:00:40",1.002487,16.239179,2.543865,23.955167,0.228034
"2026-09-20 16:00:41",0.981510,15.842268,2.568394,23.549473,0.177363
"2026-09-20 16:00:42",1.003531,15.830102,2.574782,24.439082,0.225767
"2026-09-20 16:00:43",1.036926,15.144043,2.581427,24.418649,0.229448
"2026-09-20 16:00:44",1.062322,14.954653,2.434528,24.063711,0.194773
"2026-09-20 16:00:45",1.136203,14.983571,2.480306,23.543098,0.198606
"2026-09-20 16:00:46",1.119355,14.901155,2.459683,23.538546,0.202070
"2026-09-20 16:00:47",1.169361,14.438746,2.487647,23.599962,0.234876
"2026-09-20 16:00:48",1.158128,14.580684,2.429394,24.323978,0.259995
"2026-09-20 16:00:49",1.175627,14.147253,2.434488,23.885542,0.232089
"2026-09-20 16:00:50",1.256928,13.754701,2.475358,24.165173,0.263555
"2026-09-20 16:00:51",1.278910,13.620336,2.566753,23.638937,0.252819
"2026-09-20 16:00:52",1.323592,13.600229,2.522509,23.891478,0.240130
"2026-09-20 16:00:53",1.286816,13.605894,2.587136,23.784389,0.281368
"2026-09-20 16:00:54",1.344327,13.156218,2.488739,24.228994,0.260236
"2026-09-20 16:00:55",1.360135,13.050595,2.466660,24.250731,0.291261
"2026-09-20 16:00:56",1.372843,12.883050,2.435138,24.491711,0.280024
"2026-09-20 16:00:57",1.435568,12.454842,2.565792,24.493028,0.306252
"2026-09-20 16:00:58",1.408337,12.600284,2.588632,23.798740,0.268233
"2026-09-20 16:00:59",1.502562,12.152073,2.482843,23.713440,0.283567
