"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-08-09 13:00:00",-0.014958,24.155136,2.545354,24.100490,-0.002488
"2026-08-09 13:00:01",0.057910,23.706787,2.401725,24.419625,0.005118
"2026-08-09 13:00:02",0.053266,23.414193,2.599031,24.399894,-0.008587
"2026-08-09 13:00:03",0.115442,23.519780,2.441671,24.304487,-0.001701
"2026-08-09 13:00:04",0.087585,23.024132,2.565077,23.606073,0.041964
"2026-08-09 13:00:05",0.113561,22.775025,2.506217,24.417682,0.035715
"2026-08-09 13:00:06",0.124063,22.627483,2.599915,24.208916,0.019747
"2026-08-09 13:00:07",0.244947,22.359191,2.517272,24.201318,0.033097
"2026-08-09 13:00:08",0.253034,22.137780,2.584930,24.005931,0.060197
"2026-08-09 13:00:09",0.207914,22.268824,2.564026,24.148076,0.017370
"2026-08-09 13:00:10",0.293267,22.291513,2.499694,24.341158,0.036246
"2026-08-09 13:00:11",0.279221,21.955950,2.497595,24.394390,0.032500
"2026-08-09 13:00:12",0.320297,21.741960,2.540345,24.239417,0.049365
"2026-08-09 13:00:13",0.347643,21.141386,2.507549,24.101385,0.061872
"2026-08-09 13:00:14",0.431401,21.083028,2.405044,24.331169,0.071708
"2026-08-09 13:00:15",0.392249,20.914968,2.511338,23.744439,0.050649
"2026-08-09 13:00:16",0.420306,21.073955,2.530867,23.646516,0.066792
"2026-08-09 13:00:17",0.463726,20.846352,2.477265,24.458383,0.084150
"2026-08-09 13:00:18",0.479289,20.363542,2.538671,23.580196,0.113921
"2026-08-09 13:00:19",0.502784,20.208345,2.441741,24.189635,0.072476
"2026-08-09 13:00:20",0.589531,20.088639,2.561593,24.096990,0.088313
"2026-08-09 13:00:21",0.579214,20.037107,2.501160,23.758688,0.114770
"2026-08-09 13:00:22",0.650585,19.709544,2.519428,23.612254,0.147612
"2026-08-09 13:00:23",0.663014,19.384519,2.466725,24.316302,0.149606
"2026-08-09 13:00:24",0.685123,18.988437,2.496768,24.173408,0.149244
"2026-08-09 13:00:25",0.673575,19.194519,2.471625,24.247588,0.158130
"2026-08-09 13:00:26",0.750131,18.725325,2.450959,24.141853,0.162757
"2026-08-09 13:00:27",0.726874,18.319612,2.414715,24.021879,0.135639
"2026-08-09 13:00:28",0.780486,18.519690,2.506782,23.908881,0.185229
"2026-08-09 13:00:29",0.845294,18.360162,2.504628,24.142699,0.166816
"2026-08-09 13:00:30",0.881709,18.278340,2.416758,23.828469,0.184277
"2026-08-09 13:00:31",0.907374,17.653189,2.438375,24.360598,0.202282
"2026-08-09 13:00:32",0.897867,17.348797,2.430349,23.929703,0.171643
"2026-08-09 13:00:33",0.945270,17.437646,2.441618,24.033298,0.187384
"2026-08-09 13:00:34",0.994826,17.471415,2.481768,24.496438,0.215815
"2026-08-09 13:00:35",0.976835,16.937478,2.493381,23.513010,0.209587
"2026-08-09 13:00:36",1.065334,16.716585,2.597601,23.827634,0.191233
"2026-08-09 13:00:37",1.013592,16.846987,2.480869,24.096543,0.185929
"2026-08-09 13:00:38",1.102329,16.345813,2.544949,24.113129,0.221450
"2026-08-09 13:00:39",1.116228,16.273697,2.483672,23.534568,0.222454
"2026-08-09 13:00:40",1.101936,16.082660,2.556196,24.274818,0.234352
"2026-08-09 13:00:41",1.187989,16.004713,2.487827,23.557429,0.243796
"2026-08-09 13:00:42",1.169941,15.814820,2.576339,24.439206,0.261265
"2026-08-09 13:00:43",1.205673,15.650839,2.463039,23.791043,0.216189
"2026-08-09 13:00:44",1.248736,15.192934,2.592231,23.722085,0.248987
"2026-08-09 13:00:45",1.267023,14.897484,2.422235,23.863232,0.225675
"2026-08-09 13:00:46",1.274043,14.682833,2.525169,23.538619,0.232289
"2026-08-09 13:00:47",1.324014,14.632281,2.487442,23.573473,0.294700
"2026-08-09 13:00:48",1.401308,14.178985,2.496981,24.172027,0.270264
"2026-08-09 13:00:49",1.417176,14.202714,2.584252,23.505621,0.304547
"2026-08-09 13:00:50",1.448813,14.152455,2.420521,23.591251,0.312759
"2026-08-09 13:00:51",1.405792,14.054017,2.545553,24.335912,0.262851
"2026-08-09 13:00:52",1.427126,13.328391,2.516316,24.126430,0.272984
"2026-08-09 13:00:53",1.500484,13.645839,2.410574,24.208212,0.311806
"2026-08-09 13:00:54",1.498863,12.953705,2.419751,24.215771,0.280102
"2026-08-09 13:00:55",1.509786,13.230510,2.409666,24.035099,0.317585
"2026-08-09 13:00:56",1.560929,12.734707,2.482714,24.490248,0.311613
"2026-08-09 13:00:57",1.663295,12.490902,2.485816,24.334417,0.328815
"2026-08-09 13:00:58",1.682621,12.434708,2.594318,24.093023,0.330038
"2026-08-09 13:00:59",1.666229,12.110492,2.447283,24.488616,0.332949
