"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-07-16 17:00:00",0.016834,24.106904,2.431035,23.909052,-0.014273
"2026-07-16 17:00:01",0.021626,23.515628,2.443412,24.120351,0.030875
"2026-07-16 17:00:02",0.075807,23.477058,2.430513,23.945302,0.008749
"2026-07-16 17:00:03",0.059263,23.653006,2.428727,24.485557,-0.009999
"2026-07-16 17:00:04",0.147767,23.280073,2.482633,24.021387,0.050638
"2026-07-16 17:00:05",0.151304,23.040859,2.457815,24.025998,0.044248
"2026-07-16 17:00:06",0.139164,22.997164,2.588779,23.588344,0.047815
"2026-07-16 17:00:07",0.253853,22.755467,2.404658,24.115823,0.034572
"2026-07-16 17:00:08",0.289903,22.659694,2.443832,23.539144,0.053730
"2026-07-16 17:00:09",0.264601,22.225443,2.431900,23.761960,0.043989
"2026-07-16 17:00:10",0.291286,22.273469,2.568050,24.089182,0.045206
"2026-07-16 17:00:11",0.364609,22.092969,2.553787,24.001872,0.070408
"2026-07-16 17:00:12",0.403296,21.393498,2.559620,24.062769,0.069874
"2026-07-16 17:00:13",0.400359,21.228814,2.476621,24.037144,0.080453
"2026-07-16 17:00:14",0.463615,21.469715,2.538791,24.065837,0.100796
"2026-07-16 17:00:15",0.471165,21.157829,2.516645,23.910349,0.098819
"2026-07-16 17:00:16",0.515378,20.973230,2.402914,24.113035,0.075051
"2026-07-16 17:00:17",0.493299,20.511181,2.551703,24.460809,0.083143
"2026-07-16 17:00:18",0.574706,20.654328,2.527999,24.229736,0.099095
"2026-07-16 17:00:19",0.561631,20.271246,2.487165,24.198134,0.115770
"2026-07-16 17:00:20",0.556528,20.047241,2.408487,23.557484,0.099480
"2026-07-16 17:00:21",0.638429,19.931580,2.406492,24.355238,0.125925
"2026-07-16 17:00:22",0.615061,19.489518,2.595686,23.875601,0.126466
"2026-07-16 17:00:23",0.671212,19.390523,2.501019,23.555924,0.104561
"2026-07-16 17:00:24",0.682906,18.980541,2.532904,23.915201,0.148760
"2026-07-16 17:00:25",0.773010,19.264687,2.559198,23.976055,0.184349
"2026-07-16 17:00:26",0.749273,18.568666,2.406279,23.717853,0.120824
"2026-07-16 17:00:27",0.806774,18.492844,2.587698,24.065396,0.166331
"2026-07-16 17:00:28",0.818045,18.159023,2.413680,24.098063,0.186721
"2026-07-16 17:00:29",0.842004,18.363315,2.593874,24.175242,0.189225
"2026-07-16 17:00:30",0.885533,17.942208,2.444709,23.864159,0.158412
"2026-07-16 17:00:31",0.965630,17.561333,2.422284,23.948231,0.211032
"2026-07-16 17:00:32",1.009380,17.634850,2.562320,23.551926,0.183930
"2026-07-16 17:00:33",1.007133,17.194731,2.428330,23.755410,0.185112
"2026-07-16 17:00:34",1.061254,16.959428,2.525255,24.321360,0.238828
"2026-07-16 17:00:35",1.020236,17.009007,2.481156,24.101115,0.227845
"2026-07-16 17:00:36",1.112629,17.059217,2.448043,24.105447,0.234395
"2026-07-16 17:00:37",1.147781,16.521120,2.472205,24.109931,0.208658
"2026-07-16 17:00:38",1.093124,16.180379,2.575837,24.323031,0.207431
"2026-07-16 17:00:39",1.158169,16.493481,2.503136,24.466688,0.256970
"2026-07-16 17:00:40",1.169936,16.248368,2.472327,23.807819,0.259508
"2026-07-16 17:00:41",1.197826,15.781412,2.464689,24.129443,0.261506
"2026-07-16 17:00:42",1.276954,15.897881,2.493792,24.399499,0.262248
"2026-07-16 17:00:43",1.300335,15.340487,2.435336,23.654863,0.230658
"2026-07-16 17:00:44",1.283006,15.223125,2.460360,24.328262,0.231473
"2026-07-16 17:00:45",1.337880,14.840295,2.453229,23.920823,0.275264
"2026-07-16 17:00:46",1.337591,14.783922,2.581563,23.747740,0.290875
"2026-07-16 17:00:47",1.440030,14.837628,2.537524,24.128890,0.313070
"2026-07-16 17:00:48",1.426491,14.182902,2.409757,23.671606,0.309184
"2026-07-16 17:00:49",1.475021,14.171279,2.582767,23.533881,0.297365
"2026-07-16 17:00:50",1.466952,13.839148,2.506967,24.149364,0.275885
"2026-07-16 17:00:51",1.544172,13.806216,2.587630,24.360563,0.279207
"2026-07-16 17:00:52",1.600110,13.355016,2.422468,24.439655,0.316331
"2026-07-16 17:00:53",1.614002,13.304671,2.401405,23.821114,0.337216
"2026-07-16 17:00:54",1.580378,13.371483,2.460903,23.675063,0.324160
"2026-07-16 17:00:55",1.647666,12.928412,2.556172,24.492731,0.344293
"2026-07-16 17:00:56",1.641460,12.923610,2.426496,24.397601,0.300065
"2026-07-16 17:00:57",1.735374,12.812722,2.474583,24.111467,0.329117
"2026-07-16 17:00:58",1.714677,12.599253,2.492080,23.574765,0.318972
"2026-07-16 17:00:59",1.802391,11.991660,2.437089,24.201929,0.350770
