"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-07-30 11:00:00",0.039242,23.929019,2.404572,23.596416,0.025565
"2026-07-30 11:00:01",0.048016,23.617538,2.445710,24.474784,0.022232
"2026-07-30 11:00:02",0.100402,23.392322,2.543759,24.155048,0.043583
"2026-07-30 11:00:03",0.102130,23.286673,2.593508,24.090512,0.044881
"2026-07-30 11:00:04",0.088016,22.997355,2.580559,24.352894,0.017537
"2026-07-30 11:00:05",0.181535,23.101326,2.551191,23.865780,0.062111
"2026-07-30 11:00:06",0.121071,22.959265,2.408937,24.489026,0.048662
"2026-07-30 11:00:07",0.165139,22.798718,2.560023,24.215200,0.006700
"2026-07-30 11:00:08",0.240617,22.298319,2.416036,23.707777,0.048076
"2026-07-30 11:00:09",0.243434,22.047944,2.505214,23.949565,0.060094
"2026-07-30 11:00:10",0.239081,21.909800,2.534198,24.309196,0.023067
"2026-07-30 11:00:11",0.338657,21.823914,2.582901,24.055168,0.083988
"2026-07-30 11:00:12",0.325868,21.676810,2.575326,24.100906,0.049116
"2026-07-30 11:00:13",0.330911,21.270890,2.540209,23.535361,0.063255
"2026-07-30 11:00:14",0.348682,21.163096,2.429666,23.667723,0.051425
"2026-07-30 11:00:15",0.439567,21.249421,2.437711,24.380305,0.081125
"2026-07-30 11:00:16",0.427003,20.821009,2.427007,24.045618,0.082031
"2026-07-30 11:00:17",0.502136,20.509263,2.595061,23.605591,0.122424
"2026-07-30 11:00:18",0.461271,20.410154,2.478591,23.599801,0.086903
"2026-07-30 11:00:19",0.507916,20.262317,2.400172,23.604362,0.114396
"2026-07-30 11:00:20",0.511588,19.807171,2.569871,23.711904,0.098399
"2026-07-30 11:00:21",0.545450,19.905893,2.592526,24.482682,0.104474
"2026-07-30 11:00:22",0.581815,19.564255,2.512648,23.958678,0.111420
"2026-07-30 11:00:23",0.644454,19.463123,2.563273,23.802585,0.114970
"2026-07-30 11:00:24",0.629195,18.961252,2.566881,23.514274,0.112428
"2026-07-30 11:00:25",0.664565,18.925596,2.544707,24.301430,0.154077
"2026-07-30 11:00:26",0.708613,18.807612,2.581123,23.595331,0.170050
"2026-07-30 11:00:27",0.757846,18.539348,2.539551,24.376579,0.178973
"2026-07-30 11:00:28",0.745692,18.429096,2.507436,23.536342,0.151081
"2026-07-30 11:00:29",0.757302,18.463829,2.402356,24.336248,0.164801
"2026-07-30 11:00:30",0.793017,17.859970,2.556560,23.961769,0.188101
"2026-07-30 11:00:31",0.851026,17.886988,2.513739,23.926796,0.198135
"2026-07-30 11:00:32",0.824851,17.426151,2.453249,24.191171,0.165659
"2026-07-30 11:00:33",0.888322,17.293431,2.550838,23.510154,0.188249
"2026-07-30 11:00:34",0.954098,17.280335,2.449152,24.273395,0.196535
"2026-07-30 11:00:35",0.909405,17.024049,2.536108,24.285781,0.179611
"2026-07-30 11:00:36",0.937451,16.759187,2.470535,24.300966,0.213368
"2026-07-30 11:00:37",0.957398,16.676133,2.411904,23.645837,0.215278
"2026-07-30 11:00:38",1.051287,16.105277,2.538139,24.184746,0.196126
"2026-07-30 11:00:39",1.057961,16.142404,2.493513,23.934392,0.219193
"2026-07-30 11:00:40",1.098793,16.140093,2.533713,24.096433,0.245038
"2026-07-30 11:00:41",1.112306,15.934998,2.579314,23.733366,0.247834
"2026-07-30 11:00:42",1.166498,15.437469,2.503052,24.147617,0.256452
"2026-07-30 11:00:43",1.104962,15.243231,2.447222,23.991989,0.204075
"2026-07-30 11:00:44",1.164967,15.000069,2.442829,23.520182,0.248873
"2026-07-30 11:00:45",1.220512,15.268200,2.471607,23.841971,0.248826
"2026-07-30 11:00:46",1.215942,15.029665,2.555437,24.399591,0.225119
"2026-07-30 11:00:47",1.227527,14.492143,2.574575,23.884824,0.263351
"2026-07-30 11:00:48",1.277448,14.231452,2.559779,23.973582,0.251396
"2026-07-30 11:00:49",1.266161,13.950846,2.545573,23.906883,0.281513
"2026-07-30 11:00:50",1.352888,13.908049,2.593045,23.584944,0.266472
"2026-07-30 11:00:51",1.334307,13.769252,2.471255,24.416947,0.285409
"2026-07-30 11:00:52",1.400657,13.682185,2.576629,24.481996,0.250384
"2026-07-30 11:00:53",1.390927,13.199688,2.469628,23.547934,0.286050
"2026-07-30 11:00:54",1.468541,13.306587,2.487116,23.614594,0.316178
"2026-07-30 11:00:55",1.476169,12.700737,2.495775,24.383880,0.320559
"2026-07-30 11:00:56",1.482166,12.999313,2.510296,24.103974,0.285237
"2026-07-30 11:00:57",1.557791,12.595373,2.494217,24.275289,0.305028
"2026-07-30 11:00:58",1.549838,12.512653,2.459652,23.998308,0.302819
"2026-07-30 11:00:59",1.581705,11.939321,2.517138,23.608498,0.329975
