"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-07-30 10:00:00",0.024924,23.733709,2.465085,24.060644,0.013802
"2026-07-30 10:00:01",-0.011865,24.084933,2.583655,23.881577,-0.017870
"2026-07-30 10:00:02",0.017338,23.315758,2.546607,23.698440,-0.018289
"2026-07-30 10:00:03",0.078213,23.574444,2.420163,23.702854,0.044785
"2026-07-30 10:00:04",0.153243,23.332544,2.569019,24.196073,0.030505
"2026-07-30 10:00:05",0.166231,22.822546,2.434620,23.925293,0.055663
"2026-07-30 10:00:06",0.139027,22.640662,2.458471,23.756544,0.024775
"2026-07-30 10:00:07",0.204935,22.788008,2.462044,23.534235,0.012509
"2026-07-30 10:00:08",0.253765,22.686092,2.588457,23.536658,0.060589
"2026-07-30 10:00:09",0.230432,22.338513,2.525078,24.136053,0.051102
"2026-07-30 10:00:10",0.337240,22.017268,2.463430,24.329942,0.058389
"2026-07-30 10:00:11",0.360478,22.027966,2.551058,24.191213,0.055573
"2026-07-30 10:00:12",0.344905,21.414868,2.567969,24.253150,0.068025
"2026-07-30 10:00:13",0.390465,21.299182,2.401957,23.850996,0.055725
"2026-07-30 10:00:14",0.385497,20.937313,2.431090,24.177380,0.091679
"2026-07-30 10:00:15",0.420178,20.808316,2.490568,23.750461,0.078432
"2026-07-30 10:00:16",0.457029,20.890697,2.427099,23.664108,0.067934
"2026-07-30 10:00:17",0.482693,20.862166,2.491604,23.839997,0.122198
"2026-07-30 10:00:18",0.561176,20.545596,2.410196,23.724348,0.116713
"2026-07-30 10:00:19",0.582812,20.351571,2.596129,24.402258,0.093191
"2026-07-30 10:00:20",0.641087,19.753768,2.555063,23.578529,0.119823
"2026-07-30 10:00:21",0.659548,19.840121,2.564450,24.189929,0.128212
"2026-07-30 10:00:22",0.658493,19.352250,2.456420,23.579066,0.114224
"2026-07-30 10:00:23",0.647008,19.237050,2.543606,23.549041,0.125184
"2026-07-30 10:00:24",0.760337,19.214964,2.560939,23.736883,0.144285
"2026-07-30 10:00:25",0.753412,18.896853,2.518888,23.754730,0.134550
"2026-07-30 10:00:26",0.814011,18.875270,2.487359,23.834742,0.135414
"2026-07-30 10:00:27",0.815996,18.837738,2.555430,23.722959,0.171811
"2026-07-30 10:00:28",0.830702,18.359362,2.478343,24.294741,0.192894
"2026-07-30 10:00:29",0.827454,18.495590,2.492846,23.596718,0.163718
"2026-07-30 10:00:30",0.868268,18.112656,2.559052,24.251316,0.158345
"2026-07-30 10:00:31",0.935981,17.846673,2.487686,23.554070,0.179978
"2026-07-30 10:00:32",0.921894,17.857271,2.445586,24.462047,0.187413
"2026-07-30 10:00:33",0.940772,17.694469,2.548436,24.053868,0.183138
"2026-07-30 10:00:34",1.045778,16.957351,2.444365,23.829461,0.227322
"2026-07-30 10:00:35",1.033783,17.097595,2.456165,24.288202,0.190276
"2026-07-30 10:00:36",1.079044,16.630715,2.575199,23.945313,0.217361
"2026-07-30 10:00:37",1.062855,16.870603,2.412112,24.294579,0.233276
"2026-07-30 10:00:38",1.148310,16.127012,2.492277,24.142622,0.216484
"2026-07-30 10:00:39",1.127163,15.933104,2.573287,24.467005,0.207866
"2026-07-30 10:00:40",1.237679,16.113038,2.417369,23.769709,0.245200
"2026-07-30 10:00:41",1.277506,15.916614,2.562502,23.901833,0.228627
"2026-07-30 10:00:42",1.300001,15.639680,2.430779,24.378694,0.265462
"2026-07-30 10:00:43",1.294171,15.325386,2.437737,24.108107,0.234657
"2026-07-30 10:00:44",1.358333,15.389642,2.502859,24.313979,0.241993
"2026-07-30 10:00:45",1.396032,15.263056,2.513033,23.542651,0.253469
"2026-07-30 10:00:46",1.370157,14.659348,2.548218,24.439185,0.251225
"2026-07-30 10:00:47",1.395902,14.685155,2.437738,24.423952,0.284539
"2026-07-30 10:00:48",1.489424,14.668325,2.570745,24.198615,0.313139
"2026-07-30 10:00:49",1.478792,14.248344,2.416643,24.136920,0.276263
"2026-07-30 10:00:50",1.465271,14.106904,2.434706,23.743414,0.263659
"2026-07-30 10:00:51",1.516859,13.633534,2.465315,24.351985,0.295481
"2026-07-30 10:00:52",1.596460,13.502479,2.455381,23.651950,0.313177
"2026-07-30 10:00:53",1.564204,13.415704,2.468015,23.545142,0.305632
"2026-07-30 10:00:54",1.582250,13.225468,2.468808,23.646919,0.290094
"2026-07-30 10:00:55",1.672953,12.836098,2.512039,23.906737,0.313403
"2026-07-30 10:00:56",1.633187,12.892927,2.444809,24.181398,0.324964
"2026-07-30 10:00:57",1.661808,12.422637,2.599939,24.321285,0.313605
"2026-07-30 10:00:58",1.701921,12.138740,2.402297,24.012387,0.332105
"2026-07-30 10:00:59",1.777153,11.913147,2.525111,23.731631,0.357110
