"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-07-17 16:00:00",-0.012311,23.707099,2.594988,23.920870,-0.023938
"2026-07-17 16:00:01",0.002882,24.039429,2.461619,23.590222,-0.004381
"2026-07-17 16:00:02",0.098717,23.757980,2.472277,24.154939,-0.008440
"2026-07-17 16:00:03",0.033791,23.606891,2.436989,24.307705,0.024073
"2026-07-17 16:00:04",0.147430,23.457537,2.471734,23.895365,0.027435
"2026-07-17 16:00:05",0.133899,22.719541,2.574926,24.365703,0.031115
"2026-07-17 16:00:06",0.180386,23.098657,2.440596,23.595700,0.047921
"2026-07-17 16:00:07",0.160253,22.537959,2.565127,24.331417,0.020309
"2026-07-17 16:00:08",0.225404,22.329943,2.425740,23.675766,0.073567
"2026-07-17 16:00:09",0.250040,22.370064,2.568757,23.731323,0.057468
"2026-07-17 16:00:10",0.315433,21.832125,2.513164,24.183692,0.070221
"2026-07-17 16:00:11",0.273281,21.979278,2.404610,24.456908,0.055648
"2026-07-17 16:00:12",0.361131,21.436547,2.565255,23.564142,0.053647
"2026-07-17 16:00:13",0.365285,21.177113,2.400612,24.480871,0.063952
"2026-07-17 16:00:14",0.340723,21.031030,2.436777,23.508432,0.085436
"2026-07-17 16:00:15",0.363518,21.119926,2.441113,23.638640,0.073032
"2026-07-17 16:00:16",0.412897,20.758073,2.580117,24.472439,0.063954
"2026-07-17 16:00:17",0.456625,20.615156,2.586562,23.627031,0.061990
"2026-07-17 16:00:18",0.473920,20.493492,2.509463,23.808059,0.086452
"2026-07-17 16:00:19",0.506579,20.246999,2.478470,24.411554,0.109988
"2026-07-17 16:00:20",0.548079,19.944521,2.508323,23.511295,0.084054
"2026-07-17 16:00:21",0.533750,19.720481,2.406670,23.946735,0.131280
"2026-07-17 16:00:22",0.591702,19.805707,2.424386,23.948268,0.116776
"2026-07-17 16:00:23",0.578732,19.194535,2.570063,24.247737,0.136700
"2026-07-17 16:00:24",0.596191,18.910074,2.507725,23.942468,0.128651
"2026-07-17 16:00:25",0.676365,19.190653,2.554944,23.723081,0.116249
"2026-07-17 16:00:26",0.695389,19.059620,2.400686,24.379971,0.111499
"2026-07-17 16:00:27",0.739605,18.758533,2.504525,23.712097,0.146350
"2026-07-17 16:00:28",0.738393,18.196589,2.540645,24.452875,0.175452
"2026-07-17 16:00:29",0.768584,18.215323,2.569013,24.034953,0.174542
"2026-07-17 16:00:30",0.813225,17.896612,2.527593,23.541720,0.141394
"2026-07-17 16:00:31",0.838585,17.601672,2.454296,24.152116,0.151554
"2026-07-17 16:00:32",0.803739,17.561620,2.478811,24.174365,0.157146
"2026-07-17 16:00:33",0.896126,17.590321,2.408341,24.285731,0.154410
"2026-07-17 16:00:34",0.871083,17.439751,2.585515,23.652320,0.157367
"2026-07-17 16:00:35",0.884016,17.276066,2.426101,24.022957,0.169255
"2026-07-17 16:00:36",0.945789,16.634718,2.446209,23.810771,0.166467
"2026-07-17 16:00:37",0.996131,16.806126,2.505244,23.586951,0.199383
"2026-07-17 16:00:38",1.037530,16.318424,2.473177,23.953789,0.222961
"2026-07-17 16:00:39",1.082513,16.188944,2.527991,24.082820,0.241481
"2026-07-17 16:00:40",1.104486,16.252122,2.503646,24.415795,0.236730
"2026-07-17 16:00:41",1.132477,16.000161,2.590916,23.922147,0.199307
"2026-07-17 16:00:42",1.129209,15.692233,2.429450,24.185512,0.206258
"2026-07-17 16:00:43",1.126284,15.241358,2.560862,23.517980,0.215674
"2026-07-17 16:00:44",1.126295,15.447304,2.468808,23.554537,0.243533
"2026-07-17 16:00:45",1.171767,14.920128,2.528222,24.451080,0.242628
"2026-07-17 16:00:46",1.265123,14.562999,2.425195,23.736634,0.230471
"2026-07-17 16:00:47",1.210011,14.596711,2.574030,23.715191,0.242722
"2026-07-17 16:00:48",1.264474,14.654371,2.461955,23.934349,0.276540
"2026-07-17 16:00:49",1.322013,13.960152,2.424626,23.895555,0.267169
"2026-07-17 16:00:50",1.341942,13.929550,2.407337,24.108907,0.255133
"2026-07-17 16:00:51",1.350767,13.525852,2.443581,23.594199,0.284264
"2026-07-17 16:00:52",1.435092,13.648448,2.436721,23.807121,0.262204
"2026-07-17 16:00:53",1.461751,13.240768,2.541859,24.273615,0.265244
"2026-07-17 16:00:54",1.446518,13.415268,2.455634,23.824527,0.309614
"2026-07-17 16:00:55",1.515172,13.090990,2.566311,24.090542,0.300824
"2026-07-17 16:00:56",1.466133,12.604079,2.406528,23.760710,0.287680
"2026-07-17 16:00:57",1.487239,12.355005,2.582989,23.735922,0.305734
"2026-07-17 16:00:58",1.543135,12.575809,2.508420,23.564321,0.318344
"2026-07-17 16:00:59",1.583698,12.048269,2.573621,23.897840,0.316050
