"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-08-10 16:00:00",0.015374,23.823826,2.463659,24.057105,0.012556
"2026-08-10 16:00:01",-0.014210,23.688493,2.445067,24.436907,-0.029823
"2026-08-10 16:00:02",0.057713,23.742281,2.503889,24.087531,0.038459
"2026-08-10 16:00:03",0.131002,23.278496,2.498676,23.831867,0.054259
"2026-08-10 16:00:04",0.092419,23.234815,2.504911,24.089539,0.044423
"2026-08-10 16:00:05",0.136664,22.710115,2.409095,24.297518,0.052115
"2026-08-10 16:00:06",0.138621,22.844040,2.478328,23.783362,0.012997
"2026-08-10 16:00:07",0.213079,22.793303,2.436316,23.769497,0.046092
"2026-08-10 16:00:08",0.251543,22.186517,2.511090,23.545271,0.064692
"2026-08-10 16:00:09",0.275124,22.206297,2.434346,24.111551,0.084837
"2026-08-10 16:00:10",0.256937,21.944758,2.502054,23.592192,0.037254
"2026-08-10 16:00:11",0.344170,21.841628,2.482639,24.185823,0.083944
"2026-08-10 16:00:12",0.330671,21.815010,2.439872,24.123186,0.069566
"2026-08-10 16:00:13",0.400499,21.551170,2.475671,24.166324,0.072409
"2026-08-10 16:00:14",0.388280,21.093754,2.432093,23.771377,0.090317
"2026-08-10 16:00:15",0.395810,20.776547,2.435276,23.632611,0.082397
"2026-08-10 16:00:16",0.481705,20.875593,2.530002,23.687418,0.089992
"2026-08-10 16:00:17",0.442746,20.474822,2.502524,24.386885,0.077724
"2026-08-10 16:00:18",0.508557,20.330503,2.586832,23.914503,0.129310
"2026-08-10 16:00:19",0.579978,20.404412,2.528578,24.156180,0.093074
"2026-08-10 16:00:20",0.603508,19.860148,2.432832,23.864992,0.114931
"2026-08-10 16:00:21",0.584939,19.613621,2.446276,24.467786,0.142504
"2026-08-10 16:00:22",0.620938,19.734305,2.410451,23.955203,0.112098
"2026-08-10 16:00:23",0.616549,19.372371,2.532082,23.929595,0.106967
"2026-08-10 16:00:24",0.729590,18.995474,2.484992,24.186584,0.139496
"2026-08-10 16:00:25",0.733040,18.815522,2.498814,23.918853,0.163351
"2026-08-10 16:00:26",0.777658,18.983430,2.470491,23.917381,0.167447
"2026-08-10 16:00:27",0.805963,18.361010,2.498042,24.311473,0.183147
"2026-08-10 16:00:28",0.813275,18.416950,2.520097,24.045259,0.163908
"2026-08-10 16:00:29",0.826822,18.439261,2.415547,24.060069,0.179835
"2026-08-10 16:00:30",0.833255,18.200022,2.440771,23.789951,0.173333
"2026-08-10 16:00:31",0.924030,17.624434,2.577945,24.157773,0.166568
"2026-08-10 16:00:32",0.876412,17.826446,2.551570,23.655831,0.164633
"2026-08-10 16:00:33",0.927426,17.317300,2.415860,23.872674,0.156350
"2026-08-10 16:00:34",0.970835,17.307360,2.453116,23.661125,0.218585
"2026-08-10 16:00:35",0.945873,16.867625,2.518900,23.868030,0.171552
"2026-08-10 16:00:36",1.035754,17.063654,2.558387,23.995781,0.180112
"2026-08-10 16:00:37",1.024560,16.481258,2.579085,24.335741,0.195115
"2026-08-10 16:00:38",1.100006,16.499914,2.449313,24.467257,0.232544
"2026-08-10 16:00:39",1.099202,16.036432,2.401556,23.540213,0.193164
"2026-08-10 16:00:40",1.087900,16.001045,2.516178,24.018113,0.221476
"2026-08-10 16:00:41",1.206733,15.884293,2.559617,23.629134,0.228694
"2026-08-10 16:00:42",1.232959,15.497131,2.423009,23.633419,0.231970
"2026-08-10 16:00:43",1.208470,15.676930,2.539678,23.570186,0.263843
"2026-08-10 16:00:44",1.236562,15.164339,2.498172,23.886900,0.275401
"2026-08-10 16:00:45",1.233853,15.282966,2.596875,24.414692,0.218743
"2026-08-10 16:00:46",1.293620,14.643401,2.416993,24.483015,0.267157
"2026-08-10 16:00:47",1.293145,14.749801,2.430165,24.162233,0.269642
"2026-08-10 16:00:48",1.355150,14.352102,2.412310,24.387846,0.299971
"2026-08-10 16:00:49",1.365425,14.340803,2.599879,24.406303,0.263577
"2026-08-10 16:00:50",1.466633,13.960496,2.541530,24.189051,0.290563
"2026-08-10 16:00:51",1.434964,13.914515,2.549052,23.795235,0.269572
"2026-08-10 16:00:52",1.423946,13.468474,2.407769,23.990247,0.303272
"2026-08-10 16:00:53",1.489789,13.485109,2.487710,23.965496,0.274651
"2026-08-10 16:00:54",1.482516,12.992635,2.459001,24.388309,0.319333
"2026-08-10 16:00:55",1.541945,13.103608,2.510374,23.802747,0.286461
"2026-08-10 16:00:56",1.634841,12.975053,2.422702,23.533500,0.330703
"2026-08-10 16:00:57",1.616643,12.814459,2.464515,24.397977,0.302582
"2026-08-10 16:00:58",1.686350,12.148537,2.451255,23.958465,0.356408
"2026-08-10 16:00:59",1.652048,12.108936,2.486041,24.034260,0.349539
