"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-07-11 15:00:00",-0.013612,24.043038,2.485074,23.836022,-0.013901
"2026-07-11 15:00:01",0.010301,23.504983,2.567082,24.377430,0.012210
"2026-07-11 15:00:02",0.102095,23.680889,2.435216,24.130472,0.008610
"2026-07-11 15:00:03",0.097154,23.511608,2.491137,24.033212,0.017752
"2026-07-11 15:00:04",0.150038,23.069935,2.441379,24.111280,0.009370
"2026-07-11 15:00:05",0.206679,23.133419,2.433103,23.879629,0.021921
"2026-07-11 15:00:06",0.187396,22.992262,2.494087,24.344899,0.019340
"2026-07-11 15:00:07",0.218887,22.595319,2.482593,23.516738,0.068458
"2026-07-11 15:00:08",0.247621,22.224572,2.481667,23.850368,0.044898
"2026-07-11 15:00:09",0.271381,22.122767,2.520339,23.808708,0.031090
"2026-07-11 15:00:10",0.279480,21.935090,2.549310,23.546734,0.082525
"2026-07-11 15:00:11",0.394603,21.576268,2.421890,24.064788,0.099429
"2026-07-11 15:00:12",0.375665,21.602664,2.432502,24.273542,0.097954
"2026-07-11 15:00:13",0.429434,21.242770,2.468545,24.218474,0.077829
"2026-07-11 15:00:14",0.473010,20.956320,2.415350,24.454583,0.066109
"2026-07-11 15:00:15",0.451999,21.115924,2.566028,23.837576,0.102145
"2026-07-11 15:00:16",0.544403,20.665512,2.430505,24.090821,0.101435
"2026-07-11 15:00:17",0.520939,20.344142,2.490595,23.964058,0.131710
"2026-07-11 15:00:18",0.582395,20.367087,2.437435,24.286993,0.103837
"2026-07-11 15:00:19",0.555171,19.954074,2.598120,23.800480,0.122590
"2026-07-11 15:00:20",0.583890,19.815509,2.569894,23.889279,0.089413
"2026-07-11 15:00:21",0.712645,19.563385,2.451023,23.785169,0.121956
"2026-07-11 15:00:22",0.666070,19.827780,2.583861,23.826836,0.159310
"2026-07-11 15:00:23",0.750153,19.672903,2.476926,23.985003,0.170705
"2026-07-11 15:00:24",0.808356,19.481293,2.428722,23.628444,0.136716
"2026-07-11 15:00:25",0.824204,18.740720,2.542869,23.883599,0.172565
"2026-07-11 15:00:26",0.812120,18.961958,2.463778,23.646417,0.176652
"2026-07-11 15:00:27",0.823342,18.561592,2.508668,24.135770,0.170915
"2026-07-11 15:00:28",0.841167,18.164902,2.413137,23.878433,0.173349
"2026-07-11 15:00:29",0.935609,18.021945,2.483270,24.394866,0.159145
"2026-07-11 15:00:30",0.994014,17.968502,2.552237,24.462256,0.227856
"2026-07-11 15:00:31",0.941204,17.687850,2.591811,23.970014,0.168799
"2026-07-11 15:00:32",1.045073,17.578437,2.473889,24.047827,0.208307
"2026-07-11 15:00:33",1.007134,17.564167,2.414518,23.534803,0.200207
"2026-07-11 15:00:34",1.041361,16.959500,2.423323,23.966698,0.195100
"2026-07-11 15:00:35",1.065482,17.129423,2.400795,23.983308,0.204523
"2026-07-11 15:00:36",1.175835,16.854805,2.528079,24.475493,0.231570
"2026-07-11 15:00:37",1.136229,16.704727,2.539180,24.054907,0.242904
"2026-07-11 15:00:38",1.177295,16.537361,2.459218,23.947018,0.239500
"2026-07-11 15:00:39",1.201411,16.310588,2.581062,24.121580,0.251107
"2026-07-11 15:00:40",1.222928,16.067660,2.502691,24.301087,0.215664
"2026-07-11 15:00:41",1.333811,15.635704,2.552983,24.377841,0.269749
"2026-07-11 15:00:42",1.302817,15.331914,2.426309,24.369513,0.270603
"2026-07-11 15:00:43",1.372679,15.204714,2.496499,24.008604,0.289982
"2026-07-11 15:00:44",1.415834,15.374940,2.567814,23.545117,0.261380
"2026-07-11 15:00:45",1.405039,15.111558,2.527352,23.802982,0.252903
"2026-07-11 15:00:46",1.451293,14.797263,2.419471,23.665860,0.292804
"2026-07-11 15:00:47",1.447125,14.423138,2.520118,24.012538,0.311483
"2026-07-11 15:00:48",1.482753,14.317628,2.580527,23.937896,0.284658
"2026-07-11 15:00:49",1.543124,14.024059,2.574595,23.811743,0.278661
"2026-07-11 15:00:50",1.622405,13.779389,2.483623,24.248724,0.314142
"2026-07-11 15:00:51",1.617992,13.814869,2.545218,24.475856,0.340347
"2026-07-11 15:00:52",1.639809,13.709850,2.439586,24.121828,0.330657
"2026-07-11 15:00:53",1.717153,13.463150,2.495048,23.748661,0.338839
"2026-07-11 15:00:54",1.701699,13.194688,2.453089,23.681207,0.331769
"2026-07-11 15:00:55",1.749251,13.106337,2.517290,23.717530,0.333309
"2026-07-11 15:00:56",1.777039,12.739980,2.587830,23.773342,0.378458
"2026-07-11 15:00:57",1.777701,12.327633,2.492657,23.526923,0.358317
"2026-07-11 15:00:58",1.874388,12.277289,2.400062,23.982429,0.375704
"2026-07-11 15:00:59",1.897617,12.228568,2.488236,24.175802,0.386635
