"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-27 09:30:00",0.000000,27.000000,2.500000,24.000000,0.000000
"2026-06-27 09:30:01",0.176255,26.111392,2.542712,24.019983,0.026255
"2026-06-27 09:30:02",0.331799,25.259917,2.584553,24.039867,0.181799
"2026-06-27 09:30:03",0.469066,24.442198,2.624672,24.059552,0.319066
"2026-06-27 09:30:04",0.590204,23.655020,2.662250,24.078942,0.440204
"2026-06-27 09:30:05",0.697108,22.895381,2.696523,24.097943,0.547108
"2026-06-27 09:30:06",0.791450,22.160527,2.726793,24.116464,0.641450
"2026-06-27 09:30:07",0.874707,21.447987,2.752441,24.134422,0.724707
"2026-06-27 09:30:08",0.948181,20.755608,2.772947,24.151736,0.798181
"2026-06-27 09:30:09",1.013021,20.081567,2.787892,24.168333,0.863021
"2026-06-27 09:30:10",1.070243,19.424394,2.796971,24.184147,0.920243
"2026-06-27 09:30:11",1.120741,18.782972,2.800000,24.199121,0.970741
"2026-06-27 09:30:12",1.165305,18.156536,2.796917,24.213204,1.015305
"2026-06-27 09:30:13",1.204632,17.544665,2.787785,24.226356,1.054632
"2026-06-27 09:30:14",1.239339,16.947257,2.772789,24.238545,1.089339
"2026-06-27 09:30:15",1.269968,16.364506,2.752236,24.249749,1.119968
"2026-06-27 09:30:16",1.296997,15.796870,2.726544,24.259957,1.146997
"2026-06-27 09:30:17",1.320851,15.245025,2.696237,24.269166,1.170851
"2026-06-27 09:30:18",1.341901,14.709825,2.661931,24.277385,1.191901
"2026-06-27 09:30:19",1.360478,14.192254,2.624326,24.284630,1.210478
"2026-06-27 09:30:20",1.376873,13.693371,2.584189,24.290930,1.226873
"2026-06-27 09:30:21",1.391340,13.214258,2.542336,24.296321,1.241340
"2026-06-27 09:30:22",1.404108,12.755971,2.499621,24.300850,1.254108
"2026-06-27 09:30:23",1.415376,12.319487,2.456913,24.304571,1.265376
"2026-06-27 09:30:24",1.501411,11.905658,2.415083,24.307546,1.351411
"2026-06-27 09:30:25",1.500166,11.515165,2.374984,24.309847,1.350166
"2026-06-27 09:30:26",1.498918,11.148485,2.337431,24.311550,1.348918
"2026-06-27 09:30:27",1.497687,10.805856,2.303190,24.312738,1.347687
"2026-06-27 09:30:28",1.496492,10.487253,2.272959,24.313499,1.346492
"2026-06-27 09:30:29",1.495352,10.192378,2.247354,24.313925,1.345352
"2026-06-27 09:30:30",1.494284,9.920643,2.226896,24.314112,1.344284
"2026-06-27 09:30:31",1.493306,9.671178,2.212002,24.314158,1.343306
"2026-06-27 09:30:32",1.492432,9.442841,2.202976,24.314163,1.342432
"2026-06-27 09:30:33",1.491676,9.234230,2.200001,24.314225,1.341676
"2026-06-27 09:30:34",1.491050,9.043714,2.203138,24.314446,1.341050
"2026-06-27 09:30:35",1.490564,8.869461,2.212323,24.314922,1.340564
"2026-06-27 09:30:36",1.490225,8.709480,2.227369,24.315748,1.340225
"2026-06-27 09:30:37",1.490038,8.561662,2.247969,24.317016,1.340038
"2026-06-27 09:30:38",1.490007,8.423829,2.273705,24.318814,1.340007
"2026-06-27 09:30:39",1.490132,8.293781,2.304050,24.321223,1.340132
"2026-06-27 09:30:40",1.490411,8.169350,2.338388,24.324320,1.340411
"2026-06-27 09:30:41",1.490839,8.048445,2.376019,24.328172,1.340839
"2026-06-27 09:30:42",1.491411,7.929105,2.416175,24.332842,1.341411
"2026-06-27 09:30:43",1.492116,7.809543,2.458040,24.338383,1.342116
"2026-06-27 09:30:44",1.492945,7.688185,2.500759,24.344840,1.342945
"2026-06-27 09:30:45",1.493883,7.563706,2.543462,24.352247,1.343883
"2026-06-27 09:30:46",1.494917,7.435060,2.585281,24.360631,1.344917
"2026-06-27 09:30:47",1.496031,7.301500,2.625361,24.370008,1.346031
"2026-06-27 09:30:48",1.497206,7.162589,2.662888,24.380384,1.347206
"2026-06-27 09:30:49",1.498425,7.018209,2.697096,24.391755,1.348425
"2026-06-27 09:30:50",1.499668,6.868556,2.727289,24.404108,1.349668
"2026-06-27 09:30:51",1.500917,6.714126,2.752850,24.417419,1.350917
"2026-06-27 09:30:52",1.502151,6.555697,2.773261,24.431655,1.352151
"2026-06-27 09:30:53",1.503352,6.394301,2.788104,24.446773,1.353352
"2026-06-27 09:30:54",1.504500,6.231189,2.797078,24.462724,1.354500
"2026-06-27 09:30:55",1.505579,6.067791,2.799999,24.479446,1.355579
"2026-06-27 09:30:56",1.506570,5.905671,2.796807,24.496873,1.356570
"2026-06-27 09:30:57",1.507459,5.746479,2.787569,24.514931,1.357459
"2026-06-27 09:30:58",1.508231,5.591899,2.772473,24.533540,1.358231
"2026-06-27 09:30:59",1.508875,5.443599,2.751825,24.552612,1.358875
"2026-06-27 09:31:00",1.509380,5.303181,2.726046,24.572058,1.359380
"2026-06-27 09:31:01",1.509739,5.172128,2.695662,24.591784,1.359739
