"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-29 14:00:00",0.000000,29.000000,2.500000,24.000000,0.000000
"2026-06-29 14:00:01",0.176255,28.209337,2.542712,24.019983,0.026255
"2026-06-29 14:00:02",0.331799,27.451811,2.584553,24.039867,0.181799
"2026-06-29 14:00:03",0.469066,26.724205,2.624672,24.059552,0.319066
"2026-06-29 14:00:04",0.590204,26.023464,2.662250,24.078942,0.440204
"2026-06-29 14:00:05",0.697108,25.346734,2.696523,24.097943,0.547108
"2026-06-29 14:00:06",0.791450,24.691405,2.726793,24.116464,0.641450
"2026-06-29 14:00:07",0.874707,24.055145,2.752441,24.134422,0.724707
"2026-06-29 14:00:08",0.948181,23.435933,2.772947,24.151736,0.798181
"2026-06-29 14:00:09",1.013021,22.832073,2.787892,24.168333,0.863021
"2026-06-29 14:00:10",1.070243,22.242216,2.796971,24.184147,0.920243
"2026-06-29 14:00:11",1.120741,21.665364,2.800000,24.199121,0.970741
"2026-06-29 14:00:12",1.165305,21.100863,2.796917,24.213204,1.015305
"2026-06-29 14:00:13",1.204632,20.548398,2.787785,24.226356,1.054632
"2026-06-29 14:00:14",1.239339,20.007972,2.772789,24.238545,1.089339
"2026-06-29 14:00:15",1.269968,19.479879,2.752236,24.249749,1.119968
"2026-06-29 14:00:16",1.296997,18.964669,2.726544,24.259957,1.146997
"2026-06-29 14:00:17",1.320851,18.463110,2.696237,24.269166,1.170851
"2026-06-29 14:00:18",1.341901,17.976146,2.661931,24.277385,1.191901
"2026-06-29 14:00:19",1.360478,17.504841,2.624326,24.284630,1.210478
"2026-06-29 14:00:20",1.376873,17.050335,2.584189,24.290930,1.226873
"2026-06-29 14:00:21",1.391340,16.613789,2.542336,24.296321,1.241340
"2026-06-29 14:00:22",1.404108,16.196332,2.499621,24.300850,1.254108
"2026-06-29 14:00:23",1.415376,15.799012,2.456913,24.304571,1.265376
"2026-06-29 14:00:24",1.501411,15.422747,2.415083,24.307546,1.351411
"2026-06-29 14:00:25",1.500166,15.068287,2.374984,24.309847,1.350166
"2026-06-29 14:00:26",1.498918,14.736168,2.337431,24.311550,1.348918
"2026-06-29 14:00:27",1.497687,14.426690,2.303190,24.312738,1.347687
"2026-06-29 14:00:28",1.496492,14.139886,2.272959,24.313499,1.346492
"2026-06-29 14:00:29",1.495352,13.875510,2.247354,24.313925,1.345352
"2026-06-29 14:00:30",1.494284,13.633031,2.226896,24.314112,1.344284
"2026-06-29 14:00:31",1.493306,13.411629,2.212002,24.314158,1.343306
"2026-06-29 14:00:32",1.492432,13.210208,2.202976,24.314163,1.342432
"2026-06-29 14:00:33",1.491676,13.027415,2.200001,24.314225,1.341676
"2026-06-29 14:00:34",1.491050,12.861663,2.203138,24.314446,1.341050
"2026-06-29 14:00:35",1.490564,12.711164,2.212323,24.314922,1.340564
"2026-06-29 14:00:36",1.490225,12.573967,2.227369,24.315748,1.340225
"2026-06-29 14:00:37",1.490038,12.448004,2.247969,24.317016,1.340038
"2026-06-29 14:00:38",1.490007,12.331134,2.273705,24.318814,1.340007
"2026-06-29 14:00:39",1.490132,12.221193,2.304050,24.321223,1.340132
"2026-06-29 14:00:40",1.490411,12.116048,2.338388,24.324320,1.340411
"2026-06-29 14:00:41",1.490839,12.013643,2.376019,24.328172,1.340839
"2026-06-29 14:00:42",1.491411,11.912047,2.416175,24.332842,1.341411
"2026-06-29 14:00:43",1.492116,11.809506,2.458040,24.338383,1.342116
