"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-28 14:30:00",0.000000,30.000000,2.500000,24.000000,0.000000
"2026-06-28 14:30:01",0.176255,29.209337,2.542712,24.019983,0.026255
"2026-06-28 14:30:02",0.331799,28.451811,2.584553,24.039867,0.181799
"2026-06-28 14:30:03",0.469066,27.724205,2.624672,24.059552,0.319066
"2026-06-28 14:30:04",0.590204,27.023464,2.662250,24.078942,0.440204
"2026-06-28 14:30:05",0.697108,26.346734,2.696523,24.097943,0.547108
"2026-06-28 14:30:06",0.791450,25.691405,2.726793,24.116464,0.641450
"2026-06-28 14:30:07",0.874707,25.055145,2.752441,24.134422,0.724707
"2026-06-28 14:30:08",0.948181,24.435933,2.772947,24.151736,0.798181
"2026-06-28 14:30:09",1.013021,23.832073,2.787892,24.168333,0.863021
"2026-06-28 14:30:10",1.070243,23.242216,2.796971,24.184147,0.920243
"2026-06-28 14:30:11",1.120741,22.665364,2.800000,24.199121,0.970741
"2026-06-28 14:30:12",1.165305,22.100863,2.796917,24.213204,1.015305
"2026-06-28 14:30:13",1.204632,21.548398,2.787785,24.226356,1.054632
"2026-06-28 14:30:14",1.239339,21.007972,2.772789,24.238545,1.089339
"2026-06-28 14:30:15",1.269968,20.479879,2.752236,24.249749,1.119968
"2026-06-28 14:30:16",1.296997,19.964669,2.726544,24.259957,1.146997
"2026-06-28 14:30:17",1.320851,19.463110,2.696237,24.269166,1.170851
"2026-06-28 14:30:18",1.341901,18.976146,2.661931,24.277385,1.191901
"2026-06-28 14:30:19",1.360478,18.504841,2.624326,24.284630,1.210478
"2026-06-28 14:30:20",1.376873,18.050335,2.584189,24.290930,1.226873
"2026-06-28 14:30:21",1.391340,17.613789,2.542336,24.296321,1.241340
"2026-06-28 14:30:22",1.404108,17.196332,2.499621,24.300850,1.254108
"2026-06-28 14:30:23",1.415376,16.799012,2.456913,24.304571,1.265376
"2026-06-28 14:30:24",1.501411,16.422747,2.415083,24.307546,1.351411
"2026-06-28 14:30:25",1.500166,16.068287,2.374984,24.309847,1.350166
"2026-06-28 14:30:26",1.498918,15.736168,2.337431,24.311550,1.348918
"2026-06-28 14:30:27",1.497687,15.426690,2.303190,24.312738,1.347687
"2026-06-28 14:30:28",1.496492,15.139886,2.272959,24.313499,1.346492
"2026-06-28 14:30:29",1.495352,14.875510,2.247354,24.313925,1.345352
"2026-06-28 14:30:30",1.494284,14.633031,2.226896,24.314112,1.344284
"2026-06-28 14:30:31",1.493306,14.411629,2.212002,24.314158,1.343306
"2026-06-28 14:30:32",1.492432,14.210208,2.202976,24.314163,1.342432
"2026-06-28 14:30:33",1.491676,14.027415,2.200001,24.314225,1.341676
"2026-06-28 14:30:34",1.491050,13.861663,2.203138,24.314446,1.341050
"2026-06-28 14:30:35",1.490564,13.711164,2.212323,24.314922,1.340564
"2026-06-28 14:30:36",1.490225,13.573967,2.227369,24.315748,1.340225
"2026-06-28 14:30:37",1.490038,13.448004,2.247969,24.317016,1.340038
"2026-06-28 14:30:38",1.490007,13.331134,2.273705,24.318814,1.340007
"2026-06-28 14:30:39",1.490132,13.221193,2.304050,24.321223,1.340132
"2026-06-28 14:30:40",1.490411,13.116048,2.338388,24.324320,1.340411
"2026-06-28 14:30:41",1.490839,13.013643,2.376019,24.328172,1.340839
"2026-06-28 14:30:42",1.491411,12.912047,2.416175,24.332842,1.341411
"2026-06-28 14:30:43",1.492116,12.809506,2.458040,24.338383,1.342116
"2026-06-28 14:30:44",1.492945,12.704473,2.500759,24.344840,1.342945
"2026-06-28 14:30:45",1.493883,12.595654,2.543462,24.352247,1.343883
"2026-06-28 14:30:46",1.494917,12.482029,2.585281,24.360631,1.344917
"2026-06-28 14:30:47",1.496031,12.362876,2.625361,24.370008,1.346031
"2026-06-28 14:30:48",1.497206,12.237784,2.662888,24.380384,1.347206
"2026-06-28 14:30:49",1.498425,12.106660,2.697096,24.391755,1.348425
"2026-06-28 14:30:50",1.499668,11.969722,2.727289,24.404108,1.349668
"2026-06-28 14:30:51",1.500917,11.827487,2.752850,24.417419,1.350917
"2026-06-28 14:30:52",1.502151,11.680756,2.773261,24.431655,1.352151
"2026-06-28 14:30:53",1.503352,11.530581,2.788104,24.446773,1.353352
"2026-06-28 14:30:54",1.504500,11.378231,2.797078,24.462724,1.354500
"2026-06-28 14:30:55",1.505579,11.225156,2.799999,24.479446,1.355579
"2026-06-28 14:30:56",1.506570,11.072938,2.796807,24.496873,1.356570
"2026-06-28 14:30:57",1.507459,10.923244,2.787569,24.514931,1.357459
"2026-06-28 14:30:58",1.508231,10.777774,2.772473,24.533540,1.358231
"2026-06-28 14:30:59",1.508875,10.638213,2.751825,24.552612,1.358875
"2026-06-28 14:31:00",1.509380,10.506177,2.726046,24.572058,1.359380
"2026-06-28 14:31:01",1.509739,10.549830,2.695662,24.591784,1.359739
"2026-06-28 14:31:02",1.509946,10.603846,2.661292,24.611691,1.359946
"2026-06-28 14:31:03",1.509998,10.669357,2.623636,24.631681,1.359998
"2026-06-28 14:31:04",1.509894,10.747261,2.583460,24.651655,1.359894
"2026-06-28 14:31:05",1.509635,10.838190,2.541585,24.671512,1.359635
"2026-06-28 14:31:06",1.509226,10.942489,2.498862,24.691154,1.359226
"2026-06-28 14:31:07",1.508673,11.060204,2.456162,24.710485,1.358673
"2026-06-28 14:31:08",1.507985,11.191079,2.414356,24.729411,1.357985
"2026-06-28 14:31:09",1.507172,11.334558,2.374294,24.747844,1.357172
"2026-06-28 14:31:10",1.506247,11.489799,2.336794,24.765699,1.356247
"2026-06-28 14:31:11",1.505225,11.655694,2.302618,24.782897,1.355225
"2026-06-28 14:31:12",1.504121,11.830899,2.272464,24.799367,1.354121
"2026-06-28 14:31:13",1.502953,12.013868,2.246946,24.815044,1.352953
"2026-06-28 14:31:14",1.501739,12.202892,2.226583,24.829871,1.351739
"2026-06-28 14:31:15",1.500498,12.396147,2.211790,24.843800,1.350498
