"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-26 16:00:00",0.000000,23.000000,2.500000,24.000000,0.000000
"2026-06-26 16:00:01",0.141004,22.193013,2.542712,24.019983,0.000000
"2026-06-26 16:00:02",0.265439,21.419828,2.584553,24.039867,0.115439
"2026-06-26 16:00:03",0.375253,20.677204,2.624672,24.059552,0.225253
"2026-06-26 16:00:04",0.472163,19.962057,2.662250,24.078942,0.322163
"2026-06-26 16:00:05",0.557686,19.271509,2.696523,24.097943,0.407686
"2026-06-26 16:00:06",0.633160,18.602925,2.726793,24.116464,0.483160
"2026-06-26 16:00:07",0.699766,17.953952,2.752441,24.134422,0.549766
"2026-06-26 16:00:08",0.758545,17.322545,2.772947,24.151736,0.608545
"2026-06-26 16:00:09",0.810417,16.706989,2.787892,24.168333,0.660417
"2026-06-26 16:00:10",0.856194,16.105913,2.796971,24.184147,0.706194
"2026-06-26 16:00:11",0.896592,15.518298,2.800000,24.199121,0.746592
"2026-06-26 16:00:12",0.932244,14.943475,2.796917,24.213204,0.782244
"2026-06-26 16:00:13",0.963706,14.381109,2.787785,24.226356,0.813706
"2026-06-26 16:00:14",0.991471,13.831186,2.772789,24.238545,0.841471
"2026-06-26 16:00:15",1.015974,13.293983,2.752236,24.249749,0.865974
"2026-06-26 16:00:16",1.037598,12.770035,2.726544,24.259957,0.887598
"2026-06-26 16:00:17",1.056680,12.260096,2.696237,24.269166,0.906680
"2026-06-26 16:00:18",1.073521,11.765092,2.661931,24.277385,0.923521
"2026-06-26 16:00:19",1.088383,11.286076,2.624326,24.284630,0.938383
"2026-06-26 16:00:20",1.101498,10.824174,2.584189,24.290930,0.951498
"2026-06-26 16:00:21",1.113072,10.380534,2.542336,24.296321,0.963072
"2026-06-26 16:00:22",1.123287,9.956272,2.499621,24.300850,0.973287
"2026-06-26 16:00:23",1.132301,9.552424,2.456913,24.304571,0.982301
"2026-06-26 16:00:24",1.201411,9.169899,2.415083,24.307546,1.051411
"2026-06-26 16:00:25",1.200166,8.809433,2.374984,24.309847,1.050166
"2026-06-26 16:00:26",1.198918,8.471554,2.337431,24.311550,1.048918
