"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-21 10:00:00",0.000000,25.000000,2.500000,24.000000,0.000000
"2026-06-21 10:00:01",0.176255,24.160364,2.542712,24.019983,0.026255
"2026-06-21 10:00:02",0.331799,23.355864,2.584553,24.039867,0.181799
"2026-06-21 10:00:03",0.469066,22.583201,2.624672,24.059552,0.319066
"2026-06-21 10:00:04",0.590204,21.839242,2.662250,24.078942,0.440204
"2026-06-21 10:00:05",0.697108,21.121058,2.696523,24.097943,0.547108
"2026-06-21 10:00:06",0.791450,20.425966,2.726793,24.116464,0.641450
"2026-06-21 10:00:07",0.874707,19.751566,2.752441,24.134422,0.724707
"2026-06-21 10:00:08",0.948181,19.095770,2.772947,24.151736,0.798181
"2026-06-21 10:00:09",1.013021,18.456820,2.787892,24.168333,0.863021
"2026-06-21 10:00:10",1.070243,17.833305,2.796971,24.184147,0.920243
"2026-06-21 10:00:11",1.120741,17.224168,2.800000,24.199121,0.970741
"2026-06-21 10:00:12",1.165305,16.628700,2.796917,24.213204,1.015305
"2026-06-21 10:00:13",1.204632,16.046532,2.787785,24.226356,1.054632
"2026-06-21 10:00:14",1.239339,15.477615,2.772789,24.238545,1.089339
"2026-06-21 10:00:15",1.269968,14.922193,2.752236,24.249749,1.119968
"2026-06-21 10:00:16",1.296997,14.380769,2.726544,24.259957,1.146997
"2026-06-21 10:00:17",1.320851,13.854067,2.696237,24.269166,1.170851
"2026-06-21 10:00:18",1.341901,13.342985,2.661931,24.277385,1.191901
"2026-06-21 10:00:19",1.360478,12.848548,2.624326,24.284630,1.210478
"2026-06-21 10:00:20",1.376873,12.371853,2.584189,24.290930,1.226873
"2026-06-21 10:00:21",1.391340,11.914024,2.542336,24.296321,1.241340
"2026-06-21 10:00:22",1.404108,11.476152,2.499621,24.300850,1.254108
"2026-06-21 10:00:23",1.415376,11.059249,2.456913,24.304571,1.265376
"2026-06-21 10:00:24",1.501411,10.664203,2.415083,24.307546,1.351411
"2026-06-21 10:00:25",1.500166,10.291726,2.374984,24.309847,1.350166
"2026-06-21 10:00:26",1.498918,9.942327,2.337431,24.311550,1.348918
"2026-06-21 10:00:27",1.497687,9.616273,2.303190,24.312738,1.347687
"2026-06-21 10:00:28",1.496492,9.313570,2.272959,24.313499,1.346492
"2026-06-21 10:00:29",1.495352,9.033944,2.247354,24.313925,1.345352
"2026-06-21 10:00:30",1.494284,8.776837,2.226896,24.314112,1.344284
"2026-06-21 10:00:31",1.493306,8.541404,2.212002,24.314158,1.343306
"2026-06-21 10:00:32",1.492432,8.326525,2.202976,24.314163,1.342432
"2026-06-21 10:00:33",1.491676,8.130823,2.200001,24.314225,1.341676
"2026-06-21 10:00:34",1.491050,7.952689,2.203138,24.314446,1.341050
"2026-06-21 10:00:35",1.490564,7.790312,2.212323,24.314922,1.340564
"2026-06-21 10:00:36",1.490225,7.641723,2.227369,24.315748,1.340225
"2026-06-21 10:00:37",1.490038,7.504833,2.247969,24.317016,1.340038
"2026-06-21 10:00:38",1.490007,7.377481,2.273705,24.318814,1.340007
"2026-06-21 10:00:39",1.490132,7.257487,2.304050,24.321223,1.340132
"2026-06-21 10:00:40",1.490411,7.142699,2.338388,24.324320,1.340411
"2026-06-21 10:00:41",1.490839,7.031044,2.376019,24.328172,1.340839
"2026-06-21 10:00:42",1.491411,6.920576,2.416175,24.332842,1.341411
"2026-06-21 10:00:43",1.492116,6.809524,2.458040,24.338383,1.342116
"2026-06-21 10:00:44",1.492945,6.696329,2.500759,24.344840,1.342945
"2026-06-21 10:00:45",1.493883,6.579680,2.543462,24.352247,1.343883
"2026-06-21 10:00:46",1.494917,6.458545,2.585281,24.360631,1.344917
"2026-06-21 10:00:47",1.496031,6.332188,2.625361,24.370008,1.346031
"2026-06-21 10:00:48",1.497206,6.200187,2.662888,24.380384,1.347206
"2026-06-21 10:00:49",1.498425,6.062435,2.697096,24.391755,1.348425
"2026-06-21 10:00:50",1.499668,5.919139,2.727289,24.404108,1.349668
"2026-06-21 10:00:51",1.500917,5.770807,2.752850,24.417419,1.350917
"2026-06-21 10:00:52",1.502151,5.618227,2.773261,24.431655,1.352151
"2026-06-21 10:00:53",1.503352,5.462441,2.788104,24.446773,1.353352
"2026-06-21 10:00:54",1.504500,5.304710,2.797078,24.462724,1.354500
"2026-06-21 10:00:55",1.505579,5.146474,2.799999,24.479446,1.355579
"2026-06-21 10:00:56",1.506570,4.989305,2.796807,24.496873,1.356570
"2026-06-21 10:00:57",1.507459,4.834861,2.787569,24.514931,1.357459
"2026-06-21 10:00:58",1.508231,4.684836,2.772473,24.533540,1.358231
"2026-06-21 10:00:59",1.508875,4.540906,2.751825,24.552612,1.358875
"2026-06-21 10:01:00",1.509380,4.404679,2.726046,24.572058,1.359380
"2026-06-21 10:01:01",1.509739,4.277646,2.695662,24.591784,1.359739
"2026-06-21 10:01:02",1.509946,4.161138,2.661292,24.611691,1.359946
"2026-06-21 10:01:03",1.509998,4.056284,2.623636,24.631681,1.359998
"2026-06-21 10:01:04",1.509894,3.963974,2.583460,24.651655,1.359894
"2026-06-21 10:01:05",1.509635,3.884834,2.541585,24.671512,1.359635
"2026-06-21 10:01:06",1.509226,3.819202,2.498862,24.691154,1.359226
"2026-06-21 10:01:07",1.508673,3.767121,2.456162,24.710485,1.358673
"2026-06-21 10:01:08",1.507985,3.728326,2.414356,24.729411,1.357985
"2026-06-21 10:01:09",1.507172,3.702257,2.374294,24.747844,1.357172
"2026-06-21 10:01:10",1.506247,3.688068,2.336794,24.765699,1.356247
"2026-06-21 10:01:11",1.505225,3.684647,2.302618,24.782897,1.355225
"2026-06-21 10:01:12",1.504121,3.690644,2.272464,24.799367,1.354121
"2026-06-21 10:01:13",1.502953,3.704508,2.246946,24.815044,1.352953
"2026-06-21 10:01:14",1.501739,3.724527,2.226583,24.829871,1.351739
"2026-06-21 10:01:15",1.500498,3.748871,2.211790,24.843800,1.350498
"2026-06-21 10:01:16",1.499248,3.775645,2.202870,24.856792,1.349248
"2026-06-21 10:01:17",1.498011,3.802932,2.200003,24.868817,1.348011
"2026-06-21 10:01:18",1.496805,3.828854,2.203248,24.879854,1.346805
"2026-06-21 10:01:19",1.495648,3.851613,2.212539,24.889894,1.345648
"2026-06-21 10:01:20",1.494560,3.869543,2.227686,24.898936,1.344560
"2026-06-21 10:01:21",1.493556,3.881156,2.248382,24.906989,1.343556
"2026-06-21 10:01:22",1.492653,3.885177,2.274204,24.914073,1.342653
"2026-06-21 10:01:23",1.491865,3.880583,2.304626,24.920217,1.341865
"2026-06-21 10:01:24",1.491203,3.866625,2.339028,24.925460,1.341203
"2026-06-21 10:01:25",1.490679,3.842849,2.376710,24.929849,1.340679
"2026-06-21 10:01:26",1.490300,3.809110,2.416904,24.933440,1.340300
"2026-06-21 10:01:27",1.490073,3.765568,2.458791,24.936297,1.340073
"2026-06-21 10:01:28",1.490000,3.712690,2.501517,24.938492,1.340000
"2026-06-21 10:01:29",1.490084,3.651230,2.544213,24.940102,1.340084
"2026-06-21 10:01:30",1.490322,3.582209,2.586008,24.941212,1.340322
"2026-06-21 10:01:31",1.490711,3.506886,2.626050,24.941910,1.340711
"2026-06-21 10:01:32",1.491245,3.426721,2.663525,24.942289,1.341245
"2026-06-21 10:01:33",1.491916,3.343333,2.697667,24.942445,1.341916
"2026-06-21 10:01:34",1.492713,3.258457,2.727783,24.942478,1.342713
"2026-06-21 10:01:35",1.493624,3.173890,2.753258,24.942485,1.343624
"2026-06-21 10:01:36",1.494634,3.091446,2.773573,24.942567,1.344634
"2026-06-21 10:01:37",1.495728,3.012899,2.788315,24.942824,1.345728
"2026-06-21 10:01:38",1.496889,2.939938,2.797182,24.943352,1.346889
"2026-06-21 10:01:39",1.498098,2.874115,2.799995,24.944246,1.348098
"2026-06-21 10:01:40",1.499337,2.816807,2.796696,24.945598,1.349337
"2026-06-21 10:01:41",1.500586,2.769168,2.787352,24.947493,1.350586
"2026-06-21 10:01:42",1.501826,2.732107,2.772154,24.950013,1.351826
"2026-06-21 10:01:43",1.503038,2.706253,2.751411,24.953231,1.353038
"2026-06-21 10:01:44",1.504202,2.691942,2.725546,24.957217,1.354202
"2026-06-21 10:01:45",1.505300,2.689206,2.695086,24.962030,1.355300
"2026-06-21 10:01:46",1.506316,2.697771,2.660652,24.967722,1.356316
"2026-06-21 10:01:47",1.507233,2.717063,2.622944,24.974336,1.357233
"2026-06-21 10:01:48",1.508038,2.746225,2.582731,24.981906,1.358038
"2026-06-21 10:01:49",1.508717,2.784140,2.540833,24.990456,1.358717
"2026-06-21 10:01:50",1.509260,2.829462,2.498103,25.000001,1.359260
"2026-06-21 10:01:51",1.509658,2.880649,2.455412,25.010545,1.359658
"2026-06-21 10:01:52",1.509906,2.936011,2.413629,25.022082,1.359906
"2026-06-21 10:01:53",1.509999,2.993751,2.373606,25.034598,1.359999
"2026-06-21 10:01:54",1.509936,3.052019,2.336158,25.048067,1.359936
"2026-06-21 10:01:55",1.509719,3.108958,2.302047,25.062455,1.359719
"2026-06-21 10:01:56",1.509349,3.162761,2.271970,25.077717,1.359349
"2026-06-21 10:01:57",1.508834,3.211715,2.246539,25.093802,1.358834
"2026-06-21 10:01:58",1.508180,3.254250,2.226271,25.110647,1.358180
"2026-06-21 10:01:59",1.507399,3.288985,2.211581,25.128186,1.357399
