"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-23 14:00:00",0.000000,24.000000,2.500000,24.000000,0.000000
"2026-06-23 14:00:01",0.176255,23.188932,2.542712,24.019983,0.026255
"2026-06-23 14:00:02",0.331799,22.411833,2.584553,24.039867,0.181799
"2026-06-23 14:00:03",0.469066,21.665454,2.624672,24.059552,0.319066
"2026-06-23 14:00:04",0.590204,20.946705,2.662250,24.078942,0.440204
"2026-06-23 14:00:05",0.697108,20.252702,2.696523,24.097943,0.547108
"2026-06-23 14:00:06",0.791450,19.580805,2.726793,24.116464,0.641450
"2026-06-23 14:00:07",0.874707,18.928654,2.752441,24.134422,0.724707
"2026-06-23 14:00:08",0.948181,18.294198,2.772947,24.151736,0.798181
"2026-06-23 14:00:09",1.013021,17.675717,2.787892,24.168333,0.863021
"2026-06-23 14:00:10",1.070243,17.071837,2.796971,24.184147,0.920243
"2026-06-23 14:00:11",1.120741,16.481532,2.800000,24.199121,0.970741
"2026-06-23 14:00:12",1.165305,15.904128,2.796917,24.213204,1.015305
"2026-06-23 14:00:13",1.204632,15.339287,2.787785,24.226356,1.054632
"2026-06-23 14:00:14",1.239339,14.786990,2.772789,24.238545,1.089339
"2026-06-23 14:00:15",1.269968,14.247510,2.752236,24.249749,1.119968
"2026-06-23 14:00:16",1.296997,13.721377,2.726544,24.259957,1.146997
"2026-06-23 14:00:17",1.320851,13.209342,2.696237,24.269166,1.170851
"2026-06-23 14:00:18",1.341901,12.712329,2.661931,24.277385,1.191901
"2026-06-23 14:00:19",1.360478,12.231385,2.624326,24.284630,1.210478
"2026-06-23 14:00:20",1.376873,11.767634,2.584189,24.290930,1.226873
"2026-06-23 14:00:21",1.391340,11.322220,2.542336,24.296321,1.241340
"2026-06-23 14:00:22",1.404108,10.896257,2.499621,24.300850,1.254108
"2026-06-23 14:00:23",1.415376,10.490777,2.456913,24.304571,1.265376
"2026-06-23 14:00:24",1.501411,10.106687,2.415083,24.307546,1.351411
"2026-06-23 14:00:25",1.500166,9.744720,2.374984,24.309847,1.350166
"2026-06-23 14:00:26",1.498918,9.405401,2.337431,24.311550,1.348918
"2026-06-23 14:00:27",1.497687,9.089016,2.303190,24.312738,1.347687
"2026-06-23 14:00:28",1.496492,8.795587,2.272959,24.313499,1.346492
"2026-06-23 14:00:29",1.495352,8.524858,2.247354,24.313925,1.345352
"2026-06-23 14:00:30",1.494284,8.276283,2.226896,24.314112,1.344284
"2026-06-23 14:00:31",1.493306,8.049035,2.212002,24.314158,1.343306
"2026-06-23 14:00:32",1.492432,7.842007,2.202976,24.314163,1.342432
"2026-06-23 14:00:33",1.491676,7.653835,2.200001,24.314225,1.341676
"2026-06-23 14:00:34",1.491050,7.482924,2.203138,24.314446,1.341050
"2026-06-23 14:00:35",1.490564,7.327476,2.212323,24.314922,1.340564
"2026-06-23 14:00:36",1.490225,7.185532,2.227369,24.315748,1.340225
"2026-06-23 14:00:37",1.490038,7.055016,2.247969,24.317016,1.340038
"2026-06-23 14:00:38",1.490007,6.933778,2.273705,24.318814,1.340007
"2026-06-23 14:00:39",1.490132,6.819649,2.304050,24.321223,1.340132
"2026-06-23 14:00:40",1.490411,6.710486,2.338388,24.324320,1.340411
"2026-06-23 14:00:41",1.490839,6.604226,2.376019,24.328172,1.340839
"2026-06-23 14:00:42",1.491411,6.498934,2.416175,24.332842,1.341411
"2026-06-23 14:00:43",1.492116,6.392847,2.458040,24.338383,1.342116
"2026-06-23 14:00:44",1.492945,6.284413,2.500759,24.344840,1.342945
"2026-06-23 14:00:45",1.493883,6.172332,2.543462,24.352247,1.343883
"2026-06-23 14:00:46",1.494917,6.055577,2.585281,24.360631,1.344917
"2026-06-23 14:00:47",1.496031,5.933422,2.625361,24.370008,1.346031
"2026-06-23 14:00:48",1.497206,5.805452,2.662888,24.380384,1.347206
"2026-06-23 14:00:49",1.498425,5.671566,2.697096,24.391755,1.348425
"2026-06-23 14:00:50",1.499668,5.531979,2.727289,24.404108,1.349668
"2026-06-23 14:00:51",1.500917,5.387204,2.752850,24.417419,1.350917
"2026-06-23 14:00:52",1.502151,5.238036,2.773261,24.431655,1.352151
"2026-06-23 14:00:53",1.503352,5.085522,2.788104,24.446773,1.353352
"2026-06-23 14:00:54",1.504500,4.930931,2.797078,24.462724,1.354500
"2026-06-23 14:00:55",1.505579,4.775705,2.799999,24.479446,1.355579
"2026-06-23 14:00:56",1.506570,4.621424,2.796807,24.496873,1.356570
"2026-06-23 14:00:57",1.507459,4.469751,2.787569,24.514931,1.357459
"2026-06-23 14:00:58",1.508231,4.322383,2.772473,24.533540,1.358231
"2026-06-23 14:00:59",1.508875,4.181002,2.751825,24.552612,1.358875
"2026-06-23 14:01:00",1.509380,4.047219,2.726046,24.572058,1.359380
"2026-06-23 14:01:01",1.509739,3.922531,2.695662,24.591784,1.359739
"2026-06-23 14:01:02",1.509946,3.808273,2.661292,24.611691,1.359946
"2026-06-23 14:01:03",1.509998,3.705576,2.623636,24.631681,1.359998
"2026-06-23 14:01:04",1.509894,3.615336,2.583460,24.651655,1.359894
"2026-06-23 14:01:05",1.509635,3.538180,2.541585,24.671512,1.359635
"2026-06-23 14:01:06",1.509226,3.474453,2.498862,24.691154,1.359226
"2026-06-23 14:01:07",1.508673,3.424197,2.456162,24.710485,1.358673
"2026-06-23 14:01:08",1.507985,3.387154,2.414356,24.729411,1.357985
"2026-06-23 14:01:09",1.507172,3.362766,2.374294,24.747844,1.357172
"2026-06-23 14:01:10",1.506247,3.350189,2.336794,24.765699,1.356247
"2026-06-23 14:01:11",1.505225,3.348313,2.302618,24.782897,1.355225
"2026-06-23 14:01:12",1.504121,3.355793,2.272464,24.799367,1.354121
"2026-06-23 14:01:13",1.502953,3.371079,2.246946,24.815044,1.352953
"2026-06-23 14:01:14",1.501739,3.392462,2.226583,24.829871,1.351739
"2026-06-23 14:01:15",1.500498,3.418115,2.211790,24.843800,1.350498
