"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-30 10:00:00",0.000000,33.000000,2.500000,24.000000,0.000000
"2026-06-30 10:00:01",0.176255,32.168527,2.542712,24.019983,0.026255
"2026-06-30 10:00:02",0.331799,31.371855,2.584553,24.039867,0.181799
"2026-06-30 10:00:03",0.469066,30.606702,2.624672,24.059552,0.319066
"2026-06-30 10:00:04",0.590204,29.869946,2.662250,24.078942,0.440204
"2026-06-30 10:00:05",0.697108,29.158670,2.696523,24.097943,0.547108
"2026-06-30 10:00:06",0.791450,28.470206,2.726793,24.116464,0.641450
"2026-06-30 10:00:07",0.874707,27.802163,2.752441,24.134422,0.724707
"2026-06-30 10:00:08",0.948181,27.152464,2.772947,24.151736,0.798181
"2026-06-30 10:00:09",1.013021,26.519362,2.787892,24.168333,0.863021
"2026-06-30 10:00:10",1.070243,25.901457,2.796971,24.184147,0.920243
"2026-06-30 10:00:11",1.120741,25.297700,2.800000,24.199121,0.970741
"2026-06-30 10:00:12",1.165305,24.707393,2.796917,24.213204,1.015305
"2026-06-30 10:00:13",1.204632,24.130176,2.787785,24.226356,1.054632
"2026-06-30 10:00:14",1.239339,23.566008,2.772789,24.238545,1.089339
"2026-06-30 10:00:15",1.269968,23.015140,2.752236,24.249749,1.119968
"2026-06-30 10:00:16",1.296997,22.478086,2.726544,24.259957,1.146997
"2026-06-30 10:00:17",1.320851,21.955575,2.696237,24.269166,1.170851
"2026-06-30 10:00:18",1.341901,21.448512,2.661931,24.277385,1.191901
"2026-06-30 10:00:19",1.360478,20.957930,2.624326,24.284630,1.210478
"2026-06-30 10:00:20",1.376873,20.484933,2.584189,24.290930,1.226873
"2026-06-30 10:00:21",1.391340,20.030651,2.542336,24.296321,1.241340
"2026-06-30 10:00:22",1.404108,19.596182,2.499621,24.300850,1.254108
"2026-06-30 10:00:23",1.415376,19.182543,2.456913,24.304571,1.265376
"2026-06-30 10:00:24",1.501411,18.790627,2.415083,24.307546,1.351411
"2026-06-30 10:00:25",1.500166,18.421153,2.374984,24.309847,1.350166
"2026-06-30 10:00:26",1.498918,18.074634,2.337431,24.311550,1.348918
"2026-06-30 10:00:27",1.497687,17.751342,2.303190,24.312738,1.347687
"2026-06-30 10:00:28",1.496492,17.451289,2.272959,24.313499,1.346492
"2026-06-30 10:00:29",1.495352,17.174205,2.247354,24.313925,1.345352
"2026-06-30 10:00:30",1.494284,16.919536,2.226896,24.314112,1.344284
"2026-06-30 10:00:31",1.493306,16.686441,2.212002,24.314158,1.343306
"2026-06-30 10:00:32",1.492432,16.473805,2.202976,24.314163,1.342432
"2026-06-30 10:00:33",1.491676,16.280255,2.200001,24.314225,1.341676
"2026-06-30 10:00:34",1.491050,16.104184,2.203138,24.314446,1.341050
"2026-06-30 10:00:35",1.490564,15.943788,2.212323,24.314922,1.340564
"2026-06-30 10:00:36",1.490225,15.797097,2.227369,24.315748,1.340225
"2026-06-30 10:00:37",1.490038,15.662028,2.247969,24.317016,1.340038
"2026-06-30 10:00:38",1.490007,15.536423,2.273705,24.318814,1.340007
"2026-06-30 10:00:39",1.490132,15.418105,2.304050,24.321223,1.340132
"2026-06-30 10:00:40",1.490411,15.304924,2.338388,24.324320,1.340411
"2026-06-30 10:00:41",1.490839,15.194810,2.376019,24.328172,1.340839
"2026-06-30 10:00:42",1.491411,15.085821,2.416175,24.332842,1.341411
"2026-06-30 10:00:43",1.492116,14.976188,2.458040,24.338383,1.342116
"2026-06-30 10:00:44",1.492945,14.864353,2.500759,24.344840,1.342945
"2026-06-30 10:00:45",1.493883,14.749009,2.543462,24.352247,1.343883
"2026-06-30 10:00:46",1.494917,14.629125,2.585281,24.360631,1.344917
"2026-06-30 10:00:47",1.496031,14.503969,2.625361,24.370008,1.346031
"2026-06-30 10:00:48",1.497206,14.373120,2.662888,24.380384,1.347206
"2026-06-30 10:00:49",1.498425,14.236472,2.697096,24.391755,1.348425
"2026-06-30 10:00:50",1.499668,14.094236,2.727289,24.404108,1.349668
"2026-06-30 10:00:51",1.500917,13.946920,2.752850,24.417419,1.350917
"2026-06-30 10:00:52",1.502151,13.795315,2.773261,24.431655,1.352151
"2026-06-30 10:00:53",1.503352,13.640464,2.788104,24.446773,1.353352
"2026-06-30 10:00:54",1.504500,13.483630,2.797078,24.462724,1.354500
"2026-06-30 10:00:55",1.505579,13.326254,2.799999,24.479446,1.355579
"2026-06-30 10:00:56",1.506570,13.169910,2.796807,24.496873,1.356570
"2026-06-30 10:00:57",1.507459,13.016258,2.787569,24.514931,1.357459
"2026-06-30 10:00:58",1.508231,12.866993,2.772473,24.533540,1.358231
"2026-06-30 10:00:59",1.508875,12.723791,2.751825,24.552612,1.358875
