"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-22 15:00:00",0.000000,24.000000,2.500000,24.000000,0.000000
"2026-06-22 15:00:01",0.211506,23.201175,2.542712,24.019983,0.061506
"2026-06-22 15:00:02",0.398159,22.435819,2.584553,24.039867,0.248159
"2026-06-22 15:00:03",0.562879,21.700705,2.624672,24.059552,0.412879
"2026-06-22 15:00:04",0.708245,20.992760,2.662250,24.078942,0.558245
"2026-06-22 15:00:05",0.836529,20.309121,2.696523,24.097943,0.686529
"2026-06-22 15:00:06",0.949740,19.647165,2.726793,24.116464,0.799740
"2026-06-22 15:00:07",1.049648,19.004549,2.752441,24.134422,0.899648
"2026-06-22 15:00:08",1.137817,18.379239,2.772947,24.151736,0.987817
"2026-06-22 15:00:09",1.215626,17.769531,2.787892,24.168333,1.065626
"2026-06-22 15:00:10",1.284291,17.174065,2.796971,24.184147,1.134291
"2026-06-22 15:00:11",1.344889,16.591831,2.800000,24.199121,1.194889
"2026-06-22 15:00:12",1.398366,16.022169,2.796917,24.213204,1.248366
"2026-06-22 15:00:13",1.445559,15.464754,2.787785,24.226356,1.295559
"2026-06-22 15:00:14",1.487207,14.919579,2.772789,24.238545,1.337207
"2026-06-22 15:00:15",1.523961,14.386931,2.752236,24.249749,1.373961
"2026-06-22 15:00:16",1.556396,13.867352,2.726544,24.259957,1.406396
"2026-06-22 15:00:17",1.585021,13.361603,2.696237,24.269166,1.435021
"2026-06-22 15:00:18",1.610281,12.870619,2.661931,24.277385,1.460281
"2026-06-22 15:00:19",1.632574,12.395459,2.624326,24.284630,1.482574
"2026-06-22 15:00:20",1.652247,11.937255,2.584189,24.290930,1.502247
"2026-06-22 15:00:21",1.669608,11.497162,2.542336,24.296321,1.519608
"2026-06-22 15:00:22",1.684930,11.076302,2.499621,24.300850,1.534930
"2026-06-22 15:00:23",1.698451,10.675718,2.456913,24.304571,1.548451
"2026-06-22 15:00:24",1.801411,10.296323,2.415083,24.307546,1.651411
"2026-06-22 15:00:25",1.800166,9.938860,2.374984,24.309847,1.650166
"2026-06-22 15:00:26",1.798918,9.603861,2.337431,24.311550,1.648918
"2026-06-22 15:00:27",1.797687,9.291620,2.303190,24.312738,1.647687
"2026-06-22 15:00:28",1.796492,9.002166,2.272959,24.313499,1.646492
"2026-06-22 15:00:29",1.795352,8.735249,2.247354,24.313925,1.645352
"2026-06-22 15:00:30",1.794284,8.490332,2.226896,24.314112,1.644284
"2026-06-22 15:00:31",1.793306,8.266591,2.212002,24.314158,1.643306
"2026-06-22 15:00:32",1.792432,8.062928,2.202976,24.314163,1.642432
"2026-06-22 15:00:33",1.791676,7.877983,2.200001,24.314225,1.641676
"2026-06-22 15:00:34",1.791050,7.710167,2.203138,24.314446,1.641050
"2026-06-22 15:00:35",1.790564,7.557689,2.212323,24.314922,1.640564
"2026-06-22 15:00:36",1.790225,7.418593,2.227369,24.315748,1.640225
"2026-06-22 15:00:37",1.790038,7.290809,2.247969,24.317016,1.640038
"2026-06-22 15:00:38",1.790007,7.172192,2.273705,24.318814,1.640007
"2026-06-22 15:00:39",1.790132,7.060576,2.304050,24.321223,1.640132
"2026-06-22 15:00:40",1.790411,6.953823,2.338388,24.324320,1.640411
"2026-06-22 15:00:41",1.790839,6.849876,2.376019,24.328172,1.640839
"2026-06-22 15:00:42",1.791411,6.746802,2.416175,24.332842,1.641411
"2026-06-22 15:00:43",1.792116,6.642842,2.458040,24.338383,1.642116
"2026-06-22 15:00:44",1.792945,6.536449,2.500759,24.344840,1.642945
"2026-06-22 15:00:45",1.793883,6.426325,2.543462,24.352247,1.643883
"2026-06-22 15:00:46",1.794917,6.311448,2.585281,24.360631,1.644917
"2026-06-22 15:00:47",1.796031,6.191094,2.625361,24.370008,1.646031
"2026-06-22 15:00:48",1.797206,6.064851,2.662888,24.380384,1.647206
"2026-06-22 15:00:49",1.798425,5.932623,2.697096,24.391755,1.648425
"2026-06-22 15:00:50",1.799668,5.794624,2.727289,24.404108,1.649668
"2026-06-22 15:00:51",1.800917,5.651374,2.752850,24.417419,1.650917
"2026-06-22 15:00:52",1.802151,5.503668,2.773261,24.431655,1.652151
"2026-06-22 15:00:53",1.803352,5.352557,2.788104,24.446773,1.653352
"2026-06-22 15:00:54",1.804500,5.199311,2.797078,24.462724,1.654500
"2026-06-22 15:00:55",1.805579,5.045376,2.799999,24.479446,1.655579
"2026-06-22 15:00:56",1.806570,4.892333,2.796807,24.496873,1.656570
"2026-06-22 15:00:57",1.807459,4.741847,2.787569,24.514931,1.657459
"2026-06-22 15:00:58",1.808231,4.595618,2.772473,24.533540,1.658231
"2026-06-22 15:00:59",1.808875,4.455329,2.751825,24.552612,1.658875
"2026-06-22 15:01:00",1.809380,4.322594,2.726046,24.572058,1.659380
"2026-06-22 15:01:01",1.809739,4.198911,2.695662,24.591784,1.659739
"2026-06-22 15:01:02",1.809946,4.085617,2.661292,24.611691,1.659946
"2026-06-22 15:01:03",1.809998,3.983845,2.623636,24.631681,1.659998
"2026-06-22 15:01:04",1.809894,3.894491,2.583460,24.651655,1.659894
"2026-06-22 15:01:05",1.809635,3.818186,2.541585,24.671512,1.659635
"2026-06-22 15:01:06",1.809226,3.755275,2.498862,24.691154,1.659226
"2026-06-22 15:01:07",1.808673,3.705802,2.456162,24.710485,1.658673
"2026-06-22 15:01:08",1.807985,3.669509,2.414356,24.729411,1.657985
"2026-06-22 15:01:09",1.807172,3.645841,2.374294,24.747844,1.657172
"2026-06-22 15:01:10",1.806247,3.633955,2.336794,24.765699,1.656247
"2026-06-22 15:01:11",1.805225,3.632742,2.302618,24.782897,1.655225
"2026-06-22 15:01:12",1.804121,3.640857,2.272464,24.799367,1.654121
"2026-06-22 15:01:13",1.802953,3.656753,2.246946,24.815044,1.652953
"2026-06-22 15:01:14",1.801739,3.678720,2.226583,24.829871,1.651739
"2026-06-22 15:01:15",1.800498,3.704934,2.211790,24.843800,1.650498
"2026-06-22 15:01:16",1.799248,3.733501,2.202870,24.856792,1.649248
"2026-06-22 15:01:17",1.798011,3.762509,2.200003,24.868817,1.648011
"2026-06-22 15:01:18",1.796805,3.790080,2.203248,24.879854,1.646805
"2026-06-22 15:01:19",1.795648,3.814421,2.212539,24.889894,1.645648
"2026-06-22 15:01:20",1.794560,3.833869,2.227686,24.898936,1.644560
"2026-06-22 15:01:21",1.793556,3.846938,2.248382,24.906989,1.643556
"2026-06-22 15:01:22",1.792653,3.852356,2.274204,24.914073,1.642653
"2026-06-22 15:01:23",1.791865,3.849101,2.304626,24.920217,1.641865
"2026-06-22 15:01:24",1.791203,3.836427,2.339028,24.925460,1.641203
"2026-06-22 15:01:25",1.790679,3.813884,2.376710,24.929849,1.640679
"2026-06-22 15:01:26",1.790300,3.781327,2.416904,24.933440,1.640300
"2026-06-22 15:01:27",1.790073,3.738919,2.458791,24.936297,1.640073
"2026-06-22 15:01:28",1.790000,3.687128,2.501517,24.938492,1.640000
"2026-06-22 15:01:29",1.790084,3.626712,2.544213,24.940102,1.640084
"2026-06-22 15:01:30",1.790322,3.558691,2.586008,24.941212,1.640322
"2026-06-22 15:01:31",1.790711,3.484328,2.626050,24.941910,1.640711
"2026-06-22 15:01:32",1.791245,3.405084,2.663525,24.942289,1.641245
"2026-06-22 15:01:33",1.791916,3.322579,2.697667,24.942445,1.641916
"2026-06-22 15:01:34",1.792713,3.238550,2.727783,24.942478,1.642713
"2026-06-22 15:01:35",1.793624,3.154795,2.753258,24.942485,1.643624
"2026-06-22 15:01:36",1.794634,3.073130,2.773573,24.942567,1.644634
"2026-06-22 15:01:37",1.795728,2.995331,2.788315,24.942824,1.645728
"2026-06-22 15:01:38",1.796889,2.923087,2.797182,24.943352,1.646889
"2026-06-22 15:01:39",1.798098,2.857952,2.799995,24.944246,1.648098
"2026-06-22 15:01:40",1.799337,2.801303,2.796696,24.945598,1.649337
"2026-06-22 15:01:41",1.800586,2.754297,2.787352,24.947493,1.650586
"2026-06-22 15:01:42",1.801826,2.717843,2.772154,24.950013,1.651826
"2026-06-22 15:01:43",1.803038,2.692571,2.751411,24.953231,1.653038
"2026-06-22 15:01:44",1.804202,2.678819,2.725546,24.957217,1.654202
"2026-06-22 15:01:45",1.805300,2.676618,2.695086,24.962030,1.655300
"2026-06-22 15:01:46",1.806316,2.685696,2.660652,24.967722,1.656316
"2026-06-22 15:01:47",1.807233,2.705481,2.622944,24.974336,1.657233
"2026-06-22 15:01:48",1.808038,2.735116,2.582731,24.981906,1.658038
"2026-06-22 15:01:49",1.808717,2.773485,2.540833,24.990456,1.658717
"2026-06-22 15:01:50",1.809260,2.819241,2.498103,25.000001,1.659260
"2026-06-22 15:01:51",1.809658,2.870845,2.455412,25.010545,1.659658
"2026-06-22 15:01:52",1.809906,2.926607,2.413629,25.022082,1.659906
"2026-06-22 15:01:53",1.809999,2.984731,2.373606,25.034598,1.659999
"2026-06-22 15:01:54",1.809936,3.043367,2.336158,25.048067,1.659936
"2026-06-22 15:01:55",1.809719,3.100660,2.302047,25.062455,1.659719
"2026-06-22 15:01:56",1.809349,3.154801,2.271970,25.077717,1.659349
"2026-06-22 15:01:57",1.808834,3.204080,2.246539,25.093802,1.658834
"2026-06-22 15:01:58",1.808180,3.246927,2.226271,25.110647,1.658180
"2026-06-22 15:01:59",1.807399,3.281960,2.211581,25.128186,1.657399
