"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-24 16:00:00",0.000000,23.000000,2.500000,24.000000,0.000000
"2026-06-24 16:00:01",0.211506,22.205256,2.542712,24.019983,0.061506
"2026-06-24 16:00:02",0.398159,21.443815,2.584553,24.039867,0.248159
"2026-06-24 16:00:03",0.562879,20.712455,2.624672,24.059552,0.412879
"2026-06-24 16:00:04",0.708245,20.008112,2.662250,24.078942,0.558245
"2026-06-24 16:00:05",0.836529,19.327928,2.696523,24.097943,0.686529
"2026-06-24 16:00:06",0.949740,18.669285,2.726793,24.116464,0.799740
"2026-06-24 16:00:07",1.049648,18.029847,2.752441,24.134422,0.899648
"2026-06-24 16:00:08",1.137817,17.407586,2.772947,24.151736,0.987817
"2026-06-24 16:00:09",1.215626,16.800802,2.787892,24.168333,1.065626
"2026-06-24 16:00:10",1.284291,16.208140,2.796971,24.184147,1.134291
"2026-06-24 16:00:11",1.344889,15.628597,2.800000,24.199121,1.194889
"2026-06-24 16:00:12",1.398366,15.061516,2.796917,24.213204,1.248366
"2026-06-24 16:00:13",1.445559,14.506576,2.787785,24.226356,1.295559
"2026-06-24 16:00:14",1.487207,13.963776,2.772789,24.238545,1.337207
"2026-06-24 16:00:15",1.523961,13.433405,2.752236,24.249749,1.373961
"2026-06-24 16:00:16",1.556396,12.916010,2.726544,24.259957,1.406396
"2026-06-24 16:00:17",1.585021,12.412357,2.696237,24.269166,1.435021
"2026-06-24 16:00:18",1.610281,11.923382,2.661931,24.277385,1.460281
"2026-06-24 16:00:19",1.632574,11.450150,2.624326,24.284630,1.482574
"2026-06-24 16:00:20",1.652247,10.993795,2.584189,24.290930,1.502247
"2026-06-24 16:00:21",1.669608,10.555475,2.542336,24.296321,1.519608
"2026-06-24 16:00:22",1.684930,10.136317,2.499621,24.300850,1.534930
"2026-06-24 16:00:23",1.698451,9.737365,2.456913,24.304571,1.548451
"2026-06-24 16:00:24",1.801411,9.359535,2.415083,24.307546,1.651411
"2026-06-24 16:00:25",1.800166,9.003573,2.374984,24.309847,1.650166
"2026-06-24 16:00:26",1.798918,8.670015,2.337431,24.311550,1.648918
"2026-06-24 16:00:27",1.797687,8.359155,2.303190,24.312738,1.647687
"2026-06-24 16:00:28",1.796492,8.071026,2.272959,24.313499,1.646492
"2026-06-24 16:00:29",1.795352,7.805380,2.247354,24.313925,1.645352
"2026-06-24 16:00:30",1.794284,7.561682,2.226896,24.314112,1.644284
"2026-06-24 16:00:31",1.793306,7.339110,2.212002,24.314158,1.643306
"2026-06-24 16:00:32",1.792432,7.136568,2.202976,24.314163,1.642432
"2026-06-24 16:00:33",1.791676,6.952699,2.200001,24.314225,1.641676
"2026-06-24 16:00:34",1.791050,6.785915,2.203138,24.314446,1.641050
"2026-06-24 16:00:35",1.790564,6.634426,2.212323,24.314922,1.640564
"2026-06-24 16:00:36",1.790225,6.496280,2.227369,24.315748,1.640225
"2026-06-24 16:00:37",1.790038,6.369406,2.247969,24.317016,1.640038
"2026-06-24 16:00:38",1.790007,6.251663,2.273705,24.318814,1.640007
"2026-06-24 16:00:39",1.790132,6.140884,2.304050,24.321223,1.640132
"2026-06-24 16:00:40",1.790411,6.034936,2.338388,24.324320,1.640411
"2026-06-24 16:00:41",1.790839,5.931759,2.376019,24.328172,1.640839
"2026-06-24 16:00:42",1.791411,5.829425,2.416175,24.332842,1.641411
"2026-06-24 16:00:43",1.792116,5.726174,2.458040,24.338383,1.642116
"2026-06-24 16:00:44",1.792945,5.620461,2.500759,24.344840,1.642945
"2026-06-24 16:00:45",1.793883,5.510990,2.543462,24.352247,1.643883
"2026-06-24 16:00:46",1.794917,5.396739,2.585281,24.360631,1.644917
"2026-06-24 16:00:47",1.796031,5.276985,2.625361,24.370008,1.646031
"2026-06-24 16:00:48",1.797206,5.151318,2.662888,24.380384,1.647206
"2026-06-24 16:00:49",1.798425,5.019641,2.697096,24.391755,1.648425
"2026-06-24 16:00:50",1.799668,4.882173,2.727289,24.404108,1.649668
"2026-06-24 16:00:51",1.800917,4.739430,2.752850,24.417419,1.650917
"2026-06-24 16:00:52",1.802151,4.592212,2.773261,24.431655,1.652151
"2026-06-24 16:00:53",1.803352,4.441569,2.788104,24.446773,1.653352
"2026-06-24 16:00:54",1.804500,4.288771,2.797078,24.462724,1.654500
"2026-06-24 16:00:55",1.805579,4.135266,2.799999,24.479446,1.655579
"2026-06-24 16:00:56",1.806570,3.982635,2.796807,24.496873,1.656570
"2026-06-24 16:00:57",1.807459,3.832545,2.787569,24.514931,1.657459
"2026-06-24 16:00:58",1.808231,3.686696,2.772473,24.533540,1.658231
