"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-28 13:30:00",0.000000,30.000000,2.500000,24.000000,0.000000
"2026-06-28 13:30:01",0.176255,29.197094,2.542712,24.019983,0.026255
"2026-06-28 13:30:02",0.331799,28.427824,2.584553,24.039867,0.181799
"2026-06-28 13:30:03",0.469066,27.688954,2.624672,24.059552,0.319066
"2026-06-28 13:30:04",0.590204,26.977409,2.662250,24.078942,0.440204
"2026-06-28 13:30:05",0.697108,26.290315,2.696523,24.097943,0.547108
"2026-06-28 13:30:06",0.791450,25.625045,2.726793,24.116464,0.641450
"2026-06-28 13:30:07",0.874707,24.979251,2.752441,24.134422,0.724707
"2026-06-28 13:30:08",0.948181,24.350892,2.772947,24.151736,0.798181
"2026-06-28 13:30:09",1.013021,23.738260,2.787892,24.168333,0.863021
"2026-06-28 13:30:10",1.070243,23.139989,2.796971,24.184147,0.920243
"2026-06-28 13:30:11",1.120741,22.555065,2.800000,24.199121,0.970741
"2026-06-28 13:30:12",1.165305,21.982822,2.796917,24.213204,1.015305
"2026-06-28 13:30:13",1.204632,21.422932,2.787785,24.226356,1.054632
"2026-06-28 13:30:14",1.239339,20.875383,2.772789,24.238545,1.089339
"2026-06-28 13:30:15",1.269968,20.340457,2.752236,24.249749,1.119968
"2026-06-28 13:30:16",1.296997,19.818694,2.726544,24.259957,1.146997
"2026-06-28 13:30:17",1.320851,19.310850,2.696237,24.269166,1.170851
"2026-06-28 13:30:18",1.341901,18.817856,2.661931,24.277385,1.191901
"2026-06-28 13:30:19",1.360478,18.340768,2.624326,24.284630,1.210478
"2026-06-28 13:30:20",1.376873,17.880715,2.584189,24.290930,1.226873
"2026-06-28 13:30:21",1.391340,17.438848,2.542336,24.296321,1.241340
"2026-06-28 13:30:22",1.404108,17.016287,2.499621,24.300850,1.254108
"2026-06-28 13:30:23",1.415376,16.614071,2.456913,24.304571,1.265376
"2026-06-28 13:30:24",1.501411,16.233111,2.415083,24.307546,1.351411
"2026-06-28 13:30:25",1.500166,15.874146,2.374984,24.309847,1.350166
"2026-06-28 13:30:26",1.498918,15.537708,2.337431,24.311550,1.348918
"2026-06-28 13:30:27",1.497687,15.224086,2.303190,24.312738,1.347687
"2026-06-28 13:30:28",1.496492,14.933307,2.272959,24.313499,1.346492
"2026-06-28 13:30:29",1.495352,14.665119,2.247354,24.313925,1.345352
"2026-06-28 13:30:30",1.494284,14.418982,2.226896,24.314112,1.344284
"2026-06-28 13:30:31",1.493306,14.194072,2.212002,24.314158,1.343306
"2026-06-28 13:30:32",1.492432,13.989287,2.202976,24.314163,1.342432
"2026-06-28 13:30:33",1.491676,13.803267,2.200001,24.314225,1.341676
"2026-06-28 13:30:34",1.491050,13.634420,2.203138,24.314446,1.341050
"2026-06-28 13:30:35",1.490564,13.480951,2.212323,24.314922,1.340564
"2026-06-28 13:30:36",1.490225,13.340906,2.227369,24.315748,1.340225
"2026-06-28 13:30:37",1.490038,13.212211,2.247969,24.317016,1.340038
"2026-06-28 13:30:38",1.490007,13.092721,2.273705,24.318814,1.340007
"2026-06-28 13:30:39",1.490132,12.980267,2.304050,24.321223,1.340132
"2026-06-28 13:30:40",1.490411,12.872711,2.338388,24.324320,1.340411
"2026-06-28 13:30:41",1.490839,12.767993,2.376019,24.328172,1.340839
"2026-06-28 13:30:42",1.491411,12.664180,2.416175,24.332842,1.341411
"2026-06-28 13:30:43",1.492116,12.559510,2.458040,24.338383,1.342116
"2026-06-28 13:30:44",1.492945,12.452437,2.500759,24.344840,1.342945
"2026-06-28 13:30:45",1.493883,12.341661,2.543462,24.352247,1.343883
"2026-06-28 13:30:46",1.494917,12.226158,2.585281,24.360631,1.344917
"2026-06-28 13:30:47",1.496031,12.105204,2.625361,24.370008,1.346031
"2026-06-28 13:30:48",1.497206,11.978385,2.662888,24.380384,1.347206
"2026-06-28 13:30:49",1.498425,11.845604,2.697096,24.391755,1.348425
"2026-06-28 13:30:50",1.499668,11.707076,2.727289,24.404108,1.349668
"2026-06-28 13:30:51",1.500917,11.563317,2.752850,24.417419,1.350917
"2026-06-28 13:30:52",1.502151,11.415124,2.773261,24.431655,1.352151
"2026-06-28 13:30:53",1.503352,11.263546,2.788104,24.446773,1.353352
"2026-06-28 13:30:54",1.504500,11.109851,2.797078,24.462724,1.354500
"2026-06-28 13:30:55",1.505579,10.955486,2.799999,24.479446,1.355579
"2026-06-28 13:30:56",1.506570,10.802030,2.796807,24.496873,1.356570
"2026-06-28 13:30:57",1.507459,10.651148,2.787569,24.514931,1.357459
"2026-06-28 13:30:58",1.508231,10.504540,2.772473,24.533540,1.358231
"2026-06-28 13:30:59",1.508875,10.363886,2.751825,24.552612,1.358875
"2026-06-28 13:31:00",1.509380,10.230802,2.726046,24.572058,1.359380
"2026-06-28 13:31:01",1.509739,10.273451,2.695662,24.591784,1.359739
"2026-06-28 13:31:02",1.509946,10.326502,2.661292,24.611691,1.359946
"2026-06-28 13:31:03",1.509998,10.391089,2.623636,24.631681,1.359998
"2026-06-28 13:31:04",1.509894,10.468106,2.583460,24.651655,1.359894
"2026-06-28 13:31:05",1.509635,10.558184,2.541585,24.671512,1.359635
"2026-06-28 13:31:06",1.509226,10.661667,2.498862,24.691154,1.359226
"2026-06-28 13:31:07",1.508673,10.778600,2.456162,24.710485,1.358673
"2026-06-28 13:31:08",1.507985,10.908724,2.414356,24.729411,1.357985
"2026-06-28 13:31:09",1.507172,11.051483,2.374294,24.747844,1.357172
"2026-06-28 13:31:10",1.506247,11.206033,2.336794,24.765699,1.356247
"2026-06-28 13:31:11",1.505225,11.371265,2.302618,24.782897,1.355225
"2026-06-28 13:31:12",1.504121,11.545835,2.272464,24.799367,1.354121
"2026-06-28 13:31:13",1.502953,11.728195,2.246946,24.815044,1.352953
"2026-06-28 13:31:14",1.501739,11.916634,2.226583,24.829871,1.351739
"2026-06-28 13:31:15",1.500498,12.109328,2.211790,24.843800,1.350498
"2026-06-28 13:31:16",1.499248,12.304382,2.202870,24.856792,1.349248
"2026-06-28 13:31:17",1.498011,12.499884,2.200003,24.868817,1.348011
"2026-06-28 13:31:18",1.496805,12.693957,2.203248,24.879854,1.346805
"2026-06-28 13:31:19",1.495648,12.884807,2.212539,24.889894,1.345648
"2026-06-28 13:31:20",1.494560,13.070770,2.227686,24.898936,1.344560
"2026-06-28 13:31:21",1.493556,13.250360,2.248382,24.906989,1.343556
"2026-06-28 13:31:22",1.492653,13.422305,2.274204,24.914073,1.342653
"2026-06-28 13:31:23",1.491865,13.585583,2.304626,24.920217,1.341865
"2026-06-28 13:31:24",1.491203,13.739447,2.339028,24.925460,1.341203
"2026-06-28 13:31:25",1.490679,13.883447,2.376710,24.929849,1.340679
"2026-06-28 13:31:26",1.490300,14.017438,2.416904,24.933440,1.340300
"2026-06-28 13:31:27",1.490073,14.141584,2.458791,24.936297,1.340073
"2026-06-28 13:31:28",1.490000,14.256351,2.501517,24.938492,1.340000
"2026-06-28 13:31:29",1.490084,14.362497,2.544213,24.940102,1.340084
"2026-06-28 13:31:30",1.490322,14.461043,2.586008,24.941212,1.340322
"2026-06-28 13:31:31",1.490711,14.553251,2.626050,24.941910,1.340711
"2026-06-28 13:31:32",1.491245,14.640581,2.663525,24.942289,1.341245
"2026-06-28 13:31:33",1.491916,14.724654,2.697667,24.942445,1.341916
"2026-06-28 13:31:34",1.492713,14.807207,2.727783,24.942478,1.342713
"2026-06-28 13:31:35",1.493624,14.890038,2.753258,24.942485,1.343624
"2026-06-28 13:31:36",1.494634,14.974962,2.773573,24.942567,1.344634
"2026-06-28 13:31:37",1.495728,15.063754,2.788315,24.942824,1.345728
"2026-06-28 13:31:38",1.496889,15.158105,2.797182,24.943352,1.346889
"2026-06-28 13:31:39",1.498098,15.259568,2.799995,24.944246,1.348098
"2026-06-28 13:31:40",1.499337,15.369520,2.796696,24.945598,1.349337
"2026-06-28 13:31:41",1.500586,15.489118,2.787352,24.947493,1.350586
"2026-06-28 13:31:42",1.501826,15.619269,2.772154,24.950013,1.351826
"2026-06-28 13:31:43",1.503038,15.760606,2.751411,24.953231,1.353038
"2026-06-28 13:31:44",1.504202,15.913464,2.725546,24.957217,1.354202
"2026-06-28 13:31:45",1.505300,16.077877,2.695086,24.962030,1.355300
"2026-06-28 13:31:46",1.506316,16.253571,2.660652,24.967722,1.356316
"2026-06-28 13:31:47",1.507233,16.439972,2.622944,24.974336,1.357233
"2026-06-28 13:31:48",1.508038,16.636227,2.582731,24.981906,1.358038
"2026-06-28 13:31:49",1.508717,16.841217,2.540833,24.990456,1.358717
"2026-06-28 13:31:50",1.509260,17.053596,2.498103,25.000001,1.359260
"2026-06-28 13:31:51",1.509658,17.271826,2.455412,25.010545,1.359658
"2026-06-28 13:31:52",1.509906,17.494214,2.413629,25.022082,1.359906
"2026-06-28 13:31:53",1.509999,17.718966,2.373606,25.034598,1.359999
"2026-06-28 13:31:54",1.509936,17.944232,2.336158,25.048067,1.359936
"2026-06-28 13:31:55",1.509719,18.168156,2.302047,25.062455,1.359719
"2026-06-28 13:31:56",1.509349,18.388931,2.271970,25.077717,1.359349
"2026-06-28 13:31:57",1.508834,18.604843,2.246539,25.093802,1.358834
"2026-06-28 13:31:58",1.508180,18.814326,2.226271,25.110647,1.358180
"2026-06-28 13:31:59",1.507399,19.015996,2.211581,25.128186,1.357399
