"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-29 09:00:00",0.000000,28.000000,2.500000,24.000000,0.000000
"2026-06-29 09:00:01",0.176255,27.258310,2.542712,24.019983,0.026255
"2026-06-29 09:00:02",0.331799,26.547757,2.584553,24.039867,0.181799
"2026-06-29 09:00:03",0.469066,25.865209,2.624672,24.059552,0.319066
"2026-06-29 09:00:04",0.590204,25.207686,2.662250,24.078942,0.440204
"2026-06-29 09:00:05",0.697108,24.572410,2.696523,24.097943,0.547108
"2026-06-29 09:00:06",0.791450,23.956844,2.726793,24.116464,0.641450
"2026-06-29 09:00:07",0.874707,23.358724,2.752441,24.134422,0.724707
"2026-06-29 09:00:08",0.948181,22.776095,2.772947,24.151736,0.798181
"2026-06-29 09:00:09",1.013021,22.207326,2.787892,24.168333,0.863021
"2026-06-29 09:00:10",1.070243,21.651128,2.796971,24.184147,0.920243
"2026-06-29 09:00:11",1.120741,21.106560,2.800000,24.199121,0.970741
"2026-06-29 09:00:12",1.165305,20.573026,2.796917,24.213204,1.015305
"2026-06-29 09:00:13",1.204632,20.050265,2.787785,24.226356,1.054632
"2026-06-29 09:00:14",1.239339,19.538330,2.772789,24.238545,1.089339
"2026-06-29 09:00:15",1.269968,19.037565,2.752236,24.249749,1.119968
"2026-06-29 09:00:16",1.296997,18.548568,2.726544,24.259957,1.146997
"2026-06-29 09:00:17",1.320851,18.072153,2.696237,24.269166,1.170851
"2026-06-29 09:00:18",1.341901,17.609306,2.661931,24.277385,1.191901
"2026-06-29 09:00:19",1.360478,17.161134,2.624326,24.284630,1.210478
"2026-06-29 09:00:20",1.376873,16.728817,2.584189,24.290930,1.226873
"2026-06-29 09:00:21",1.391340,16.313555,2.542336,24.296321,1.241340
"2026-06-29 09:00:22",1.404108,15.916512,2.499621,24.300850,1.254108
"2026-06-29 09:00:23",1.415376,15.538774,2.456913,24.304571,1.265376
"2026-06-29 09:00:24",1.501411,15.181292,2.415083,24.307546,1.351411
"2026-06-29 09:00:25",1.500166,14.844847,2.374984,24.309847,1.350166
"2026-06-29 09:00:26",1.498918,14.530010,2.337431,24.311550,1.348918
"2026-06-29 09:00:27",1.497687,14.237107,2.303190,24.312738,1.347687
"2026-06-29 09:00:28",1.496492,13.966202,2.272959,24.313499,1.346492
"2026-06-29 09:00:29",1.495352,13.717077,2.247354,24.313925,1.345352
"2026-06-29 09:00:30",1.494284,13.489225,2.226896,24.314112,1.344284
"2026-06-29 09:00:31",1.493306,13.281854,2.212002,24.314158,1.343306
"2026-06-29 09:00:32",1.492432,13.093892,2.202976,24.314163,1.342432
"2026-06-29 09:00:33",1.491676,12.924008,2.200001,24.314225,1.341676
"2026-06-29 09:00:34",1.491050,12.770638,2.203138,24.314446,1.341050
"2026-06-29 09:00:35",1.490564,12.632016,2.212323,24.314922,1.340564
"2026-06-29 09:00:36",1.490225,12.506211,2.227369,24.315748,1.340225
"2026-06-29 09:00:37",1.490038,12.391175,2.247969,24.317016,1.340038
"2026-06-29 09:00:38",1.490007,12.284786,2.273705,24.318814,1.340007
"2026-06-29 09:00:39",1.490132,12.184899,2.304050,24.321223,1.340132
"2026-06-29 09:00:40",1.490411,12.089397,2.338388,24.324320,1.340411
"2026-06-29 09:00:41",1.490839,11.996242,2.376019,24.328172,1.340839
"2026-06-29 09:00:42",1.491411,11.903519,2.416175,24.332842,1.341411
"2026-06-29 09:00:43",1.492116,11.809487,2.458040,24.338383,1.342116
"2026-06-29 09:00:44",1.492945,11.712618,2.500759,24.344840,1.342945
"2026-06-29 09:00:45",1.493883,11.611628,2.543462,24.352247,1.343883
"2026-06-29 09:00:46",1.494917,11.505513,2.585281,24.360631,1.344917
"2026-06-29 09:00:47",1.496031,11.393564,2.625361,24.370008,1.346031
"2026-06-29 09:00:48",1.497206,11.275382,2.662888,24.380384,1.347206
"2026-06-29 09:00:49",1.498425,11.150886,2.697096,24.391755,1.348425
"2026-06-29 09:00:50",1.499668,11.020304,2.727289,24.404108,1.349668
"2026-06-29 09:00:51",1.500917,10.884168,2.752850,24.417419,1.350917
