"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-07-01 09:00:00",0.000000,33.000000,2.500000,24.000000,0.000000
"2026-07-01 09:00:01",0.188005,32.188932,2.542712,24.019983,0.038005
"2026-07-01 09:00:02",0.353919,31.411833,2.584553,24.039867,0.203919
"2026-07-01 09:00:03",0.500337,30.665454,2.624672,24.059552,0.350337
"2026-07-01 09:00:04",0.629551,29.946705,2.662250,24.078942,0.479551
"2026-07-01 09:00:05",0.743582,29.252702,2.696523,24.097943,0.593582
"2026-07-01 09:00:06",0.844214,28.580805,2.726793,24.116464,0.694214
"2026-07-01 09:00:07",0.933021,27.928654,2.752441,24.134422,0.783021
"2026-07-01 09:00:08",1.011393,27.294198,2.772947,24.151736,0.861393
"2026-07-01 09:00:09",1.080556,26.675717,2.787892,24.168333,0.930556
"2026-07-01 09:00:10",1.141592,26.071837,2.796971,24.184147,0.991592
"2026-07-01 09:00:11",1.195457,25.481532,2.800000,24.199121,1.045457
"2026-07-01 09:00:12",1.242992,24.904128,2.796917,24.213204,1.092992
"2026-07-01 09:00:13",1.284941,24.339287,2.787785,24.226356,1.134941
"2026-07-01 09:00:14",1.321962,23.786990,2.772789,24.238545,1.171962
"2026-07-01 09:00:15",1.354632,23.247510,2.752236,24.249749,1.204632
"2026-07-01 09:00:16",1.383464,22.721377,2.726544,24.259957,1.233464
"2026-07-01 09:00:17",1.408907,22.209342,2.696237,24.269166,1.258907
"2026-07-01 09:00:18",1.431361,21.712329,2.661931,24.277385,1.281361
"2026-07-01 09:00:19",1.451177,21.231385,2.624326,24.284630,1.301177
"2026-07-01 09:00:20",1.468664,20.767634,2.584189,24.290930,1.318664
"2026-07-01 09:00:21",1.484096,20.322220,2.542336,24.296321,1.334096
"2026-07-01 09:00:22",1.497715,19.896257,2.499621,24.300850,1.347715
"2026-07-01 09:00:23",1.509734,19.490777,2.456913,24.304571,1.359734
"2026-07-01 09:00:24",1.601411,19.106687,2.415083,24.307546,1.451411
"2026-07-01 09:00:25",1.600166,18.744720,2.374984,24.309847,1.450166
"2026-07-01 09:00:26",1.598918,18.405401,2.337431,24.311550,1.448918
"2026-07-01 09:00:27",1.597687,18.089016,2.303190,24.312738,1.447687
"2026-07-01 09:00:28",1.596492,17.795587,2.272959,24.313499,1.446492
"2026-07-01 09:00:29",1.595352,17.524858,2.247354,24.313925,1.445352
"2026-07-01 09:00:30",1.594284,17.276283,2.226896,24.314112,1.444284
"2026-07-01 09:00:31",1.593306,17.049035,2.212002,24.314158,1.443306
"2026-07-01 09:00:32",1.592432,16.842007,2.202976,24.314163,1.442432
"2026-07-01 09:00:33",1.591676,16.653835,2.200001,24.314225,1.441676
"2026-07-01 09:00:34",1.591050,16.482924,2.203138,24.314446,1.441050
"2026-07-01 09:00:35",1.590564,16.327476,2.212323,24.314922,1.440564
"2026-07-01 09:00:36",1.590225,16.185532,2.227369,24.315748,1.440225
"2026-07-01 09:00:37",1.590038,16.055016,2.247969,24.317016,1.440038
"2026-07-01 09:00:38",1.590007,15.933778,2.273705,24.318814,1.440007
"2026-07-01 09:00:39",1.590132,15.819649,2.304050,24.321223,1.440132
"2026-07-01 09:00:40",1.590411,15.710486,2.338388,24.324320,1.440411
"2026-07-01 09:00:41",1.590839,15.604226,2.376019,24.328172,1.440839
"2026-07-01 09:00:42",1.591411,15.498934,2.416175,24.332842,1.441411
"2026-07-01 09:00:43",1.592116,15.392847,2.458040,24.338383,1.442116
"2026-07-01 09:00:44",1.592945,15.284413,2.500759,24.344840,1.442945
"2026-07-01 09:00:45",1.593883,15.172332,2.543462,24.352247,1.443883
"2026-07-01 09:00:46",1.594917,15.055577,2.585281,24.360631,1.444917
"2026-07-01 09:00:47",1.596031,14.933422,2.625361,24.370008,1.446031
"2026-07-01 09:00:48",1.597206,14.805452,2.662888,24.380384,1.447206
"2026-07-01 09:00:49",1.598425,14.671566,2.697096,24.391755,1.448425
"2026-07-01 09:00:50",1.599668,14.531979,2.727289,24.404108,1.449668
"2026-07-01 09:00:51",1.600917,14.387204,2.752850,24.417419,1.450917
"2026-07-01 09:00:52",1.602151,14.238036,2.773261,24.431655,1.452151
"2026-07-01 09:00:53",1.603352,14.085522,2.788104,24.446773,1.453352
"2026-07-01 09:00:54",1.604500,13.930931,2.797078,24.462724,1.454500
"2026-07-01 09:00:55",1.605579,13.775705,2.799999,24.479446,1.455579
"2026-07-01 09:00:56",1.606570,13.621424,2.796807,24.496873,1.456570
"2026-07-01 09:00:57",1.607459,13.469751,2.787569,24.514931,1.457459
"2026-07-01 09:00:58",1.608231,13.322383,2.772473,24.533540,1.458231
"2026-07-01 09:00:59",1.608875,13.181002,2.751825,24.552612,1.458875
"2026-07-01 09:01:00",1.609380,13.047219,2.726046,24.572058,1.459380
"2026-07-01 09:01:01",1.609739,13.089198,2.695662,24.591784,1.459739
"2026-07-01 09:01:02",1.609946,13.141606,2.661292,24.611691,1.459946
"2026-07-01 09:01:03",1.609998,13.205576,2.623636,24.631681,1.459998
