"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-25 10:00:00",0.000000,23.000000,2.500000,24.000000,0.000000
"2026-06-25 10:00:01",0.188005,22.184851,2.542712,24.019983,0.038005
"2026-06-25 10:00:02",0.353919,21.403837,2.584553,24.039867,0.203919
"2026-06-25 10:00:03",0.500337,20.653703,2.624672,24.059552,0.350337
"2026-06-25 10:00:04",0.629551,19.931353,2.662250,24.078942,0.479551
"2026-06-25 10:00:05",0.743582,19.233896,2.696523,24.097943,0.593582
"2026-06-25 10:00:06",0.844214,18.558685,2.726793,24.116464,0.694214
"2026-06-25 10:00:07",0.933021,17.903356,2.752441,24.134422,0.783021
"2026-06-25 10:00:08",1.011393,17.265851,2.772947,24.151736,0.861393
"2026-06-25 10:00:09",1.080556,16.644446,2.787892,24.168333,0.930556
"2026-06-25 10:00:10",1.141592,16.037761,2.796971,24.184147,0.991592
"2026-06-25 10:00:11",1.195457,15.444766,2.800000,24.199121,1.045457
"2026-06-25 10:00:12",1.242992,14.864781,2.796917,24.213204,1.092992
"2026-06-25 10:00:13",1.284941,14.297465,2.787785,24.226356,1.134941
"2026-06-25 10:00:14",1.321962,13.742794,2.772789,24.238545,1.171962
"2026-06-25 10:00:15",1.354632,13.201036,2.752236,24.249749,1.204632
"2026-06-25 10:00:16",1.383464,12.672719,2.726544,24.259957,1.233464
"2026-06-25 10:00:17",1.408907,12.158589,2.696237,24.269166,1.258907
"2026-06-25 10:00:18",1.431361,11.659566,2.661931,24.277385,1.281361
"2026-06-25 10:00:19",1.451177,11.176694,2.624326,24.284630,1.301177
"2026-06-25 10:00:20",1.468664,10.711094,2.584189,24.290930,1.318664
"2026-06-25 10:00:21",1.484096,10.263906,2.542336,24.296321,1.334096
"2026-06-25 10:00:22",1.497715,9.836242,2.499621,24.300850,1.347715
"2026-06-25 10:00:23",1.509734,9.429130,2.456913,24.304571,1.359734
"2026-06-25 10:00:24",1.601411,9.043475,2.415083,24.307546,1.451411
"2026-06-25 10:00:25",1.600166,8.680006,2.374984,24.309847,1.450166
"2026-06-25 10:00:26",1.598918,8.339247,2.337431,24.311550,1.448918
"2026-06-25 10:00:27",1.597687,8.021481,2.303190,24.312738,1.447687
"2026-06-25 10:00:28",1.596492,7.726728,2.272959,24.313499,1.446492
"2026-06-25 10:00:29",1.595352,7.454727,2.247354,24.313925,1.445352
"2026-06-25 10:00:30",1.594284,7.204934,2.226896,24.314112,1.444284
"2026-06-25 10:00:31",1.593306,6.976516,2.212002,24.314158,1.443306
"2026-06-25 10:00:32",1.592432,6.768366,2.202976,24.314163,1.442432
"2026-06-25 10:00:33",1.591676,6.579119,2.200001,24.314225,1.441676
"2026-06-25 10:00:34",1.591050,6.407176,2.203138,24.314446,1.441050
"2026-06-25 10:00:35",1.590564,6.250738,2.212323,24.314922,1.440564
"2026-06-25 10:00:36",1.590225,6.107845,2.227369,24.315748,1.440225
"2026-06-25 10:00:37",1.590038,5.976418,2.247969,24.317016,1.440038
"2026-06-25 10:00:38",1.590007,5.854307,2.273705,24.318814,1.440007
"2026-06-25 10:00:39",1.590132,5.739340,2.304050,24.321223,1.440132
"2026-06-25 10:00:40",1.590411,5.629374,2.338388,24.324320,1.440411
"2026-06-25 10:00:41",1.590839,5.522343,2.376019,24.328172,1.440839
"2026-06-25 10:00:42",1.591411,5.416312,2.416175,24.332842,1.441411
"2026-06-25 10:00:43",1.592116,5.309515,2.458040,24.338383,1.442116
"2026-06-25 10:00:44",1.592945,5.200401,2.500759,24.344840,1.442945
"2026-06-25 10:00:45",1.593883,5.087667,2.543462,24.352247,1.443883
"2026-06-25 10:00:46",1.594917,4.970287,2.585281,24.360631,1.444917
"2026-06-25 10:00:47",1.596031,4.847532,2.625361,24.370008,1.446031
"2026-06-25 10:00:48",1.597206,4.718985,2.662888,24.380384,1.447206
"2026-06-25 10:00:49",1.598425,4.584547,2.697096,24.391755,1.448425
"2026-06-25 10:00:50",1.599668,4.444430,2.727289,24.404108,1.449668
"2026-06-25 10:00:51",1.600917,4.299147,2.752850,24.417419,1.450917
"2026-06-25 10:00:52",1.602151,4.149492,2.773261,24.431655,1.452151
"2026-06-25 10:00:53",1.603352,3.996511,2.788104,24.446773,1.453352
"2026-06-25 10:00:54",1.604500,3.841471,2.797078,24.462724,1.454500
"2026-06-25 10:00:55",1.605579,3.685815,2.799999,24.479446,1.455579
"2026-06-25 10:00:56",1.606570,3.531121,2.796807,24.496873,1.456570
"2026-06-25 10:00:57",1.607459,3.379053,2.787569,24.514931,1.457459
"2026-06-25 10:00:58",1.608231,3.231305,2.772473,24.533540,1.458231
"2026-06-25 10:00:59",1.608875,3.089560,2.751825,24.552612,1.458875
"2026-06-25 10:01:00",1.609380,2.955428,2.726046,24.572058,1.459380
"2026-06-25 10:01:01",1.609739,2.830405,2.695662,24.591784,1.459739
"2026-06-25 10:01:02",1.609946,2.715825,2.661292,24.611691,1.459946
"2026-06-25 10:01:03",1.609998,2.612820,2.623636,24.631681,1.459998
"2026-06-25 10:01:04",1.609894,2.522284,2.583460,24.651655,1.459894
"2026-06-25 10:01:05",1.609635,2.444845,2.541585,24.671512,1.459635
"2026-06-25 10:01:06",1.609226,2.380846,2.498862,24.691154,1.459226
"2026-06-25 10:01:07",1.608673,2.330329,2.456162,24.710485,1.458673
"2026-06-25 10:01:08",1.607985,2.293036,2.414356,24.729411,1.457985
"2026-06-25 10:01:09",1.607172,2.268408,2.374294,24.747844,1.457172
"2026-06-25 10:01:10",1.606247,2.255600,2.336794,24.765699,1.456247
"2026-06-25 10:01:11",1.605225,2.253504,2.302618,24.782897,1.455225
"2026-06-25 10:01:12",1.604121,2.260772,2.272464,24.799367,1.454121
"2026-06-25 10:01:13",1.602953,2.275855,2.246946,24.815044,1.452953
"2026-06-25 10:01:14",1.601739,2.297043,2.226583,24.829871,1.451739
"2026-06-25 10:01:15",1.600498,2.322509,2.211790,24.843800,1.450498
"2026-06-25 10:01:16",1.599248,2.350358,2.202870,24.856792,1.449248
"2026-06-25 10:01:17",1.598011,2.378678,2.200003,24.868817,1.448011
"2026-06-25 10:01:18",1.596805,2.405590,2.203248,24.879854,1.446805
"2026-06-25 10:01:19",1.595648,2.429298,2.212539,24.889894,1.445648
"2026-06-25 10:01:20",1.594560,2.448139,2.227686,24.898936,1.444560
"2026-06-25 10:01:21",1.593556,2.460625,2.248382,24.906989,1.443556
"2026-06-25 10:01:22",1.592653,2.465484,2.274204,24.914073,1.442653
"2026-06-25 10:01:23",1.591865,2.461694,2.304626,24.920217,1.441865
"2026-06-25 10:01:24",1.591203,2.448506,2.339028,24.925460,1.441203
"2026-06-25 10:01:25",1.590679,2.425470,2.376710,24.929849,1.440679
"2026-06-25 10:01:26",1.590300,2.392440,2.416904,24.933440,1.440300
"2026-06-25 10:01:27",1.590073,2.349579,2.458791,24.936297,1.440073
"2026-06-25 10:01:28",1.590000,2.297353,2.501517,24.938492,1.440000
