"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-19 13:00:00",0.000000,25.000000,2.500000,24.000000,0.000000
"2026-06-19 13:00:01",0.235006,24.156283,2.542712,24.019983,0.085006
"2026-06-19 13:00:02",0.442398,23.347868,2.584553,24.039867,0.292398
"2026-06-19 13:00:03",0.625421,22.571451,2.624672,24.059552,0.475421
"2026-06-19 13:00:04",0.786939,21.823890,2.662250,24.078942,0.636939
"2026-06-19 13:00:05",0.929477,21.102251,2.696523,24.097943,0.779477
"2026-06-19 13:00:06",1.055267,20.403846,2.726793,24.116464,0.905267
"2026-06-19 13:00:07",1.166276,19.726268,2.752441,24.134422,1.016276
"2026-06-19 13:00:08",1.264241,19.067423,2.772947,24.151736,1.114241
"2026-06-19 13:00:09",1.350695,18.425549,2.787892,24.168333,1.200695
"2026-06-19 13:00:10",1.426990,17.799229,2.796971,24.184147,1.276990
"2026-06-19 13:00:11",1.494321,17.187401,2.800000,24.199121,1.344321
"2026-06-19 13:00:12",1.553740,16.589353,2.796917,24.213204,1.403740
"2026-06-19 13:00:13",1.606177,16.004709,2.787785,24.226356,1.456177
"2026-06-19 13:00:14",1.652452,15.433418,2.772789,24.238545,1.502452
"2026-06-19 13:00:15",1.693290,14.875719,2.752236,24.249749,1.543290
"2026-06-19 13:00:16",1.729329,14.332111,2.726544,24.259957,1.579329
"2026-06-19 13:00:17",1.761134,13.803314,2.696237,24.269166,1.611134
"2026-06-19 13:00:18",1.789202,13.290222,2.661931,24.277385,1.639202
"2026-06-19 13:00:19",1.813971,12.793857,2.624326,24.284630,1.663971
"2026-06-19 13:00:20",1.835830,12.315313,2.584189,24.290930,1.685830
"2026-06-19 13:00:21",1.855120,11.855710,2.542336,24.296321,1.705120
"2026-06-19 13:00:22",1.872144,11.416136,2.499621,24.300850,1.722144
"2026-06-19 13:00:23",1.887168,10.997603,2.456913,24.304571,1.737168
"2026-06-19 13:00:24",2.001411,10.600991,2.415083,24.307546,1.851411
"2026-06-19 13:00:25",2.000166,10.227013,2.374984,24.309847,1.850166
"2026-06-19 13:00:26",1.998918,9.876173,2.337431,24.311550,1.848918
"2026-06-19 13:00:27",1.997687,9.548738,2.303190,24.312738,1.847687
"2026-06-19 13:00:28",1.996492,9.244710,2.272959,24.313499,1.846492
"2026-06-19 13:00:29",1.995352,8.963814,2.247354,24.313925,1.845352
"2026-06-19 13:00:30",1.994284,8.705487,2.226896,24.314112,1.844284
"2026-06-19 13:00:31",1.993306,8.468885,2.212002,24.314158,1.843306
"2026-06-19 13:00:32",1.992432,8.252884,2.202976,24.314163,1.842432
"2026-06-19 13:00:33",1.991676,8.056107,2.200001,24.314225,1.841676
"2026-06-19 13:00:34",1.991050,7.876941,2.203138,24.314446,1.841050
"2026-06-19 13:00:35",1.990564,7.713575,2.212323,24.314922,1.840564
"2026-06-19 13:00:36",1.990225,7.564036,2.227369,24.315748,1.840225
"2026-06-19 13:00:37",1.990038,7.426235,2.247969,24.317016,1.840038
"2026-06-19 13:00:38",1.990007,7.298010,2.273705,24.318814,1.840007
"2026-06-19 13:00:39",1.990132,7.177178,2.304050,24.321223,1.840132
"2026-06-19 13:00:40",1.990411,7.061586,2.338388,24.324320,1.840411
"2026-06-19 13:00:41",1.990839,6.949160,2.376019,24.328172,1.840839
"2026-06-19 13:00:42",1.991411,6.837954,2.416175,24.332842,1.841411
"2026-06-19 13:00:43",1.992116,6.726193,2.458040,24.338383,1.842116
"2026-06-19 13:00:44",1.992945,6.612317,2.500759,24.344840,1.842945
"2026-06-19 13:00:45",1.993883,6.495016,2.543462,24.352247,1.843883
"2026-06-19 13:00:46",1.994917,6.373254,2.585281,24.360631,1.844917
"2026-06-19 13:00:47",1.996031,6.246297,2.625361,24.370008,1.846031
"2026-06-19 13:00:48",1.997206,6.113720,2.662888,24.380384,1.847206
"2026-06-19 13:00:49",1.998425,5.975416,2.697096,24.391755,1.848425
"2026-06-19 13:00:50",1.999668,5.831590,2.727289,24.404108,1.849668
"2026-06-19 13:00:51",2.000917,5.682750,2.752850,24.417419,1.850917
"2026-06-19 13:00:52",2.002151,5.529683,2.773261,24.431655,1.852151
"2026-06-19 13:00:53",2.003352,5.373429,2.788104,24.446773,1.853352
"2026-06-19 13:00:54",2.004500,5.215250,2.797078,24.462724,1.854500
"2026-06-19 13:00:55",2.005579,5.056583,2.799999,24.479446,1.855579
"2026-06-19 13:00:56",2.006570,4.899002,2.796807,24.496873,1.856570
"2026-06-19 13:00:57",2.007459,4.744163,2.787569,24.514931,1.857459
"2026-06-19 13:00:58",2.008231,4.593758,2.772473,24.533540,1.858231
"2026-06-19 13:00:59",2.008875,4.449464,2.751825,24.552612,1.858875
"2026-06-19 13:01:00",2.009380,4.312887,2.726046,24.572058,1.859380
"2026-06-19 13:01:01",2.009739,4.185519,2.695662,24.591784,1.859739
"2026-06-19 13:01:02",2.009946,4.068691,2.661292,24.611691,1.859946
"2026-06-19 13:01:03",2.009998,3.963528,2.623636,24.631681,1.859998
"2026-06-19 13:01:04",2.009894,3.870923,2.583460,24.651655,1.859894
