"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-23 15:00:00",0.000000,24.000000,2.500000,24.000000,0.000000
"2026-06-23 15:00:01",0.235006,23.193013,2.542712,24.019983,0.085006
"2026-06-23 15:00:02",0.442398,22.419828,2.584553,24.039867,0.292398
"2026-06-23 15:00:03",0.625421,21.677204,2.624672,24.059552,0.475421
"2026-06-23 15:00:04",0.786939,20.962057,2.662250,24.078942,0.636939
"2026-06-23 15:00:05",0.929477,20.271509,2.696523,24.097943,0.779477
"2026-06-23 15:00:06",1.055267,19.602925,2.726793,24.116464,0.905267
"2026-06-23 15:00:07",1.166276,18.953952,2.752441,24.134422,1.016276
"2026-06-23 15:00:08",1.264241,18.322545,2.772947,24.151736,1.114241
"2026-06-23 15:00:09",1.350695,17.706989,2.787892,24.168333,1.200695
"2026-06-23 15:00:10",1.426990,17.105913,2.796971,24.184147,1.276990
"2026-06-23 15:00:11",1.494321,16.518298,2.800000,24.199121,1.344321
"2026-06-23 15:00:12",1.553740,15.943475,2.796917,24.213204,1.403740
"2026-06-23 15:00:13",1.606177,15.381109,2.787785,24.226356,1.456177
"2026-06-23 15:00:14",1.652452,14.831186,2.772789,24.238545,1.502452
"2026-06-23 15:00:15",1.693290,14.293983,2.752236,24.249749,1.543290
"2026-06-23 15:00:16",1.729329,13.770035,2.726544,24.259957,1.579329
"2026-06-23 15:00:17",1.761134,13.260096,2.696237,24.269166,1.611134
"2026-06-23 15:00:18",1.789202,12.765092,2.661931,24.277385,1.639202
"2026-06-23 15:00:19",1.813971,12.286076,2.624326,24.284630,1.663971
"2026-06-23 15:00:20",1.835830,11.824174,2.584189,24.290930,1.685830
"2026-06-23 15:00:21",1.855120,11.380534,2.542336,24.296321,1.705120
"2026-06-23 15:00:22",1.872144,10.956272,2.499621,24.300850,1.722144
"2026-06-23 15:00:23",1.887168,10.552424,2.456913,24.304571,1.737168
"2026-06-23 15:00:24",2.001411,10.169899,2.415083,24.307546,1.851411
"2026-06-23 15:00:25",2.000166,9.809433,2.374984,24.309847,1.850166
"2026-06-23 15:00:26",1.998918,9.471554,2.337431,24.311550,1.848918
"2026-06-23 15:00:27",1.997687,9.156551,2.303190,24.312738,1.847687
"2026-06-23 15:00:28",1.996492,8.864447,2.272959,24.313499,1.846492
"2026-06-23 15:00:29",1.995352,8.594988,2.247354,24.313925,1.845352
"2026-06-23 15:00:30",1.994284,8.347633,2.226896,24.314112,1.844284
"2026-06-23 15:00:31",1.993306,8.121554,2.212002,24.314158,1.843306
"2026-06-23 15:00:32",1.992432,7.915647,2.202976,24.314163,1.842432
"2026-06-23 15:00:33",1.991676,7.728551,2.200001,24.314225,1.841676
"2026-06-23 15:00:34",1.991050,7.558672,2.203138,24.314446,1.841050
"2026-06-23 15:00:35",1.990564,7.404213,2.212323,24.314922,1.840564
"2026-06-23 15:00:36",1.990225,7.263219,2.227369,24.315748,1.840225
"2026-06-23 15:00:37",1.990038,7.133614,2.247969,24.317016,1.840038
"2026-06-23 15:00:38",1.990007,7.013249,2.273705,24.318814,1.840007
"2026-06-23 15:00:39",1.990132,6.899958,2.304050,24.321223,1.840132
"2026-06-23 15:00:40",1.990411,6.791598,2.338388,24.324320,1.840411
"2026-06-23 15:00:41",1.990839,6.686110,2.376019,24.328172,1.840839
"2026-06-23 15:00:42",1.991411,6.581557,2.416175,24.332842,1.841411
"2026-06-23 15:00:43",1.992116,6.476179,2.458040,24.338383,1.842116
"2026-06-23 15:00:44",1.992945,6.368425,2.500759,24.344840,1.842945
"2026-06-23 15:00:45",1.993883,6.256996,2.543462,24.352247,1.843883
"2026-06-23 15:00:46",1.994917,6.140868,2.585281,24.360631,1.844917
"2026-06-23 15:00:47",1.996031,6.019313,2.625361,24.370008,1.846031
"2026-06-23 15:00:48",1.997206,5.891918,2.662888,24.380384,1.847206
"2026-06-23 15:00:49",1.998425,5.758585,2.697096,24.391755,1.848425
"2026-06-23 15:00:50",1.999668,5.619527,2.727289,24.404108,1.849668
"2026-06-23 15:00:51",2.000917,5.475260,2.752850,24.417419,1.850917
"2026-06-23 15:00:52",2.002151,5.326580,2.773261,24.431655,1.852151
"2026-06-23 15:00:53",2.003352,5.174534,2.788104,24.446773,1.853352
"2026-06-23 15:00:54",2.004500,5.020391,2.797078,24.462724,1.854500
"2026-06-23 15:00:55",2.005579,4.865595,2.799999,24.479446,1.855579
"2026-06-23 15:00:56",2.006570,4.711727,2.796807,24.496873,1.856570
"2026-06-23 15:00:57",2.007459,4.560450,2.787569,24.514931,1.857459
"2026-06-23 15:00:58",2.008231,4.413462,2.772473,24.533540,1.858231
"2026-06-23 15:00:59",2.008875,4.272444,2.751825,24.552612,1.858875
"2026-06-23 15:01:00",2.009380,4.139011,2.726046,24.572058,1.859380
"2026-06-23 15:01:01",2.009739,4.014658,2.695662,24.591784,1.859739
"2026-06-23 15:01:02",2.009946,3.900721,2.661292,24.611691,1.859946
"2026-06-23 15:01:03",2.009998,3.798332,2.623636,24.631681,1.859998
"2026-06-23 15:01:04",2.009894,3.708388,2.583460,24.651655,1.859894
"2026-06-23 15:01:05",2.009635,3.631516,2.541585,24.671512,1.859635
"2026-06-23 15:01:06",2.009226,3.568060,2.498862,24.691154,1.859226
