"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-07-02 10:00:00",0.000000,34.000000,2.500000,24.000000,0.000000
"2026-07-02 10:00:01",0.164504,33.168527,2.542712,24.019983,0.014504
"2026-07-02 10:00:02",0.309679,32.371855,2.584553,24.039867,0.159679
"2026-07-02 10:00:03",0.437795,31.606702,2.624672,24.059552,0.287795
"2026-07-02 10:00:04",0.550857,30.869946,2.662250,24.078942,0.400857
"2026-07-02 10:00:05",0.650634,30.158670,2.696523,24.097943,0.500634
"2026-07-02 10:00:06",0.738687,29.470206,2.726793,24.116464,0.588687
"2026-07-02 10:00:07",0.816393,28.802163,2.752441,24.134422,0.666393
"2026-07-02 10:00:08",0.884969,28.152464,2.772947,24.151736,0.734969
"2026-07-02 10:00:09",0.945487,27.519362,2.787892,24.168333,0.795487
"2026-07-02 10:00:10",0.998893,26.901457,2.796971,24.184147,0.848893
"2026-07-02 10:00:11",1.046025,26.297700,2.800000,24.199121,0.896025
"2026-07-02 10:00:12",1.087618,25.707393,2.796917,24.213204,0.937618
"2026-07-02 10:00:13",1.124324,25.130176,2.787785,24.226356,0.974324
"2026-07-02 10:00:14",1.156716,24.566008,2.772789,24.238545,1.006716
"2026-07-02 10:00:15",1.185303,24.015140,2.752236,24.249749,1.035303
"2026-07-02 10:00:16",1.210531,23.478086,2.726544,24.259957,1.060531
"2026-07-02 10:00:17",1.232794,22.955575,2.696237,24.269166,1.082794
"2026-07-02 10:00:18",1.252441,22.448512,2.661931,24.277385,1.102441
"2026-07-02 10:00:19",1.269780,21.957930,2.624326,24.284630,1.119780
"2026-07-02 10:00:20",1.285081,21.484933,2.584189,24.290930,1.135081
"2026-07-02 10:00:21",1.298584,21.030651,2.542336,24.296321,1.148584
"2026-07-02 10:00:22",1.310501,20.596182,2.499621,24.300850,1.160501
"2026-07-02 10:00:23",1.321017,20.182543,2.456913,24.304571,1.171017
"2026-07-02 10:00:24",1.401411,19.790627,2.415083,24.307546,1.251411
"2026-07-02 10:00:25",1.400166,19.421153,2.374984,24.309847,1.250166
"2026-07-02 10:00:26",1.398918,19.074634,2.337431,24.311550,1.248918
"2026-07-02 10:00:27",1.397687,18.751342,2.303190,24.312738,1.247687
"2026-07-02 10:00:28",1.396492,18.451289,2.272959,24.313499,1.246492
"2026-07-02 10:00:29",1.395352,18.174205,2.247354,24.313925,1.245352
"2026-07-02 10:00:30",1.394284,17.919536,2.226896,24.314112,1.244284
"2026-07-02 10:00:31",1.393306,17.686441,2.212002,24.314158,1.243306
"2026-07-02 10:00:32",1.392432,17.473805,2.202976,24.314163,1.242432
"2026-07-02 10:00:33",1.391676,17.280255,2.200001,24.314225,1.241676
