"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-06-29 14:00:00",0.000000,29.000000,2.500000,24.000000,0.000000
"2026-06-29 14:00:01",0.164504,28.201175,2.542712,24.019983,0.014504
"2026-06-29 14:00:02",0.309679,27.435819,2.584553,24.039867,0.159679
"2026-06-29 14:00:03",0.437795,26.700705,2.624672,24.059552,0.287795
"2026-06-29 14:00:04",0.550857,25.992760,2.662250,24.078942,0.400857
"2026-06-29 14:00:05",0.650634,25.309121,2.696523,24.097943,0.500634
"2026-06-29 14:00:06",0.738687,24.647165,2.726793,24.116464,0.588687
"2026-06-29 14:00:07",0.816393,24.004549,2.752441,24.134422,0.666393
"2026-06-29 14:00:08",0.884969,23.379239,2.772947,24.151736,0.734969
"2026-06-29 14:00:09",0.945487,22.769531,2.787892,24.168333,0.795487
"2026-06-29 14:00:10",0.998893,22.174065,2.796971,24.184147,0.848893
"2026-06-29 14:00:11",1.046025,21.591831,2.800000,24.199121,0.896025
"2026-06-29 14:00:12",1.087618,21.022169,2.796917,24.213204,0.937618
"2026-06-29 14:00:13",1.124324,20.464754,2.787785,24.226356,0.974324
"2026-06-29 14:00:14",1.156716,19.919579,2.772789,24.238545,1.006716
"2026-06-29 14:00:15",1.185303,19.386931,2.752236,24.249749,1.035303
"2026-06-29 14:00:16",1.210531,18.867352,2.726544,24.259957,1.060531
"2026-06-29 14:00:17",1.232794,18.361603,2.696237,24.269166,1.082794
"2026-06-29 14:00:18",1.252441,17.870619,2.661931,24.277385,1.102441
"2026-06-29 14:00:19",1.269780,17.395459,2.624326,24.284630,1.119780
"2026-06-29 14:00:20",1.285081,16.937255,2.584189,24.290930,1.135081
"2026-06-29 14:00:21",1.298584,16.497162,2.542336,24.296321,1.148584
"2026-06-29 14:00:22",1.310501,16.076302,2.499621,24.300850,1.160501
"2026-06-29 14:00:23",1.321017,15.675718,2.456913,24.304571,1.171017
"2026-06-29 14:00:24",1.401411,15.296323,2.415083,24.307546,1.251411
"2026-06-29 14:00:25",1.400166,14.938860,2.374984,24.309847,1.250166
"2026-06-29 14:00:26",1.398918,14.603861,2.337431,24.311550,1.248918
"2026-06-29 14:00:27",1.397687,14.291620,2.303190,24.312738,1.247687
"2026-06-29 14:00:28",1.396492,14.002166,2.272959,24.313499,1.246492
"2026-06-29 14:00:29",1.395352,13.735249,2.247354,24.313925,1.245352
"2026-06-29 14:00:30",1.394284,13.490332,2.226896,24.314112,1.244284
"2026-06-29 14:00:31",1.393306,13.266591,2.212002,24.314158,1.243306
"2026-06-29 14:00:32",1.392432,13.062928,2.202976,24.314163,1.242432
"2026-06-29 14:00:33",1.391676,12.877983,2.200001,24.314225,1.241676
"2026-06-29 14:00:34",1.391050,12.710167,2.203138,24.314446,1.241050
"2026-06-29 14:00:35",1.390564,12.557689,2.212323,24.314922,1.240564
"2026-06-29 14:00:36",1.390225,12.418593,2.227369,24.315748,1.240225
"2026-06-29 14:00:37",1.390038,12.290809,2.247969,24.317016,1.240038
"2026-06-29 14:00:38",1.390007,12.172192,2.273705,24.318814,1.240007
"2026-06-29 14:00:39",1.390132,12.060576,2.304050,24.321223,1.240132
"2026-06-29 14:00:40",1.390411,11.953823,2.338388,24.324320,1.240411
"2026-06-29 14:00:41",1.390839,11.849876,2.376019,24.328172,1.240839
"2026-06-29 14:00:42",1.391411,11.746802,2.416175,24.332842,1.241411
"2026-06-29 14:00:43",1.392116,11.642842,2.458040,24.338383,1.242116
"2026-06-29 14:00:44",1.392945,11.536449,2.500759,24.344840,1.242945
"2026-06-29 14:00:45",1.393883,11.426325,2.543462,24.352247,1.243883
"2026-06-29 14:00:46",1.394917,11.311448,2.585281,24.360631,1.244917
"2026-06-29 14:00:47",1.396031,11.191094,2.625361,24.370008,1.246031
"2026-06-29 14:00:48",1.397206,11.064851,2.662888,24.380384,1.247206
"2026-06-29 14:00:49",1.398425,10.932623,2.697096,24.391755,1.248425
"2026-06-29 14:00:50",1.399668,10.794624,2.727289,24.404108,1.249668
"2026-06-29 14:00:51",1.400917,10.651374,2.752850,24.417419,1.250917
"2026-06-29 14:00:52",1.402151,10.503668,2.773261,24.431655,1.252151
"2026-06-29 14:00:53",1.403352,10.352557,2.788104,24.446773,1.253352
"2026-06-29 14:00:54",1.404500,10.199311,2.797078,24.462724,1.254500
"2026-06-29 14:00:55",1.405579,10.045376,2.799999,24.479446,1.255579
"2026-06-29 14:00:56",1.406570,9.892333,2.796807,24.496873,1.256570
"2026-06-29 14:00:57",1.407459,9.741847,2.787569,24.514931,1.257459
"2026-06-29 14:00:58",1.408231,9.595618,2.772473,24.533540,1.258231
"2026-06-29 14:00:59",1.408875,9.455329,2.751825,24.552612,1.258875
"2026-06-29 14:01:00",1.409380,9.322594,2.726046,24.572058,1.259380
"2026-06-29 14:01:01",1.409739,9.365577,2.695662,24.591784,1.259739
"2026-06-29 14:01:02",1.409946,9.418950,2.661292,24.611691,1.259946
"2026-06-29 14:01:03",1.409998,9.483845,2.623636,24.631681,1.259998
"2026-06-29 14:01:04",1.409894,9.561158,2.583460,24.651655,1.259894
"2026-06-29 14:01:05",1.409635,9.651519,2.541585,24.671512,1.259635
"2026-06-29 14:01:06",1.409226,9.755275,2.498862,24.691154,1.259226
"2026-06-29 14:01:07",1.408673,9.872468,2.456162,24.710485,1.258673
"2026-06-29 14:01:08",1.407985,10.002843,2.414356,24.729411,1.257985
"2026-06-29 14:01:09",1.407172,10.145841,2.374294,24.747844,1.257172
"2026-06-29 14:01:10",1.406247,10.300621,2.336794,24.765699,1.256247
"2026-06-29 14:01:11",1.405225,10.466075,2.302618,24.782897,1.255225
"2026-06-29 14:01:12",1.404121,10.640857,2.272464,24.799367,1.254121
"2026-06-29 14:01:13",1.402953,10.823419,2.246946,24.815044,1.252953
"2026-06-29 14:01:14",1.401739,11.012054,2.226583,24.829871,1.251739
"2026-06-29 14:01:15",1.400498,11.204934,2.211790,24.843800,1.250498
"2026-06-29 14:01:16",1.399248,11.400167,2.202870,24.856792,1.249248
"2026-06-29 14:01:17",1.398011,11.595842,2.200003,24.868817,1.248011
"2026-06-29 14:01:18",1.396805,11.790080,2.203248,24.879854,1.246805
"2026-06-29 14:01:19",1.395648,11.981088,2.212539,24.889894,1.245648
"2026-06-29 14:01:20",1.394560,12.167203,2.227686,24.898936,1.244560
"2026-06-29 14:01:21",1.393556,12.346938,2.248382,24.906989,1.243556
"2026-06-29 14:01:22",1.392653,12.519022,2.274204,24.914073,1.242653
"2026-06-29 14:01:23",1.391865,12.682434,2.304626,24.920217,1.241865
"2026-06-29 14:01:24",1.391203,12.836427,2.339028,24.925460,1.241203
"2026-06-29 14:01:25",1.390679,12.980551,2.376710,24.929849,1.240679
"2026-06-29 14:01:26",1.390300,13.114660,2.416904,24.933440,1.240300
"2026-06-29 14:01:27",1.390073,13.238919,2.458791,24.936297,1.240073
"2026-06-29 14:01:28",1.390000,13.353795,2.501517,24.938492,1.240000
"2026-06-29 14:01:29",1.390084,13.460045,2.544213,24.940102,1.240084
"2026-06-29 14:01:30",1.390322,13.558691,2.586008,24.941212,1.240322
"2026-06-29 14:01:31",1.390711,13.650995,2.626050,24.941910,1.240711
"2026-06-29 14:01:32",1.391245,13.738417,2.663525,24.942289,1.241245
"2026-06-29 14:01:33",1.391916,13.822579,2.697667,24.942445,1.241916
"2026-06-29 14:01:34",1.392713,13.905216,2.727783,24.942478,1.242713
"2026-06-29 14:01:35",1.393624,13.988129,2.753258,24.942485,1.243624
"2026-06-29 14:01:36",1.394634,14.073130,2.773573,24.942567,1.244634
"2026-06-29 14:01:37",1.395728,14.161997,2.788315,24.942824,1.245728
"2026-06-29 14:01:38",1.396889,14.256420,2.797182,24.943352,1.246889
"2026-06-29 14:01:39",1.398098,14.357952,2.799995,24.944246,1.248098
"2026-06-29 14:01:40",1.399337,14.467969,2.796696,24.945598,1.249337
"2026-06-29 14:01:41",1.400586,14.587631,2.787352,24.947493,1.250586
"2026-06-29 14:01:42",1.401826,14.717843,2.772154,24.950013,1.251826
"2026-06-29 14:01:43",1.403038,14.859238,2.751411,24.953231,1.253038
"2026-06-29 14:01:44",1.404202,15.012152,2.725546,24.957217,1.254202
"2026-06-29 14:01:45",1.405300,15.176618,2.695086,24.962030,1.255300
"2026-06-29 14:01:46",1.406316,15.352363,2.660652,24.967722,1.256316
"2026-06-29 14:01:47",1.407233,15.538814,2.622944,24.974336,1.257233
"2026-06-29 14:01:48",1.408038,15.735116,2.582731,24.981906,1.258038
"2026-06-29 14:01:49",1.408717,15.940151,2.540833,24.990456,1.258717
"2026-06-29 14:01:50",1.409260,16.152574,2.498103,25.000001,1.259260
"2026-06-29 14:01:51",1.409658,16.370845,2.455412,25.010545,1.259658
"2026-06-29 14:01:52",1.409906,16.593274,2.413629,25.022082,1.259906
"2026-06-29 14:01:53",1.409999,16.818064,2.373606,25.034598,1.259999
"2026-06-29 14:01:54",1.409936,17.043367,2.336158,25.048067,1.259936
"2026-06-29 14:01:55",1.409719,17.267326,2.302047,25.062455,1.259719
"2026-06-29 14:01:56",1.409349,17.488135,2.271970,25.077717,1.259349
"2026-06-29 14:01:57",1.408834,17.704080,2.246539,25.093802,1.258834
"2026-06-29 14:01:58",1.408180,17.913594,2.226271,25.110647,1.258180
"2026-06-29 14:01:59",1.407399,18.115294,2.211581,25.128186,1.257399
