"导出时间","实时压力P1","瞬时流量M1","瞬时流量M2","温度T_R","压力P2_R"
"2026-07-13 15:29:40",0.064164,0,0,26.227507,0.000000
"2026-07-13 15:29:41",0.064164,0,0,26.114475,0.000000
"2026-07-13 15:29:41",0.064160,0,0,26.227507,0.000000
"2026-07-13 15:29:41",0.064164,0,0,26.227507,0.000000
"2026-07-13 15:29:41",0.066342,6,8,26.227507,0.142216
"2026-07-13 15:29:41",0.081798,164,148,26.227507,0.148076
"2026-07-13 15:29:42",0.096914,294,196,26.227507,0.148582
"2026-07-13 15:29:42",0.103502,405,201,26.227507,0.150535
"2026-07-13 15:29:42",0.123304,450,202,26.227507,0.150535
"2026-07-13 15:29:42",0.129691,461,202,26.227507,0.150535
"2026-07-13 15:29:42",0.144130,462,201,26.227507,0.150608
"2026-07-13 15:29:43",0.150331,461,199,26.227507,0.152778
"2026-07-13 15:29:43",0.168369,457,197,26.227507,0.153067
"2026-07-13 15:29:43",0.174244,452,194,26.227507,0.153067
"2026-07-13 15:29:43",0.188357,444,189,26.227507,0.153718
"2026-07-13 15:29:43",0.193737,439,182,26.227507,0.155310
"2026-07-13 15:29:44",0.208038,426,178,26.227507,0.155527
"2026-07-13 15:29:44",0.212889,411,169,26.227507,0.155527
"2026-07-13 15:29:44",0.224298,390,160,26.227507,0.155527
"2026-07-13 15:29:44",0.228503,380,149,26.213943,0.157986
"2026-07-13 15:29:44",0.239411,360,137,26.227507,0.157986
"2026-07-13 15:29:45",0.246292,338,132,26.227507,0.157986
"2026-07-13 15:29:45",0.250894,310,120,26.299847,0.158058
"2026-07-13 15:29:45",0.255109,278,106,26.363144,0.160446
"2026-07-13 15:29:45",0.259974,260,93,26.372185,0.160446
"2026-07-13 15:29:45",0.264613,220,87,26.304367,0.161024
"2026-07-13 15:29:46",0.267135,176,74,26.376707,0.162905
"2026-07-13 15:29:46",0.269222,138,62,26.236549,0.162688
"2026-07-13 15:29:46",0.271323,118,48,26.304367,0.162905
"2026-07-13 15:29:46",0.272915,79,42,26.376707,0.163845
"2026-07-13 15:29:46",0.273659,43,31,26.345058,0.163484
"2026-07-13 15:29:47",0.274067,27,23,26.304367,0.165365
"2026-07-13 15:29:47",0.274528,24,17,26.372185,0.165365
"2026-07-13 15:29:47",0.274861,18,12,26.232029,0.165437
"2026-07-13 15:29:47",0.275087,13,11,26.245590,0.167824
"2026-07-13 15:29:47",0.275252,10,10,26.372185,0.167824
"2026-07-13 15:29:48",0.275454,9,8,26.236549,0.167824
"2026-07-13 15:29:48",0.275709,8,7,26.376707,0.167969
"2026-07-13 15:29:48",0.275881,7,6,26.345058,0.168475
"2026-07-13 15:29:48",0.276107,7,6,26.232029,0.170284
"2026-07-13 15:29:48",0.276272,6,5,26.304367,0.170284
"2026-07-13 15:29:49",0.276565,6,5,26.345058,0.170284
"2026-07-13 15:29:49",0.276746,5,5,26.236549,0.172743
"2026-07-13 15:29:49",0.276948,5,5,26.381227,0.170862
"2026-07-13 15:29:49",0.277022,4,2,26.376707,0.172815
"2026-07-13 15:29:49",0.277379,4,4,26.245590,0.172815
"2026-07-13 15:29:50",0.277538,5,3,26.381227,0.174117
"2026-07-13 15:29:50",0.277726,4,2,26.345058,0.175275
"2026-07-13 15:29:50",0.277820,4,1,26.304367,0.175203
"2026-07-13 15:29:50",0.277989,4,2,26.304367,0.175275
"2026-07-13 15:29:50",0.278211,4,1,26.232029,0.175275
"2026-07-13 15:29:51",0.278420,4,1,26.236549,0.175347
"2026-07-13 15:29:51",0.278618,3,2,26.241070,0.175854
"2026-07-13 15:29:51",0.278766,4,2,26.227507,0.177734
