 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.399950,0.039600,24.50
0.5,0.400160,0.039644,24.50
1.0,0.400371,0.039688,24.50
1.5,0.400581,0.039732,24.50
2.0,0.400792,0.039776,24.50
2.5,0.401002,0.039820,24.50
3.0,0.401213,0.039864,24.50
3.5,0.401423,0.039908,24.50
4.0,0.401634,0.039952,24.50
4.5,0.401844,0.039996,24.50
5.0,0.402055,0.040040,24.50
5.5,0.402265,0.040084,24.51
6.0,0.402476,0.040128,24.51
6.5,0.402686,0.040172,24.51
7.0,0.402897,0.040216,24.51
7.5,0.403107,0.040260,24.51
8.0,0.403318,0.040304,24.51
8.5,0.403528,0.040348,24.51
9.0,0.403739,0.040392,24.51
9.5,0.403949,0.040436,24.51
10.0,0.404160,0.040480,24.51
10.5,0.404370,0.040524,24.51
11.0,0.404581,0.040568,24.51
11.5,0.404791,0.040612,24.51
12.0,0.405002,0.040656,24.51
12.5,0.405212,0.040700,24.51
13.0,0.405423,0.040744,24.51
13.5,0.405633,0.040788,24.51
14.0,0.405844,0.040832,24.51
14.5,0.406054,0.040876,24.51
15.0,0.406265,0.040920,24.52
15.5,0.406475,0.040964,24.52
16.0,0.406686,0.041008,24.52
16.5,0.406896,0.041052,24.52
17.0,0.407107,0.041096,24.52
17.5,0.407317,0.041140,24.52
18.0,0.407528,0.041184,24.52
18.5,0.407738,0.041228,24.52
19.0,0.407949,0.041272,24.52
19.5,0.408159,0.041316,24.52
20.0,0.408370,0.041360,24.52
20.5,0.408580,0.041404,24.52
21.0,0.408791,0.041448,24.52
21.5,0.409001,0.041492,24.52
22.0,0.409212,0.041536,24.52
22.5,0.409422,0.041580,24.52
23.0,0.409633,0.041624,24.52
23.5,0.409843,0.041668,24.52
24.0,0.410054,0.041712,24.52
24.5,0.410264,0.041756,24.52
25.0,0.410475,0.041800,24.52
25.5,0.410685,0.041844,24.53
26.0,0.410896,0.041888,24.53
26.5,0.411106,0.041932,24.53
27.0,0.411317,0.041976,24.53
27.5,0.411527,0.042020,24.53
28.0,0.411738,0.042064,24.53
28.5,0.411948,0.042108,24.53
29.0,0.412159,0.042152,24.53
29.5,0.412369,0.042196,24.53
30.0,0.412580,0.042240,24.53
30.5,0.412790,0.042284,24.53
31.0,0.413001,0.042328,24.53
31.5,0.413211,0.042372,24.53
32.0,0.413422,0.042416,24.53
32.5,0.413632,0.042460,24.53
33.0,0.413843,0.042504,24.53
33.5,0.414053,0.042548,24.53
34.0,0.414264,0.042592,24.53
34.5,0.414474,0.042636,24.53
35.0,0.414685,0.042680,24.54
35.5,0.414895,0.042724,24.54
36.0,0.415106,0.042768,24.54
36.5,0.415316,0.042812,24.54
37.0,0.415527,0.042856,24.54
37.5,0.415737,0.042900,24.54
38.0,0.415948,0.042944,24.54
38.5,0.416158,0.042988,24.54
39.0,0.416369,0.043032,24.54
39.5,0.416579,0.043076,24.54
40.0,0.416790,0.043120,24.54
40.5,0.417000,0.043164,24.54
41.0,0.417211,0.043208,24.54
41.5,0.417421,0.043252,24.54
42.0,0.417632,0.043296,24.54
42.5,0.417842,0.043340,24.54
43.0,0.418053,0.043384,24.54
43.5,0.418263,0.043428,24.54
44.0,0.418474,0.043472,24.54
44.5,0.418684,0.043516,24.54
45.0,0.418895,0.043560,24.55
45.5,0.419105,0.043604,24.55
46.0,0.419316,0.043648,24.55
46.5,0.419526,0.043692,24.55
47.0,0.419737,0.043736,24.55
47.5,0.419947,0.043780,24.55
48.0,0.420158,0.043824,24.55
48.5,0.420368,0.043868,24.55
49.0,0.420579,0.043912,24.55
49.5,0.420789,0.043956,24.55
50.0,0.421000,0.044000,24.55
50.5,0.421210,0.044044,24.55
51.0,0.421421,0.044088,24.55
51.5,0.421631,0.044132,24.55
52.0,0.421842,0.044176,24.55
52.5,0.422052,0.044220,24.55
53.0,0.422263,0.044264,24.55
53.5,0.422474,0.044308,24.55
