 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.408500,0.016200,24.50
0.5,0.408715,0.016218,24.50
1.0,0.408930,0.016236,24.50
1.5,0.409145,0.016254,24.50
2.0,0.409360,0.016272,24.50
2.5,0.409575,0.016290,24.50
3.0,0.409790,0.016308,24.50
3.5,0.410005,0.016326,24.50
4.0,0.410220,0.016344,24.50
4.5,0.410435,0.016362,24.50
5.0,0.410650,0.016380,24.50
5.5,0.410865,0.016398,24.51
6.0,0.411080,0.016416,24.51
6.5,0.411295,0.016434,24.51
7.0,0.411510,0.016452,24.51
7.5,0.411725,0.016470,24.51
8.0,0.411940,0.016488,24.51
8.5,0.412155,0.016506,24.51
9.0,0.412370,0.016524,24.51
9.5,0.412585,0.016542,24.51
10.0,0.412800,0.016560,24.51
10.5,0.413015,0.016578,24.51
11.0,0.413230,0.016596,24.51
11.5,0.413445,0.016614,24.51
12.0,0.413660,0.016632,24.51
12.5,0.413875,0.016650,24.51
13.0,0.414090,0.016668,24.51
13.5,0.414305,0.016686,24.51
14.0,0.414520,0.016704,24.51
14.5,0.414735,0.016722,24.51
15.0,0.414950,0.016740,24.52
15.5,0.415165,0.016758,24.52
16.0,0.415380,0.016776,24.52
16.5,0.415595,0.016794,24.52
17.0,0.415810,0.016812,24.52
17.5,0.416025,0.016830,24.52
18.0,0.416240,0.016848,24.52
18.5,0.416455,0.016866,24.52
19.0,0.416670,0.016884,24.52
19.5,0.416885,0.016902,24.52
20.0,0.417100,0.016920,24.52
20.5,0.417315,0.016938,24.52
21.0,0.417530,0.016956,24.52
21.5,0.417745,0.016974,24.52
22.0,0.417960,0.016992,24.52
22.5,0.418175,0.017010,24.52
23.0,0.418390,0.017028,24.52
23.5,0.418605,0.017046,24.52
24.0,0.418820,0.017064,24.52
24.5,0.419035,0.017082,24.52
25.0,0.419250,0.017100,24.52
25.5,0.419465,0.017118,24.53
26.0,0.419680,0.017136,24.53
26.5,0.419895,0.017154,24.53
27.0,0.420110,0.017172,24.53
27.5,0.420325,0.017190,24.53
28.0,0.420540,0.017208,24.53
28.5,0.420755,0.017226,24.53
29.0,0.420970,0.017244,24.53
29.5,0.421185,0.017262,24.53
30.0,0.421400,0.017280,24.53
30.5,0.421615,0.017298,24.53
31.0,0.421830,0.017316,24.53
31.5,0.422045,0.017334,24.53
