 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.407550,0.009900,24.50
0.5,0.407764,0.009911,24.50
1.0,0.407979,0.009922,24.50
1.5,0.408193,0.009933,24.50
2.0,0.408408,0.009944,24.50
2.5,0.408622,0.009955,24.50
3.0,0.408837,0.009966,24.50
3.5,0.409051,0.009977,24.50
4.0,0.409266,0.009988,24.50
4.5,0.409480,0.009999,24.50
5.0,0.409695,0.010010,24.50
5.5,0.409909,0.010021,24.51
6.0,0.410124,0.010032,24.51
6.5,0.410338,0.010043,24.51
7.0,0.410553,0.010054,24.51
7.5,0.410767,0.010065,24.51
8.0,0.410982,0.010076,24.51
8.5,0.411196,0.010087,24.51
9.0,0.411411,0.010098,24.51
9.5,0.411625,0.010109,24.51
10.0,0.411840,0.010120,24.51
10.5,0.412054,0.010131,24.51
11.0,0.412269,0.010142,24.51
11.5,0.412483,0.010153,24.51
12.0,0.412698,0.010164,24.51
12.5,0.412912,0.010175,24.51
13.0,0.413127,0.010186,24.51
13.5,0.413341,0.010197,24.51
14.0,0.413556,0.010208,24.51
14.5,0.413770,0.010219,24.51
15.0,0.413985,0.010230,24.52
15.5,0.414199,0.010241,24.52
16.0,0.414414,0.010252,24.52
16.5,0.414628,0.010263,24.52
17.0,0.414843,0.010274,24.52
17.5,0.415057,0.010285,24.52
18.0,0.415272,0.010296,24.52
18.5,0.415486,0.010307,24.52
19.0,0.415701,0.010318,24.52
19.5,0.415915,0.010329,24.52
20.0,0.416130,0.010340,24.52
20.5,0.416344,0.010351,24.52
21.0,0.416559,0.010362,24.52
21.5,0.416773,0.010373,24.52
22.0,0.416988,0.010384,24.52
22.5,0.417202,0.010395,24.52
23.0,0.417417,0.010406,24.52
23.5,0.417631,0.010417,24.52
24.0,0.417846,0.010428,24.52
24.5,0.418060,0.010439,24.52
25.0,0.418275,0.010450,24.52
25.5,0.418489,0.010461,24.53
26.0,0.418704,0.010472,24.53
26.5,0.418918,0.010483,24.53
27.0,0.419133,0.010494,24.53
27.5,0.419347,0.010505,24.53
28.0,0.419562,0.010516,24.53
28.5,0.419776,0.010527,24.53
29.0,0.419991,0.010538,24.53
29.5,0.420205,0.010549,24.53
30.0,0.420420,0.010560,24.53
30.5,0.420634,0.010571,24.53
31.0,0.420849,0.010582,24.53
31.5,0.421063,0.010593,24.53
32.0,0.421278,0.010604,24.53
32.5,0.421492,0.010615,24.53
33.0,0.421707,0.010626,24.53
33.5,0.421921,0.010637,24.53
34.0,0.422136,0.010648,24.53
34.5,0.422350,0.010659,24.53
35.0,0.422565,0.010670,24.54
35.5,0.422779,0.010681,24.54
36.0,0.422994,0.010692,24.54
36.5,0.423208,0.010703,24.54
37.0,0.423423,0.010714,24.54
37.5,0.423637,0.010725,24.54
38.0,0.423852,0.010736,24.54
38.5,0.424066,0.010747,24.54
39.0,0.424281,0.010758,24.54
39.5,0.424495,0.010769,24.54
40.0,0.424710,0.010780,24.54
40.5,0.424924,0.010791,24.54
41.0,0.425139,0.010802,24.54
41.5,0.425353,0.010813,24.54
42.0,0.425568,0.010824,24.54
42.5,0.425782,0.010835,24.54
43.0,0.425997,0.010846,24.54
43.5,0.426211,0.010857,24.54
44.0,0.426426,0.010868,24.54
44.5,0.426640,0.010879,24.54
45.0,0.426855,0.010890,24.55
45.5,0.427069,0.010901,24.55
46.0,0.427284,0.010912,24.55
46.5,0.427498,0.010923,24.55
47.0,0.427713,0.010934,24.55
47.5,0.427927,0.010945,24.55
48.0,0.428142,0.010956,24.55
48.5,0.428356,0.010967,24.55
49.0,0.428571,0.010978,24.55
49.5,0.428785,0.010989,24.55
50.0,0.429000,0.011000,24.55
50.5,0.429214,0.011011,24.55
51.0,0.429429,0.011022,24.55
51.5,0.429644,0.011033,24.55
52.0,0.429858,0.011044,24.55
52.5,0.430072,0.011055,24.55
53.0,0.430287,0.011066,24.55
53.5,0.430502,0.011077,24.55
54.0,0.430716,0.011088,24.55
54.5,0.430930,0.011099,24.55
55.0,0.431145,0.011110,24.55
55.5,0.431360,0.011121,24.56
56.0,0.431574,0.011132,24.56
56.5,0.431788,0.011143,24.56
57.0,0.432003,0.011154,24.56
57.5,0.432217,0.011165,24.56
58.0,0.432432,0.011176,24.56
